deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,68225,0,0,0,0,0,0,0,0,0,FLOODS,1981-09-04,1981-09-09,1981-09-09
0,0,0,0,0,0,68025,0,0,0,0,0,0,0,0,0,FLOODS,1983-09-20,1983-09-25,1983-09-25
0,0,0,0,0,0,68225,0,0,0,0,0,0,0,0,0,FLOODS,1988-08-23,1988-08-28,1988-08-28
0,0,0,0,0,0,67200,0,0,0,0,0,0,0,0,0,FLOODS,1989-08-02,1989-08-07,1989-08-07
0,0,0,0,0,0,68825,0,0,0,0,0,0,0,0,0,FLOODS,1990-10-06,1990-10-11,1990-10-11
0,0,0,0,0,0,63025,0,0,0,0,0,0,0,0,0,FLOODS,1993-08-14,1993-08-19,1993-08-19
0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,FLOODS,1993-09-14,1993-09-19,1993-09-19
0,0,0,0,0,0,65725,0,0,0,0,0,0,0,0,0,FLOODS,1995-08-26,1995-08-31,1995-08-31
0,0,0,0,0,0,76886,0,0,0,0,0,0,0,0,0,FLOODS,2000-09-17,2000-09-22,2000-09-22
0,0,0,0,0,0,1325,0,0,0,0,0,0,0,0,0,FLOODS,2003-08-21,2003-08-26,2003-08-26
1,0,0,0,0,2,45346,0,0,0,0,0,0,0,0,0,FLOODS,2010-04-24,2010-04-29,2010-04-29
0,0,0,1,0,146,20744,0,12,0,0,3,0,0,0,0,FLOODS,2011-05-09,2011-05-14,2011-05-14
0,0,0,0,0,0,81799,0,0,0,0,0,0,0,0,0,FLOODS,2011-08-20,2011-08-25,2011-08-25
0,0,0,0,0,0,1638,0,0,0,0,0,0,0,0,0,FLOODS,2012-08-03,2012-08-08,2012-08-08
