deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1966-07-18,1966-07-23,1966-07-23
20,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1966-09-30,1966-10-05,1966-10-05
0,0,0,0,0,0,0,0,350000,0,0,0,0,0.0,0,0,FLOODS,1967-09-12,1967-09-17,1967-09-17
2,5,0,0,0,0,2,0,0,0,4000,0,0,0.0,0,0,FLOODS,1968-05-15,1968-05-20,1968-05-20
0,0,0,0,0,40,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1968-06-01,1968-06-06,1968-06-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1968-06-28,1968-07-03,1968-07-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1968-08-12,1968-08-17,1968-08-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1968-08-24,1968-08-29,1968-08-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1968-11-05,1968-11-10,1968-11-10
22,0,0,100,0,500,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1968-12-12,1968-12-17,1968-12-17
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-02-10,1970-02-15,1970-02-15
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-02-20,1970-02-25,1970-02-25
0,0,7,0,1000,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-05-01,1970-05-06,1970-05-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-05-11,1970-05-16,1970-05-16
0,0,0,0,0,0,0,0,0,0,80000,0,0,0.0,0,0,FLOODS,1970-06-04,1970-06-09,1970-06-09
0,0,0,1,0,5000,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-06-18,1970-06-23,1970-06-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-07-28,1970-08-02,1970-08-02
0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-10-11,1970-10-16,1970-10-16
0,0,0,0,0,0,0,0,0,0,120000,0,0,0.0,0,0,FLOODS,1970-11-08,1970-11-13,1970-11-13
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1970-12-13,1970-12-18,1970-12-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-04-21,1971-04-26,1971-04-26
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-05-06,1971-05-11,1971-05-11
0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1971-12-14,1971-12-19,1971-12-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-03-18,1972-03-23,1972-03-23
13,0,7,0,0,0,0,0,100,0,0,0,0,0.0,0,0,FLOODS,1972-05-23,1972-05-28,1972-05-28
0,0,0,0,0,0,0,0,0,0,100000,0,0,0.0,0,0,FLOODS,1972-05-30,1972-06-04,1972-06-04
0,0,0,0,0,0,0,0,0,0,2000000,0,0,0.0,0,0,FLOODS,1972-06-26,1972-07-01,1972-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1972-10-29,1972-11-03,1972-11-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1973-09-06,1973-09-11,1973-09-11
0,0,0,13,0,100,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1974-05-09,1974-05-14,1974-05-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1974-09-10,1974-09-15,1974-09-15
0,0,0,0,0,0,0,0,0,0,200000,0,0,0.0,0,0,FLOODS,1974-10-23,1974-10-28,1974-10-28
0,0,0,250,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1975-08-19,1975-08-24,1975-08-24
0,0,0,0,50,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1975-09-04,1975-09-09,1975-09-09
7,0,0,5,0,0,0,0,6000,0,0,0,0,1750.0,0,0,FLOODS,1975-09-17,1975-09-22,1975-09-22
1,0,3,30,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1975-11-19,1975-11-24,1975-11-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1975-11-27,1975-12-02,1975-12-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1975-12-03,1975-12-08,1975-12-08
2,0,0,0,0,0,0,0,200,0,11060000,0,0,5744.0,0,0,FLOODS,1975-12-09,1975-12-14,1975-12-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-08-18,1977-08-23,1977-08-23
0,0,0,24,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-09-01,1977-09-06,1977-09-06
1,0,0,20,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-09-07,1977-09-12,1977-09-12
1,2,0,0,0,0,0,0,500,0,0,0,0,0.0,0,0,FLOODS,1977-09-15,1977-09-20,1977-09-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1977-10-09,1977-10-14,1977-10-14
0,0,0,0,70,0,0,0,0,0,50000,0,0,0.0,0,0,FLOODS,1977-11-22,1977-11-27,1977-11-27
0,0,0,0,0,0,0,0,50,0,2000000,0,0,6250.0,0,0,FLOODS,1977-12-27,1978-01-01,1978-01-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1978-05-30,1978-06-04,1978-06-04
0,0,0,0,26,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-03-29,1979-04-03,1979-04-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-04-22,1979-04-27,1979-04-27
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-05-15,1979-05-20,1979-05-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-10-20,1979-10-25,1979-10-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1979-12-03,1979-12-08,1979-12-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1980-05-24,1980-05-29,1980-05-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-05-02,1981-05-07,1981-05-07
3,2,0,0,50,0,0,0,0,0,500000,0,0,4375.0,0,0,FLOODS,1981-05-11,1981-05-16,1981-05-16
1,0,2,6,50,0,13000,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-05-19,1981-05-24,1981-05-24
0,0,0,0,0,0,0,0,0,0,0,0,0,162.5,0,0,FLOODS,1981-05-27,1981-06-01,1981-06-01
23,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-06-03,1981-06-08,1981-06-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-08-03,1981-08-08,1981-08-08
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-08-13,1981-08-18,1981-08-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1981-09-10,1981-09-15,1981-09-15
0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,FLOODS,1981-11-14,1981-11-19,1981-11-19
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-02-08,1982-02-13,1982-02-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-06-12,1982-06-17,1982-06-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1982-12-28,1983-01-02,1983-01-02
1,0,0,0,1000,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-01-18,1983-01-23,1983-01-23
0,0,0,100,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-05-12,1983-05-17,1983-05-17
0,6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-05-21,1983-05-26,1983-05-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-07-05,1983-07-10,1983-07-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-10-03,1983-10-08,1983-10-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1983-11-01,1983-11-06,1983-11-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1984-06-20,1984-06-25,1984-06-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1985-09-21,1985-09-26,1985-09-26
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-02-23,1986-02-28,1986-02-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-05-25,1986-05-30,1986-05-30
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1986-06-05,1986-06-10,1986-06-10
0,0,0,0,0,0,0,0,0,0,0,0,0,937.5,0,0,FLOODS,1987-05-26,1987-05-31,1987-05-31
0,0,0,0,0,0,0,0,0,0,0,0,0,1875.0,0,0,FLOODS,1987-11-25,1987-11-30,1987-11-30
10,0,15,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1987-12-08,1987-12-13,1987-12-13
4,0,0,100,0,0,0,0,0,0,0,0,0,250.0,0,0,FLOODS,1988-02-01,1988-02-06,1988-02-06
0,0,0,0,0,0,0,0,0,0,0,0,0,3499.8,0,0,FLOODS,1988-02-18,1988-02-23,1988-02-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-07-11,1988-07-16,1988-07-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-08-01,1988-08-06,1988-08-06
1,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-08-19,1988-08-24,1988-08-24
6,0,0,25,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-08-26,1988-08-31,1988-08-31
0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,0,0,FLOODS,1988-09-02,1988-09-07,1988-09-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-09-11,1988-09-16,1988-09-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-09-21,1988-09-26,1988-09-26
0,0,0,0,0,0,0,0,0,0,240000,0,0,0.0,0,0,FLOODS,1988-11-01,1988-11-06,1988-11-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1988-11-17,1988-11-22,1988-11-22
8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1989-02-19,1989-02-24,1989-02-24
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1989-05-15,1989-05-20,1989-05-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1989-09-26,1989-10-01,1989-10-01
0,0,0,100,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-06-15,1990-06-20,1990-06-20
0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-07-06,1990-07-11,1990-07-11
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1990-10-24,1990-10-29,1990-10-29
0,0,0,0,0,0,0,0,0,0,1596015,0,0,515.0,0,0,FLOODS,1990-11-06,1990-11-11,1990-11-11
0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,FLOODS,1990-11-19,1990-11-24,1990-11-24
0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-05-03,1991-05-08,1991-05-08
0,1,2,11,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-05-26,1991-05-31,1991-05-31
0,0,0,0,0,0,0,0,0,0,0,0,0,31250.0,0,0,FLOODS,1991-09-20,1991-09-25,1991-09-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1991-10-07,1991-10-12,1991-10-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-01-22,1992-01-27,1992-01-27
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-03-27,1992-04-01,1992-04-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-05-13,1992-05-18,1992-05-18
1,0,0,0,0,100000,2500,0,0,0,11000000,0,0,0.0,0,0,FLOODS,1992-05-23,1992-05-28,1992-05-28
4,0,0,0,0,0,10000,0,0,0,13000000,0,0,0.0,0,0,FLOODS,1992-05-31,1992-06-05,1992-06-05
0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1992-09-21,1992-09-26,1992-09-26
9,0,12,25,0,200,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-01-28,1993-02-02,1993-02-02
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-03-09,1993-03-14,1993-03-14
2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-03-16,1993-03-21,1993-03-21
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-03-28,1993-04-02,1993-04-02
0,0,0,0,0,1070,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-04-11,1993-04-16,1993-04-16
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-04-25,1993-04-30,1993-04-30
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-05-03,1993-05-08,1993-05-08
0,0,0,0,100,0,0,0,0,0,0,0,0,0.0,0,0,FLOODS,1993-05-16,1993-05-21,1993-05-21
17,2,0,32,0,35,0,0,0,0,400000,0,0,625.0,0,0,FLOODS,1993-05-22,1993-05-27,1993-05-27
