deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1888-01-10,1888-01-12,1888-01-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1965-10-25,1965-10-27,1965-10-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1966-08-06,1966-08-08,1966-08-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1972-07-05,1972-07-07,1972-07-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1974-09-05,1974-09-07,1974-09-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1977-11-04,1977-11-06,1977-11-07
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1986-11-28,1986-11-30,1986-12-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1988-12-29,1988-12-31,1989-01-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1990-03-26,1990-03-28,1990-03-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,EARTHQUAKES,1997-04-22,1997-04-24,1997-04-25
