deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1867-11-18,1867-11-23,1867-11-23
4,12,0,9,0,28,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1938-11-20,1938-11-25,1938-11-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1939-07-23,1939-07-28,1939-07-28
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1975-09-11,1975-09-16,1975-09-16
0,0,0,0,0,0,0,0,0,4237000,10000000,0,0,80.94,0,193121.0,FLOODS,1975-11-09,1975-11-14,1975-11-14
0,12,0,12,0,40,0,0,0,94340000,250000000,0,0,0.0,0,44000.0,FLOODS,1999-11-17,1999-11-22,1999-11-22
0,0,0,8,40,0,0,0,36,0,0,0,0,0.0,0,0.0,FLOODS,2003-12-13,2003-12-18,2003-12-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2009-09-13,2009-09-18,2009-09-18
0,0,0,0,0,40,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2010-11-26,2010-12-01,2010-12-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2011-11-20,2011-11-25,2011-11-25
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2011-12-06,2011-12-11,2011-12-11
0,0,0,0,0,4470,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,2012-04-24,2012-04-29,2012-04-29
