deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-05-14,1988-05-19,1988-05-19
0,0,0,20,0,100,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-06-01,1988-06-06,1988-06-06
0,0,0,1,0,0,0,0,0,2800,7000,0,0,0.0,0,0.0,FLOODS,1988-06-08,1988-06-13,1988-06-13
0,0,0,0,15,80,0,0,80,0,0,0,0,0.0,0,0.0,FLOODS,1988-06-16,1988-06-21,1988-06-21
1,2,0,0,0,0,0,0,0,1500,4000,0,0,0.0,0,0.0,FLOODS,1988-07-05,1988-07-10,1988-07-10
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-07-11,1988-07-16,1988-07-16
1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-08-01,1988-08-06,1988-08-06
0,0,0,0,0,0,0,0,0,22000,55000,0,0,0.0,0,4000.0,FLOODS,1988-08-10,1988-08-15,1988-08-15
0,0,0,0,0,0,250,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-08-20,1988-08-25,1988-08-25
1,0,0,50,100,500,2000,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-08-26,1988-08-31,1988-08-31
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-09-01,1988-09-06,1988-09-06
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-09-11,1988-09-16,1988-09-16
0,0,0,0,30,0,0,0,40,0,0,0,0,0.0,0,0.0,FLOODS,1988-09-29,1988-10-04,1988-10-04
0,0,0,1,0,6,300,0,0,0,0,0,0,0.0,0,0.0,FLOODS,1988-10-24,1988-10-29,1988-10-29
