deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1970-01-01,1970-01-06,1970-01-06
0,0,0,50,8,0,0,0,0,37500.0,0.0,1,0,10.0,0,2,FLOODS,1970-01-09,1970-01-14,1970-01-14
1,0,0,40,365,1650,37000,0,200,1224957.68,45200000.0,1,1,0.0,0,700,FLOODS,1970-01-15,1970-01-20,1970-01-20
0,0,0,86,0,280,0,0,0,1809578.0,72200000.0,0,0,2950.0,0,0,FLOODS,1970-01-21,1970-01-26,1970-01-26
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1970-01-29,1970-02-03,1970-02-03
0,0,0,0,0,0,0,0,0,5167.96,200000.0,0,0,0.0,0,0,FLOODS,1970-02-04,1970-02-09,1970-02-09
0,0,0,15,0,0,0,0,0,92519.38,3000000.0,0,0,84.0,0,0,FLOODS,1970-02-11,1970-02-16,1970-02-16
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,80.0,0,0,FLOODS,1970-02-17,1970-02-22,1970-02-22
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,800.0,0,0,FLOODS,1970-02-23,1970-02-28,1970-02-28
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1970-03-02,1970-03-07,1970-03-07
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1970-03-17,1970-03-22,1970-03-22
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1970-04-06,1970-04-11,1970-04-11
0,0,0,0,0,0,0,0,0,568475.0,22000000.0,0,0,0.0,0,0,FLOODS,1970-04-21,1970-04-26,1970-04-26
0,0,0,0,0,0,0,0,0,1550387.0,50000000.0,0,0,0.0,0,0,FLOODS,1970-05-01,1970-05-06,1970-05-06
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1970-05-09,1970-05-14,1970-05-14
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1970-05-16,1970-05-21,1970-05-21
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1970-10-21,1970-10-26,1970-10-26
0,0,2,20,0,0,0,0,0,5167.0,200000.0,0,0,0.0,0,0,FLOODS,1970-11-04,1970-11-09,1970-11-09
1,0,0,1,0,0,0,0,0,1000.0,0.0,0,0,0.0,0,0,FLOODS,1970-11-10,1970-11-15,1970-11-15
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1971-03-03,1971-03-08,1971-03-08
0,0,0,0,0,0,0,0,0,1558140.0,60300000.0,0,0,9100.0,0,0,FLOODS,1971-03-10,1971-03-15,1971-03-15
0,0,0,0,800,4000,20,0,0,0.0,3000000.0,0,0,0.0,0,0,FLOODS,1971-03-16,1971-03-21,1971-03-21
3,0,0,0,0,0,0,0,0,210594.0,8150000.0,0,0,20.0,0,10,FLOODS,1971-03-22,1971-03-27,1971-03-27
0,0,0,0,0,0,1430,0,0,103360.0,4000000.0,0,0,30.0,0,800,FLOODS,1971-03-28,1971-04-02,1971-04-02
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1971-04-03,1971-04-08,1971-04-08
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1971-04-17,1971-04-22,1971-04-22
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1971-05-01,1971-05-06,1971-05-06
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,4000,FLOODS,1971-05-09,1971-05-14,1971-05-14
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1971-06-24,1971-06-29,1971-06-29
2,0,0,48,0,250,0,0,0,51680.0,2000000.0,0,0,0.0,0,0,FLOODS,1971-10-30,1971-11-04,1971-11-04
0,0,0,0,30,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1971-11-05,1971-11-10,1971-11-10
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,FLOODS,1971-11-25,1971-11-30,1971-11-30
