deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLOODS,1880-01-04,1880-01-09,1880-01-09
0,0,0,0,0,0,86887,0,0,0,0,0,0,0,0,0,FLOODS,1981-09-04,1981-09-09,1981-09-09
0,0,0,0,0,0,43309,0,0,0,0,0,0,0,0,0,FLOODS,1983-09-20,1983-09-25,1983-09-25
0,0,0,0,0,0,40618,0,0,0,0,0,0,0,0,0,FLOODS,1993-08-14,1993-08-19,1993-08-19
0,0,0,0,0,0,40618,0,0,0,0,0,0,0,0,0,FLOODS,1995-08-23,1995-08-28,1995-08-28
0,0,0,0,0,0,42875,0,0,0,0,0,0,0,0,0,FLOODS,1995-10-24,1995-10-29,1995-10-29
1,0,0,0,0,0,12605,0,0,0,0,0,0,0,0,0,FLOODS,1998-11-28,1998-12-03,1998-12-03
0,0,0,0,0,0,45623,0,0,0,0,0,0,0,0,0,FLOODS,2000-09-17,2000-09-22,2000-09-22
0,0,0,0,0,100,1790,0,0,0,0,1,0,0,0,0,FLOODS,2005-10-11,2005-10-16,2005-10-16
0,0,0,0,0,0,29733,0,0,0,0,0,0,0,0,0,FLOODS,2011-08-20,2011-08-25,2011-08-25
0,0,0,0,0,0,48044,0,0,0,0,0,0,0,0,0,FLOODS,2012-08-03,2012-08-08,2012-08-08
