deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1867-11-18,1867-11-23,1867-11-23
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1908-09-25,1908-09-30,1908-09-30
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1911-02-07,1911-02-12,1911-02-12
3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1933-11-07,1933-11-12,1933-11-12
0,0,0,0,0,0,0,0,0,0.0,3500000,0,0,0,0,0,FLOODS,1966-08-01,1966-08-06,1966-08-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1979-09-08,1979-09-13,1979-09-13
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1984-09-10,1984-09-15,1984-09-15
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1986-10-14,1986-10-19,1986-10-19
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1992-11-23,1992-11-28,1992-11-28
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1996-07-25,1996-07-30,1996-07-30
0,0,0,0,0,0,0,0,0,4444000.0,12000000,0,0,350,0,0,FLOODS,1996-10-26,1996-10-31,1996-10-31
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,1996-11-20,1996-11-25,1996-11-25
0,0,0,2,0,0,0,0,8,87000.0,621500,0,0,0,0,0,FLOODS,1998-10-21,1998-10-26,1998-10-26
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,2002-09-10,2002-09-15,2002-09-15
0,0,0,0,0,0,0,0,0,1155000.0,3070000,0,0,0,0,0,FLOODS,2003-07-07,2003-07-12,2003-07-12
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,2007-11-06,2007-11-11,2007-11-11
0,0,0,0,169,560,4716,0,0,0.0,1297000,5,0,0,0,0,FLOODS,2010-10-05,2010-10-10,2010-10-10
0,1,0,0,2,0,0,0,2,0.0,0,0,1,0,0,0,FLOODS,2011-04-28,2011-05-03,2011-05-03
0,0,0,0,17,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,2011-11-29,2011-12-04,2011-12-04
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,2012-09-05,2012-09-10,2012-09-10
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,2013-09-24,2013-09-29,2013-09-29
5,2,0,0,0,30,750,0,0,99000000.0,0,0,0,0,0,0,FLOODS,2013-12-23,2013-12-28,2013-12-28
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,FLOODS,2014-10-06,2014-10-11,2014-10-11
