deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
800,0,0,0,0,0,0,0,0,0.0,0,0,0,0,460,0,STORMS,1780-10-10,1780-10-15,1780-10-15
1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1817-10-21,1817-10-26,1817-10-26
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1818-10-21,1818-10-26,1818-10-26
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1819-09-21,1819-09-26,1819-09-26
11,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1831-08-11,1831-08-16,1831-08-16
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1837-07-09,1837-07-14,1837-07-14
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1841-10-06,1841-10-11,1841-10-11
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1894-10-03,1894-10-08,1894-10-08
13,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1898-09-11,1898-09-16,1898-09-16
11,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1931-08-11,1931-08-16,1931-08-16
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1955-09-22,1955-09-27,1955-09-27
6,0,0,0,0,0,0,0,0,41400000.0,0,0,0,0,0,0,STORMS,1960-07-10,1960-07-15,1960-07-15
10,0,0,0,0,0,0,0,0,0.0,4000000,0,0,0,0,0,STORMS,1963-09-25,1963-09-30,1963-09-30
1,0,0,0,0,0,0,0,0,3465000.0,0,0,0,0,0,0,STORMS,1967-09-07,1967-09-12,1967-09-12
0,0,0,0,0,0,0,0,0,0.0,0,0,0,77,0,0,STORMS,1979-08-29,1979-09-03,1979-09-03
16,50,0,0,0,6000,80000,0,9600,181990000.0,235000000,49,2,0,0,0,STORMS,1980-08-03,1980-08-08,1980-08-08
2,0,0,0,0,0,0,0,0,8500000.0,0,0,0,0,0,0,STORMS,1986-09-08,1986-09-13,1986-09-13
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1987-09-21,1987-09-26,1987-09-26
0,0,0,2,0,0,0,0,0,2500000.0,1000000,0,0,0,0,0,STORMS,1988-09-09,1988-09-14,1988-09-14
0,0,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,STORMS,1995-08-03,1995-08-08,1995-08-08
1,0,0,0,1,7,0,0,150,0.0,0,0,0,0,0,0,STORMS,1995-08-26,1995-08-31,1995-08-31
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,1999-10-19,1999-10-24,1999-10-24
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,2001-08-16,2001-08-21,2001-08-21
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,2001-10-07,2001-10-12,2001-10-12
0,0,0,0,0,0,0,0,125,7624000.0,20300000,0,0,1619,0,0,STORMS,2002-09-23,2002-09-28,2002-09-28
1,0,0,0,10,0,0,0,0,13078000.0,34654000,0,1,2023,0,0,STORMS,2007-08-15,2007-08-20,2007-08-20
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,2008-08-15,2008-08-20,2008-08-20
0,0,0,8,1,0,0,0,0,2359000.0,6250000,3,1,0,0,0,STORMS,2008-10-14,2008-10-19,2008-10-19
7,36,5,248,1602,5953,136317,0,1163,336200000.0,907700000,15,10,0,0,0,STORMS,2010-10-30,2010-11-04,2010-11-04
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,STORMS,2012-08-02,2012-08-07,2012-08-07
