deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,0,0,0,45000,0,0,0.0,0,0,0,0.0,0,0.0,FLOODS,1959-04-24,1959-04-29,1959-04-29
1,0,0,0,481,0,0,0,1442,0.0,0,0,0,0.0,0,0.0,FLOODS,1983-02-26,1983-03-03,1983-03-03
0,0,0,0,923,0,0,0,2767,0.0,0,0,0,0.0,0,0.0,FLOODS,1983-05-06,1983-05-11,1983-05-11
0,0,0,0,30,0,0,0,90,0.0,0,0,0,0.0,0,0.0,FLOODS,1983-06-04,1983-06-09,1983-06-09
0,0,0,0,1317,0,0,0,5093,0.0,0,0,0,0.0,0,0.0,FLOODS,1983-07-03,1983-07-08,1983-07-08
0,0,0,0,167,0,0,0,500,0.0,0,0,0,0.0,0,0.0,FLOODS,1983-07-09,1983-07-14,1983-07-14
0,0,0,0,308,0,0,0,1037,0.0,0,0,0,0.0,0,0.0,FLOODS,1983-08-30,1983-09-04,1983-09-04
1,0,0,0,416,0,0,0,1496,0.0,0,0,0,0.0,0,0.0,FLOODS,1983-09-29,1983-10-04,1983-10-04
0,0,0,0,1,0,0,0,3,0.0,0,0,0,0.0,0,0.0,FLOODS,1983-10-14,1983-10-19,1983-10-19
0,0,0,0,103,150,0,0,158,0.0,0,0,0,16.0,0,0.0,FLOODS,1983-11-14,1983-11-19,1983-11-19
0,0,0,0,114,0,0,0,339,0.0,0,0,0,0.0,0,16000.0,FLOODS,1984-02-11,1984-02-16,1984-02-16
0,3,0,70,142,520,0,0,7586,0.0,0,0,0,0.0,0,0.0,FLOODS,1984-05-29,1984-06-03,1984-06-03
0,0,0,0,85,0,0,0,255,0.0,0,0,0,55.0,0,0.0,FLOODS,1984-07-11,1984-07-16,1984-07-16
0,0,0,0,54,0,0,0,151,0.0,0,0,0,0.0,0,0.0,FLOODS,1985-06-01,1985-06-06,1985-06-06
0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,FLOODS,1985-08-10,1985-08-15,1985-08-15
