deaths,injured,missing,houses_destroyed,houses_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_in_dollar,losses_local_currency,education_centers,hospitals,damages_in_crops_ha,lost_cattle,damages_in_roads_mts,event,start_date,primary_end,secondary_end
0,0,0,100,0,0,60000,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1950-08-20,1950-08-25,1950-08-25
2,0,0,0,0,0,60000,0,0,0.0,1000000.0,0,0,0.0,0,0.0,STORMS,1950-09-01,1950-09-06,1950-09-06
2,400,0,0,2180,2000,70725,0,0,0.0,199999000.0,0,1,0.0,0,0.0,STORMS,1989-09-17,1989-09-22,1989-09-22
2,167,0,797,2769,12536,70326,0,0,500000000.0,0.0,46,8,0.0,0,0.0,STORMS,1995-09-04,1995-09-09,1995-09-09
0,0,0,0,5,0,69025,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1996-07-07,1996-07-12,1996-07-12
3,15,0,372,3844,6748,76936,0,6200,59400000.0,0.0,0,2,0.0,0,0.0,STORMS,1998-09-20,1998-09-25,1998-09-25
1,15,1,144,276,1070,75913,43,2000,0.0,0.0,40,1,0.0,0,0.0,STORMS,1999-10-20,1999-10-25,1999-10-25
1,0,0,143,276,553,76886,0,0,51328679.0,136021000.0,0,0,0.0,0,0.0,STORMS,1999-11-14,1999-11-19,1999-11-19
0,0,0,9,2079,7622,16146,0,196,54000000.0,0.0,0,0,0.0,0,804.0,STORMS,2008-10-15,2008-10-20,2008-10-20
0,0,0,0,0,0,81799,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2011-09-08,2011-09-13,2011-09-13
0,0,0,0,0,0,81799,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2011-09-28,2011-10-03,2011-10-03
0,0,0,0,0,0,78674,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2012-08-22,2012-08-27,2012-08-27
11,63,0,119,0,120,3000,0,300,0.0,0.0,0,0,0.0,0,0.0,STORMS,2009-09-07,2009-09-12,2009-09-12
4,116,0,799,0,2932,0,350,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2010-10-21,2010-10-26,2010-10-26
0,0,0,0,0,0,0,0,40,0.0,0.0,0,0,0.0,0,0.0,STORMS,2010-12-07,2010-12-12,2010-12-12
0,0,0,0,15,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2011-05-22,2011-05-27,2011-05-27
16,50,0,100,0,0,240000,0,200,0.0,0.0,109,0,0.0,0,0.0,STORMS,2012-04-04,2012-04-09,2012-04-09
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2013-10-12,2013-10-17,2013-10-17
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2014-01-10,2014-01-15,2014-01-15
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2015-12-12,2015-12-17,2015-12-17
2500,0,500,0,0,2500,0,0,0,2500000.0,5000000.0,3,1,0.0,0,4.0,STORMS,1931-09-10,1931-09-15,1931-09-15
16,0,0,2000,2500,500,20000,0,0,200000000.0,400000000.0,26,2,182.0,1000,2.0,STORMS,1955-09-28,1955-10-03,1955-10-03
307,200,0,2480,1860,0,31000,0,0,30000000.0,60000000.0,10,6,2000000.0,0,0.0,STORMS,1961-10-27,1961-11-01,1961-11-01
4,0,3,0,0,0,0,0,0,12500000.0,25000000.0,0,0,1012.0,0,2.0,STORMS,1978-09-18,1978-09-23,1978-09-23
5,0,0,0,13000,3279,0,0,5000,261550000.0,523100000.0,60,3,8094.0,1000,10.0,STORMS,2000-09-29,2000-10-04,2000-10-04
0,0,0,0,0,0,0,0,7000,9000000.0,18000000.0,0,0,0.0,0,0.0,STORMS,2001-08-19,2001-08-24,2001-08-24
0,0,0,0,95,475,1489,0,0,722000.0,1444000.0,3,2,0.0,0,5.0,STORMS,2008-06-02,2008-06-07,2008-06-07
0,0,0,0,20,400,0,0,0,0.0,0.0,0,0,0.0,1,0.0,STORMS,2011-11-16,2011-11-21,2011-11-21
1,0,0,0,0,0,60000,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1951-08-20,1951-08-25,1951-08-25
42,3000,0,2000,8000,60000,73795,0,0,0.0,88000000.0,0,1,0.0,0,0.0,STORMS,1979-08-29,1979-09-03,1979-09-03
2,0,0,0,0,0,73795,0,0,2000000.0,0.0,0,0,0.0,0,0.0,STORMS,1984-11-06,1984-11-11,1984-11-11
1,1,0,39,41,1000,48073,0,0,47000000.0,0.0,5,0,0.0,0,0.0,STORMS,1995-09-04,1995-09-09,1995-09-09
0,0,0,0,0,0,71183,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1999-10-20,1999-10-25,1999-10-25
1,0,0,50,0,1000,71183,0,0,21541415.0,57084750.0,0,0,0.0,0,29000.0,STORMS,1999-11-14,1999-11-19,1999-11-19
0,0,0,0,0,0,71242,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2001-10-05,2001-10-10,2001-10-10
2,2,0,43,771,13883,91552,0,0,59996846.0,162920539.0,0,1,9000.0,706,0.0,STORMS,2007-08-17,2007-08-22,2007-08-22
0,0,0,0,0,0,72568,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2010-08-20,2010-08-25,2010-08-25
0,0,0,0,0,0,65113,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2011-09-08,2011-09-13,2011-09-13
0,0,0,15,43,2187,70739,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2011-09-24,2011-09-29,2011-09-29
0,0,0,0,0,0,76782,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2012-08-22,2012-08-27,2012-08-27
0,0,0,0,5,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,2007-12-04,2007-12-09,2007-12-09
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1866-08-16,1866-08-21,1866-08-21
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1877-09-22,1877-09-27,1877-09-27
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1878-09-02,1878-09-07,1878-09-07
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1954-10-06,1954-10-11,1954-10-11
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1961-07-20,1961-07-25,1961-07-25
6,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1963-09-30,1963-10-05,1963-10-05
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1970-09-20,1970-09-25,1970-09-25
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1974-08-14,1974-08-19,1974-08-19
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1974-10-02,1974-10-07,1974-10-07
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,STORMS,1978-08-11,1978-08-16,1978-08-16
0,0,0,0,0,0,0,0,0,5300000.0,0.0,0,0,0.0,0,0.0,STORMS,1980-08-04,1980-08-09,1980-08-09
0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,40.5,0,0.0,STORMS,1986-09-08,1986-09-13,1986-09-13
