Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1954-0009-AFG,1954,9,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,North Region,,,,,,,,,Richter,36,66,,,1954,6.0,10.0,1954,6.0,10.0,2000.0,,,,,,,,,,,9.9328494527043,,,,
1956-0008-AFG,1956,8,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Kabul,,,,,,,,8.0,Richter,35.1,67.5,,,1956,6.0,10.0,1956,6.0,10.0,100.0,2000.0,,,2000.0,,,,,25000.0,249206.0,10.0318740432976,,,,
1972-0151-AFG,1972,151,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Sarsangi, Narin counties (Hindu Kush region)",,,,,,,,6.0,Richter,36.278,69.681,19:59,,1972,6.0,24.0,1972,6.0,24.0,11.0,15.0,,,15.0,,,,,,,15.4322326700197,,,,
1976-0028-AFG,1976,28,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Shamagan province (Hindu Kush),,,,,,,,6.0,Richter,36.61,67.79,17:33,,1976,3.0,19.0,1976,3.0,19.0,50.0,,90000.0,,90000.0,,,,,,,21.0017319046578,,,,
1982-0127-AFG,1982,127,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Baghlan province (Hindu Kush region),,,,,,,,7.0,Richter,36.148,69.011,05:10,,1982,12.0,16.0,1982,12.0,16.0,500.0,3000.0,35000.0,,38000.0,,,,,1000.0,2808.0,35.6128405860485,,,,
1983-0166-AFG,1983,166,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Hindu Kush region North-East provinces,,,,,Yes,,,7.0,Richter,36.372,70.738,04:22,,1983,12.0,31.0,1983,12.0,31.0,12.0,483.0,27440.0,6580.0,34503.0,,,,,3000.0,8162.0,36.7568773234201,,,,
1984-0309-AFG,1984,309,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Jalalabad Area,,,,,No,No,,6.0,Richter,34.26 N,70.28 E,,,1984,2.0,2.0,1984,2.0,2.0,1.0,35.0,,,35.0,,,,,5000.0,13042.0,38.3376251913405,,,,
1991-0033-AFG,1991,33,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Konar, Nangarhar, Badakhstan provinces",,,,Yes,No,No,,6.0,Richter,38.993 N,70.423 E,,,1991,1.0,31.0,1991,1.0,31.0,130.0,,7000.0,,7000.0,,,,,,,50.2608528318391,,,,
1991-0498-AFG,1991,498,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Keshim (Badakhshan province),,"Slide (land, mud, snow, rock)",,,No,No,,5.0,Richter,37.457 N,68.273 E,,,1991,4.0,18.0,1991,4.0,18.0,24.0,,,,,,,,,,,50.2608528318391,,,,
1992-0202-AFG,1992,202,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,,,,,,No,No,,6.0,Richter,33.377 N,71.317 E,,,1992,5.0,20.0,1992,5.0,20.0,14.0,,,,,,,,,,,51.7831620380495,,,,
1994-0057-AFG,1994,57,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Termez, Depth Shallow, Balkh and Jowzan Provinces, Mazar-I-Sharif District",,,,,No,No,50.0,6.0,Richter,37.0 N,67.0 E,16:31,,1994,5.0,1.0,1994,5.0,1.0,160.0,330.0,100000.0,,100330.0,,,,,,,54.7016925431883,,,,
1996-0020-AFG,1996,20,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Pakhalsoz, Dar-E-Zand, Qala-E-Khwaja (Maimana, Faryab Province)",,,,,No,No,,,Richter,36.0 N,65.0 E,,,1996,1.0,31.0,1996,1.0,31.0,,,2500.0,750.0,3250.0,,,,,,,57.8847058823529,,,,
1997-0095-AFG,1997,95,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Herat area,,,,,No,No,,6.0,Richter,33.825 N,59.809 E,,,1997,5.0,10.0,1997,5.0,10.0,5.0,,,,,,,,,10.0,17.0,59.2378657336541,,,,
1998-0026-AFG,1998,26,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Rustaq (Takhar province),,,,Yes,Yes,,7454.0,6.0,Richter,37.075,70.089,19:07,,1998,2.0,4.0,1998,2.0,4.0,2323.0,818.0,32000.0,,32818.0,,,,,10000.0,16623.0,60.1574108900066,,,,
1998-0579-AFG,1998,579,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Rostaq area,,,,,,,,6.0,Richter,36.479,71.086,16:48,,1998,2.0,20.0,1998,2.0,20.0,,,,,,,,,,,,60.1574108900066,,,,
1998-0152-AFG,1998,152,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Shari-I-Buzurg (Faizabad ),,"Slide (land, mud, snow, rock)",,Yes,Yes,,5042.0,7.0,Richter,37.106,70.11,10:52,,1998,5.0,30.0,1998,5.0,30.0,4700.0,1935.0,70000.0,45000.0,116935.0,,,,,10000.0,16623.0,60.1574108900066,,,,
1999-0054-AFG,1999,54,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Maidam Shar, Nirkh, Sayedabad, Baraki Barak, Pul-e-Alam, Mohammad Agha - Lowgar",,,,Yes,,,906.0,6.0,Richter,34.259,69.364,18:38,,1999,2.0,11.0,1999,2.0,11.0,70.0,500.0,60185.0,31275.0,91960.0,,,,,,,61.473667176908,,,,
2001-0086-AFG,2001,86,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Fayzabad district (Badakhshan province),,,,,,,,6.0,Richter,36.424,70.881,6:52,,2001,2.0,25.0,2001,2.0,25.0,,,,,,,,,,,,65.345558714192,2,,100007,Fayzabad (Adm2).
2001-0233-AFG,2001,233,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Panjsher, Parwan, Kapisa provinces",,,,,,,,5.0,Richter,35.169,69.389,,,2001,6.0,1.0,2001,6.0,1.0,4.0,20.0,,250.0,270.0,,,,,,,65.345558714192,1,286;99879;99880,,"Kapisa, Panjsher, Parwan (Adm1)."
2002-0122-AFG,2002,122,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,"Hindu Kush montain (Wakhan district, Badakhshan province), Souchi Bala Payan, Yawan villages (Yawan district, Badakhshan province), Souch village (Jorm district, Badakhshan province), Jurm, Malang Ab villages (Baharak district, Badakhshan province), Rostaq district (Takhar province), Kabul district (Kabul province), Khuram Wa Sarbagh, Aybak districts (Samagan province)",,"Slide (land, mud, snow, rock)",,,,,,6.0,Richter,36.429,70.438,16:40,,2002,3.0,3.0,2002,3.0,3.0,150.0,13.0,3500.0,,3513.0,,,,,,,66.3819636999782,2,,3456;3585;3724;3727;3743;99997;100013;100015,"Aybak, Baharak, Jorm, Kabul, Khuram Wa Sarbagh, Rostaq, Wakhan, Yawan (Adm2)."
2002-0175-AFG,2002,175,,Natural,Geophysical,Earthquake,Ground movement,,,Afghanistan,AFG,Southern Asia,Asia,Nahrin district (Baghlan province),,"Slide (land, mud, snow, rock)",,Yes,,,6538.0,6.0,Richter,36.062,69.315,7:26,,2002,3.0,25.0,2002,3.0,25.0,1000.0,1228.0,80000.0,10000.0,91228.0,,,,,,,66.3819636999782,2,,99984,Nahrin (Adm2).
