Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1991-0032-AFG,1991,32,,Natural,Hydrological,Flood,Riverine flood,,,Afghanistan,AFG,Southern Asia,Asia,"Badakhstan, Baglan, Laghman, Nangarhar Farah, Helmand, Kandahar, Nimroz, Zabul, Kabul provinces",Heavy rain,,,,No,No,,,Km2,,,,Helmand,1991,2.0,6.0,1991,2.0,17.0,415.0,,100000.0,8400.0,108400.0,,,,,60000.0,119377.0,50.2608528318391,,,,
1991-0495-AFG,1991,495,,Natural,Hydrological,Flood,Riverine flood,,,Afghanistan,AFG,Southern Asia,Asia,Takhar province,Heavy rains,,,,No,No,,,Km2,,,,,1991,4.0,13.0,1991,4.0,13.0,50.0,,,,,,,,,,,50.2608528318391,,,,
1991-0130-AFG,1991,130,,Natural,Hydrological,Flood,Riverine flood,,,Afghanistan,AFG,Southern Asia,Asia,"Arabjar, Chakush, Jabash Khurt, Lab-e-Jar, Qurda Ariq, Sultuq Khort, Aqcha, Qara Boyen (Jawzjan province)",,,,,No,No,,,Km2,,,,,1991,5.0,28.0,1991,6.0,4.0,728.0,,30000.0,1000.0,31000.0,,,,,,,50.2608528318391,,,,
1992-0197-AFG,1992,197,,Natural,Hydrological,Flood,,,,Afghanistan,AFG,Southern Asia,Asia,Faizabad,,,,,No,No,,,Km2,,,,,1992,5.0,8.0,1992,5.0,8.0,150.0,,,,,,,,,,,51.7831620380495,,,,
1992-0063-AFG,1992,63,,Natural,Hydrological,Flood,Flash flood,,,Afghanistan,AFG,Southern Asia,Asia,"Salang, Ghorband, Shutul valleys, Guhabahar, Shoul Dara, Parwan and Kapisa provinces",Brief torrential rain,"Slide (land, mud, snow, rock)",,,No,No,180.0,,Km2,,,,,1992,9.0,31.0,1992,9.0,31.0,450.0,,4000.0,,4000.0,,,200.0,386.0,4000.0,7725.0,51.7831620380495,,,,
1995-0066-AFG,1995,66,,Natural,Hydrological,Flood,Riverine flood,,,Afghanistan,AFG,Southern Asia,Asia,Takhar province,,,,,,,,,Km2,,,,,1995,4.0,20.0,1995,4.0,20.0,10.0,,,7500.0,7500.0,,,,,,,56.2363000218675,,,,
1995-0137-AFG,1995,137,,Natural,Hydrological,Flood,,,,Afghanistan,AFG,Southern Asia,Asia,Takhar Province,,,,,,,,,Km2,,,,,1995,7.0,5.0,1995,7.0,5.0,17.0,,,,,,,,,,,56.2363000218675,,,,
1996-0072-AFG,1996,72,,Natural,Hydrological,Flood,Riverine flood,,,Afghanistan,AFG,Southern Asia,Asia,"Badakhstan, Takhar, Faryab, Helmand, Zabul, Nimroz, Kandahar, Heart and Farah Provinces",Heavy rains,,,Yes,No,No,,9.0,Km2,,,,,1996,4.0,9.0,1996,4.0,23.0,70.0,,9855.0,,9855.0,,,,,,,57.8847058823529,,,,
1997-0097-AFG,1997,97,,Natural,Hydrological,Flood,Riverine flood,,,Afghanistan,AFG,Southern Asia,Asia,"Balk, Faryab, Baghlan, Takhar, Badakhshan provinces",Heavy rain and brief torrential rain,,,,No,No,,71.0,Km2,,,,,1997,5.0,12.0,1997,5.0,15.0,40.0,,20000.0,,20000.0,,,,,,,59.2378657336541,,,,
1997-0356-AFG,1997,356,,Natural,Hydrological,Flood,Riverine flood,,,Afghanistan,AFG,Southern Asia,Asia,Laghman,,,,,No,No,,,Km2,,,,,1997,9.0,7.0,1997,9.0,8.0,30.0,,,750.0,750.0,,,,,,,59.2378657336541,,,,
