Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1905-0008-ALB,1905,8,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,Shkoder,,,,,,,,7.0,Richter,42.1,19.6,06:01,,1905,6.0,1.0,1905,6.0,1.0,120.0,,,,,,,,,23800.0,716165.0,3.3232581812022,,,,
1920-0018-ALB,1920,18,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,"Tepelen, Dragoti, Peshtani, Maricaj",,,,,,,,6.0,Richter,40.2,20.0,09:51,,1920,11.0,26.0,1920,11.0,26.0,200.0,,,,,,,,,,,7.4096349077176,,,,
1930-0034-ALB,1930,34,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,"Vlore, Himare, Kuc",,,,,,,,6.0,Richter,40.5,19.5,15:00,,1930,11.0,21.0,1930,11.0,21.0,35.0,108.0,2940.0,,3048.0,,,,,,,6.1787985443093,,,,
1930-0035-ALB,1930,35,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,"Vlore, Tepelene",,,,,,,,5.0,Richter,40.3,19.6,,,1930,12.0,2.0,1930,12.0,2.0,25.0,,,,,,,,,,,6.1787985443093,,,,
1931-0018-ALB,1931,18,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,Korce,,,,,,,,6.0,Richter,40.6,20.8,06:55,,1931,1.0,28.0,1931,1.0,28.0,90.0,,,,,,,,,,,5.6249221807756,,,,
1942-0042-ALB,1942,42,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,"Peshkopia, Magellare",,,,,,,,6.0,Richter,41.7,20.4,08:14,,1942,8.0,27.0,1942,8.0,27.0,43.0,110.0,,,110.0,,,,,,,6.0434065443345,,,,
1962-0044-ALB,1962,44,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,"Fier, Volre",,,,,,,,6.0,Richter,40.9,19.5,16:30,,1962,3.0,18.0,1962,3.0,18.0,15.0,154.0,,,154.0,,,,,,,11.1636125082004,,,,
1967-0075-ALB,1967,75,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,Shupenze (Albania-Yugo Border),,,,,,,,7.0,Richter,41.386,20.532,08:23,,1967,11.0,30.0,1967,11.0,30.0,11.0,134.0,,,134.0,,,,,20000.0,162460.0,12.3107281871857,,,,
1979-0039-ALB,1979,39,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,Northern,,,,,,,,7.0,Richter,42.096,19.209,07:19,,1979,4.0,15.0,1979,4.0,15.0,35.0,350.0,,,350.0,,,,,,,26.7834419418325,,,,
1982-0161-ALB,1982,161,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,"Lushnje, Bier, Berat",,,,,,,,6.0,Richter,40.883,19.59,00:41,,1982,11.0,16.0,1982,11.0,16.0,1.0,5.0,,5000.0,5005.0,,,,,5000.0,14040.0,35.6128405860485,,,,
1988-0702-ALB,1988,702,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,"Tirana, Ulcinj-Bar",,,,,,,,6.0,Richter,41.246,19.63,2:00,,1988,1.0,9.0,1988,1.0,9.0,,,690.0,,690.0,,,,,,,43.6426415919528,,,,
1998-0584-ALB,1998,584,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,"Kukes, Peshkopi",,,,,,,,5.0,Richter,41.925,20.39,01:24,,1998,10.0,1.0,1998,10.0,1.0,,,2100.0,,2100.0,,,,,,,60.1574108900066,,,,
2009-0366-ALB,2009,366,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,Peshkopi district,,,,,,,,6.0,Richter,41.483,20.388,,,2009,9.0,7.0,2009,9.0,7.0,,,,150.0,150.0,,,,,,,79.1738027553029,2,,3813,Peshkopi (Adm2).
2019-0232-ALB,2019,232,,Natural,Geophysical,Earthquake,Ground movement,,,Albania,ALB,Southern Europe,Europe,Korçë county,,,,,,,,5.0,Richter,40.501,20.722,06:26,,2019,6.0,1.0,2019,6.0,1.0,,4.0,300.0,,304.0,,,,,,,94.3490924994534,1,318,,Korce (Adm1).
