Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1992-0160-ALB,1992,160,,Natural,Hydrological,Flood,Flash flood,,,Albania,ALB,Southern Europe,Europe,"Kruja, Lac, Lezha, Shkdora, Tropja, Mirdita, Mat, Kukes districts",Brief torrential rain,,,Yes,No,No,2204.0,5620.0,Km2,,,,"mati, Fani, Drimi",1992,11.0,17.0,1992,11.0,19.0,11.0,,35000.0,,35000.0,,,,,7000.0,13518.0,51.7831620380495,,,,
1995-0234-ALB,1995,234,,Natural,Hydrological,Flood,,,,Albania,ALB,Southern Europe,Europe,"Laci, Rrogozhina, Lushnja",,,,,,,,18.0,Km2,,,,,1995,9.0,20.0,1995,9.0,20.0,4.0,,1500.0,,1500.0,,,,,,,56.2363000218675,,,,
1995-0300-ALB,1995,300,,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Shkadra, Malesi, Modhe, Lezhe, Kruja districts, Shkoder, Grande Montuosa, Lezhe and Kruje provinces",,,,,,,,60.0,Km2,,,,,1995,12.0,27.0,1995,12.0,27.0,,,2000.0,,2000.0,,,,,,,56.2363000218675,,,,
1997-0302-ALB,1997,302,,Natural,Hydrological,Flood,Coastal flood,,,Albania,ALB,Southern Europe,Europe,Lezhe (North-Western),Extra-tropical cyclone,,,,No,No,,,Km2,,,,,1997,12.0,20.0,1997,12.0,23.0,,,8000.0,,8000.0,,,,,,,59.2378657336541,,,,
2002-0607-ALB,2002,607,,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Lezhe, Kurbin, Mirdite provinces (Lezhe prefecture), Shkoder, Malesi E Madhe, Puke provinces (Shkoder prefecture) (Northern) ; Berat, Kucove, Skrapar provinces (Berat prefecture), Tepelena, Permet, Gjirokastra provinces (Gjirokastra prefecture), Saranda province and Korca province (Southern)",Heavy rains,,,Yes,Yes,Yes,1203.0,11920.0,Km2,,,,Osum River,2002,9.0,21.0,2002,10.0,10.0,1.0,,66884.0,,66884.0,,,,,17500.0,26363.0,66.3819636999782,1,305;313;318;320;322;323;326;329;331;333;334;335;336;337,,"Berat, Gjirokaster, Korce, Kucove, Kurbin, Lezhe, Malesi E Madhe, Mirdite, Permet, Puke, Sarande, Shkoder, Skrapar, Tepelene (Adm1)."
2004-0633-ALB,2004,633,,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Obot village (Ana E Malit district, Shkodra province)",Heavy rain,Broken Dam/Burst bank,,,,,,430.0,Km2,,,,Drini river,2004,12.0,4.0,2004,12.0,8.0,,,2500.0,,2500.0,,,,,173.0,248.0,69.7064421605073,2,,4071,Ana E Malit (Adm2).
2005-0696-ALB,2005,696,,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Vlore, Has, Fier, Lushnje, Gjirokaster, Permet, Tepelene, Durres, Kruje, Elbasan, Gramsh, Librazhd, Peqin, Lezhe, Kurbin, Mirdite, Berat, Kucove, Skrapar, Tirane, Kavaje provinces (Vlora, Fier, Gjirokaster, Durres, Elbasan, Lezhe, Berat, Tirrana prefectures) (South)",Heavy rains,,,,,,,10410.0,Km2,,,,Fan,2005,11.0,30.0,2005,12.0,3.0,3.0,,500.0,,500.0,,,,,,,72.0714104526569,1,305;310;311;313;314;315;316;319;320;322;323;324;325;329;330;331;336;337;338;340,,"Berat, Durres, Elbasan, Gjirokaster, Gramsh, Has, Kavaje, Kruje, Kucove, Kurbin, Lezhe, Librazhd, Lushnje, Mirdite, Peqin, Permet, Skrapar, Tepelene, Tirane, Vlore (Adm1)."
2009-0631-ALB,2009,631,FL-2009-000266,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Qender district (Malesi E Madhe province), Rrethinat, Shkoder, Ana E Malit, Dajc, Bushat, Velipoje, Berdice, Guri I Zi, Hajmel, Vau Dejes, Vig Mnelle districts (Shkoder province), Shengjin district (Lezhe province)","Heavy rains, melting snow",,,Yes,,Yes,326.0,,Km2,,,,Drini river,2009,12.0,27.0,2010,1.0,8.0,,,6600.0,,6600.0,,,,,,,79.1738027553029,2,,3963;3998;4071;4073;4074;4075;4076;4077;4080;4082;4086;4087;4088,"Ana E Malit, Berdice, Bushat, Dajc, Guri I Zi, Hajmel, Qender, Rrethinat, Shengjin, Shkoder, Vau Dejes, Velipoje, Vig Mnelle (Adm2)."
2010-0619-ALB,2010,619,FL-2010-000248,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Lezhe, Kurbin, Mirdite provinces (Lezha prefecture), Shkoder, Malesi E Madhe, Puke provinces (Shkoder prefecture), Livadhe city",,,,Yes,,Yes,,,Km2,,,,"Drini, Buna, Kiri, Prroi Thate rivers, Shkodra lake",2010,12.0,3.0,2010,12.0,3.0,,,14000.0,,14000.0,,,,,,,80.472285151979,1,322;323;326;329;333;335,,"Kurbin, Lezhe, Malesi E Madhe, Mirdite, Puke, Shkoder (Adm1)."
2015-0038-ALB,2015,38,,Natural,Hydrological,Flood,Riverine flood,,,Albania,ALB,Southern Europe,Europe,"Fier, Vlore, Kukes provinces",,,,,,,,,Km2,,,,,2015,1.0,31.0,2015,2.0,2.0,,,,,,,,,,,,87.4699322108025,1,312;321;340,,"Fier, Kukes, Vlore (Adm1)."
