Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1910-0005-DZA,1910,5,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,"Kabylie, Masqueray",,,,,,,,6.0,Richter,36,4,13:36,,1910,6.0,24.0,1910,6.0,24.0,12.0,,,,,,,,,,,3.4463418175431,,,,
1946-0001-DZA,1946,1,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,"Hodna Mountains, Constantine",,,,,,,,,Richter,35.75,5,03:43,,1946,2.0,12.0,1946,2.0,12.0,276.0,,,,,,,,,,,7.2127010895723,,,,
1954-0017-DZA,1954,17,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,Orleansville,,Tsunami/Tidal wave,,,,,,7.0,Richter,36.283,1.467,01:04,,1954,9.0,9.0,1954,9.0,9.0,1250.0,5000.0,,129250.0,134250.0,,,,,6000.0,60406.0,9.9328494527043,,,,
1960-0033-DZA,1960,33,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,"Melouza, Beni Illmane",,,,,,,,6.0,Richter,36,4.1,09:13,,1960,2.0,21.0,1960,2.0,21.0,57.0,,,1250.0,1250.0,,,,,,,10.9145068882572,,,,
1965-0002-DZA,1965,2,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,M'sila & Environs,,,,Yes,,,,6.0,Richter,35.7,4.4,21:38,,1965,1.0,1.0,1965,1.0,1.0,2.0,350.0,37000.0,12000.0,49350.0,,,,,2000.0,17200.0,11.6279903783075,,,,
1967-0135-DZA,1967,135,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,Near Sig,,,,,,,,5.0,Richter,35.5,-0.1,,,1967,7.0,13.0,1967,7.0,13.0,10.0,15.0,,200.0,215.0,,,,,,,12.3107281871857,,,,
1980-0096-DZA,1980,96,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,El Asnam,,Tsunami/Tidal wave,,Yes,,,,7.0,Richter,36.195,1.354,13:25,,1980,10.0,10.0,1980,10.0,10.0,2633.0,8369.0,478948.0,443000.0,930317.0,,,,,5200000.0,17098297.0,30.4123857424011,,,,
1985-0386-DZA,1985,386,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,Constantine-Skikda area,,,,,,,,6.0,Richter,36.46,6.791,20:34,,1985,10.0,27.0,1985,10.0,27.0,30.0,,,,,,,,,1000.0,2519.0,39.696934178876,,,,
1987-0306-DZA,1987,306,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,"Wilaya de Chle, Wilaya de Tissemsilt, Daira de Bordj Bou Naama, Larbaa",,,,,,,,4.0,Richter,35.964,1.374,12:11,,1987,1.0,26.0,1987,1.0,26.0,1.0,7.0,3145.0,,3152.0,,,,,1000.0,2385.0,41.9327356221299,,,,
1988-0042-DZA,1988,42,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,"Blida, Mede-Algiers areas",,,,,,,,5.0,Richter,36.443,2.759,11:12,,1988,10.0,31.0,1988,10.0,31.0,,57.0,,200.0,257.0,,,,,,,43.6426415919528,,,,
1989-0139-DZA,1989,139,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,"Chenoua, Blida, Tipasa, Boumerdes, Wilaya, El-Nador",,Tsunami/Tidal wave,,Yes,,,,6.0,Richter,36.788,2.448,20:09,,1989,10.0,29.0,1989,10.0,29.0,22.0,184.0,12000.0,,12184.0,,,,,,,45.749276186311,,,,
1992-0012-DZA,1992,12,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,Ain-Defla,,,,,No,No,,5.0,Richter,36.50 N,3.00 E,,,1992,1.0,19.0,1992,1.0,19.0,,,2250.0,,2250.0,,,,,,,51.7831620380495,,,,
1994-0196-DZA,1994,196,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,Mascara province,,,,Yes,Yes,No,1778.0,6.0,Richter,35.52 N,00.12 W,2:13,,1994,8.0,18.0,1994,8.0,18.0,171.0,289.0,12500.0,,12789.0,,,,,,,54.7016925431883,,,,
1999-0561-DZA,1999,561,,Natural,Geophysical,Earthquake,Ground movement,,,Algeria,DZA,Northern Africa,Africa,Aïn Témuchent,,,,,,,15.0,6.0,Richter,35.321,-1.281,18:37,,1999,12.0,22.0,1999,12.0,22.0,22.0,175.0,,15000.0,15175.0,,,,,60929.0,99114.0,61.473667176908,,,,
