Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1927-0012-DZA,1927,12,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,Mostaganem,,,,,No,No,,,Km2,,,,,1927,11.0,1.0,1927,11.0,1.0,3000.0,,,,,,,,,,,6.4249658169911,,,,
1966-0079-DZA,1966,79,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,West El-Asnam,,,,Yes,,,,,Km2,,,,,1966,10.0,6.0,1966,10.0,6.0,57.0,12.0,20000.0,15900.0,35912.0,,,,,10000.0,83482.0,11.9785873605948,,,,
1974-0017-DZA,1974,17,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,"G. Kabylia, Tlemcem",,,,Yes,,,,,Km2,,,,,1974,3.0,31.0,1974,3.0,31.0,11.0,,20000.0,,20000.0,,,,,30000.0,164862.0,18.196991034332,,,,
1981-0116-DZA,1981,116,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,El Elma,,,,,,,,,Km2,,,,,1981,9.0,4.0,1981,9.0,4.0,43.0,50.0,,,50.0,,,,,,,33.5554165755522,,,,
1982-0121-DZA,1982,121,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,Annaba (North),,,,,,,,,Km2,,,,,1982,11.0,10.0,1982,11.0,10.0,37.0,14.0,8500.0,,8514.0,,,,,,,35.6128405860485,,,,
1985-0143-DZA,1985,143,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,North-East,,,,,,,,92650.0,Km2,,,,,1985,1.0,9.0,1985,1.0,9.0,26.0,,,15000.0,15000.0,,,,,,,39.696934178876,,,,
1992-0011-DZA,1992,11,,Natural,Hydrological,Flood,Riverine flood,,,Algeria,DZA,Northern Africa,Africa,"Alger, Tipaza, Blida, and Ain-Defla, Chlef Departments (Central and Western Algeria)",Heavy rain,,,,No,No,,12840.0,Km2,,,,,1992,1.0,21.0,1992,1.0,29.0,21.0,8.0,,2250.0,2258.0,,,,,900.0,1738.0,51.7831620380495,,,,
1993-0217-DZA,1993,217,,Natural,Hydrological,Flood,Riverine flood,,,Algeria,DZA,Northern Africa,Africa,"Oued Rhiou city (Relisan province), Chlef and Tiarette provinces",Heavy rain,,,,No,No,,39700.0,Km2,,,,,1993,10.0,19.0,1993,10.0,20.0,22.0,16.0,,,16.0,,,,,,,53.3116203804942,,,,
1994-0347-DZA,1994,347,,Natural,Hydrological,Flood,Riverine flood,,,Algeria,DZA,Northern Africa,Africa,"Bodj-Bou-Arreridj, Tiaret province, Tissemsilt, Medea, M'Sila, Naama regions",Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1994,9.0,21.0,1994,9.0,26.0,32.0,,1200.0,,1200.0,,,,,,,54.7016925431883,,,,
1996-0079-DZA,1996,79,,Natural,Hydrological,Flood,Riverine flood,,,Algeria,DZA,Northern Africa,Africa,El Tarf Region (Eastern Algeria),Heavy rains,,,,No,No,,,Km2,,,,,1996,4.0,23.0,1996,4.0,30.0,4.0,101.0,,,101.0,,,,,,,57.8847058823529,,,,
1997-0162-DZA,1997,162,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,Ain Guezam,,,,,,,,,Km2,,,,,1997,8.0,2.0,1997,8.0,2.0,4.0,,,3000.0,3000.0,,,,,,,59.2378657336541,,,,
1999-0040-DZA,1999,40,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,Adrar Province,,,,,,,,,Km2,,,,,1999,1.0,14.0,1999,1.0,14.0,12.0,2.0,,700.0,702.0,,,,,,,61.473667176908,,,,
2000-0485-DZA,2000,485,,Natural,Hydrological,Flood,,,,Algeria,DZA,Northern Africa,Africa,"Bordj Bou Arreridj district (Bordj Bou Arrer province), Oum El Bouaghi district (Oum El Bouaghi province)",,,,,,,,,Km2,,,,,2000,8.0,6.0,2000,8.0,6.0,7.0,,,,,,,,,,,63.5495473431008,2,,37989;38686,"Bordj Bou Arreridj, Oum El Bouaghi (Adm2)."
