Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2000-0002-AGO,2000,2,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Dombre Grande village (Baia Farta district, Benguela province), Massangano village (Cambambe district, Kuanza Norte province)",Heavy rain,,,,,Yes,,47000.0,Km2,,,,"Coporolo, Kwanza, Lucala",2000,1.0,8.0,2000,1.0,15.0,31.0,,70000.0,,70000.0,,,,,10000.0,15736.0,63.5495473431008,2,,4214;4291,"Baia Farta, Cambambe (Adm2)."
2000-0152-AGO,2000,152,,Natural,Hydrological,Flood,,,,Angola,AGO,Middle Africa,Africa,"Caxito village (Dande district, Bengo province)",,,,,,,,,Km2,,,,,2000,3.0,27.0,2000,3.0,27.0,3.0,,,6000.0,6000.0,,,,,,,63.5495473431008,2,,4208,Dande (Adm2).
2000-0193-AGO,2000,193,,Natural,Hydrological,Flood,,,,Angola,AGO,Middle Africa,Africa,Porto Amboim district (Cuanza Sul province),,,,,,,,,Km2,,,,,2000,4.0,10.0,2000,4.0,10.0,1.0,,,3000.0,3000.0,,,,,,,63.5495473431008,2,,4251,Porto Amboim (Adm2).
2000-0260-AGO,2000,260,,Natural,Hydrological,Flood,,,,Angola,AGO,Middle Africa,Africa,Ganda district (Benguela province),,,,,,,,,Km2,,,,,2000,5.0,3.0,2000,5.0,3.0,11.0,11.0,,,11.0,,,,,,,63.5495473431008,2,,4221,Ganda (Adm2).
2001-0021-AGO,2001,21,,Natural,Hydrological,Flood,,,,Angola,AGO,Middle Africa,Africa,Kuito district (Bie province),,,,,,,,,Km2,,,,,2001,1.0,15.0,2001,1.0,15.0,9.0,5.0,,,5.0,,,,,,,65.345558714192,2,,4230,Kuito (Adm2).
2001-0146-AGO,2001,146,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Xangongo village (Ombadja district, Cunene province), Onjiva village (Cuanhama district, Cunene province), Luacho, Senje, Muhaningo, Seco, Dombre-Grande, Canto villages (Baia Farta district, Benguela province), Namibe city, Macala, Lucira villages (Namibe district, Namibe province), Bibala, Camacuio districts (Namibe province), Lubango, Quipungo, Caluquembe districts (Huila province), Namacunde district (Cunene province), Luanda district (Luanda province), Bengo province",Heavy rain,,,Yes,,,75.0,24780.0,Km2,,,,"Beiro, Giraul rivers",2001,4.0,2.0,2001,4.0,9.0,48.0,,39928.0,,39928.0,,,,,,,65.345558714192,1;2,398,4214;4258;4261;4262;4276;4284;4287;4299;4337;4338;4339,"Bengo (Adm1). Baia Farta, Bibala, Caluquembe, Camacuio, Cuanhama, Luanda, Lubango, Namacunde, Namibe, Ombadja, Quipungo (Adm2)."
2002-0074-AGO,2002,74,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,Kuito district (Bie province),Heavy rains,,,,,,,,Km2,,,,,2002,2.0,6.0,2002,2.0,6.0,8.0,,,,,,,,,,,66.3819636999782,2,,4230,Kuito (Adm2).
2003-0072-AGO,2003,72,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Luanda, Luanda Norte, Malanje provinces",Heavy rains,,,,,,,115300.0,Km2,,,,"Upper Cuanza, Cuanango",2003,2.0,6.0,2003,2.0,20.0,9.0,,,600.0,600.0,,,,,,,67.8888956921058,1,408;409;411,,"Luanda, Lunda Norte, Malanje (Adm1)."
2003-0570-AGO,2003,570,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,Uige province,Heavy rains,,,,,,,,Km2,,,,,2003,11.0,22.0,2003,11.0,23.0,6.0,,,225.0,225.0,,,,,,,67.8888956921058,1,414,,Uige (Adm1).
2004-0019-AGO,2004,19,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Catata, Calenga villages (Caala district, Huambo province)",Heavy rains,Broken Dam/Burst bank,,,,,,,Km2,,,,Cunene river,2004,1.0,27.0,2004,3.0,1.0,27.0,,330000.0,1700.0,331700.0,,,,,,,69.7064421605073,2,,4264,Caala (Adm2).
2004-0159-AGO,2004,159,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Cuando Cubango, Moxico provinces",Heavy rains,,,,,,,,Km2,,,,,2004,2.0,1.0,2004,6.0,2.0,,,,,,,,,,,,69.7064421605073,1,402;412,,"Cuando Cubango, Moxico (Adm1)."
2004-0661-AGO,2004,661,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Dondo town (Cambambe district, Kuanza Norte province)",Heavy rain,,,,,,,2660.0,Km2,,,,,2004,12.0,18.0,2004,12.0,19.0,1.0,,2000.0,,2000.0,,,,,,,69.7064421605073,2,,4291,Cambambe (Adm2).
2005-0137-AGO,2005,137,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Kuanza Norte, Uige, Zaire, Malanje, Bengo, Huambo, Benguela, Bie, Cuando Cubango provinces",Heavy rains,,,,,,,118200.0,Km2,,,,"Kapacala, Cuanza, Okavango rivers",2005,1.0,27.0,2005,3.0,28.0,,,,10000.0,10000.0,,,,,,,72.0714104526569,1,398;399;400;402;405;407;411;414;415,,"Bengo, Benguela, Bie, Cuando Cubango, Huambo, Kuanza Norte, Malanje, Uige, Zaire (Adm1)."
2007-0010-AGO,2007,10,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Cuando Cubango, Huambo, Malanje, Moxico provinces",Heavy rain,,,,,,,,Km2,-12.95,24.37,,"Okavango, Cuanza",2007,1.0,10.0,2007,5.0,10.0,,,,6000.0,6000.0,,,,,,,76.5186792040236,1,402;405;411;412,,"Cuando Cubango, Huambo, Malanje, Moxico (Adm1)."
2007-0027-AGO,2007,27,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Luanda, Cacuaco districts (Luanda province), Huambo, Bengo, Benguela, Lunda Norte provinces","Torrential rain, El Nino blamed",,,,,,,1600.0,Km2,-8.87,13.36,,,2007,1.0,17.0,2007,1.0,25.0,105.0,,40000.0,,40000.0,,,,,,,76.5186792040236,1,398;399;405;408;409,,"Bengo, Benguela, Huambo, Luanda, Lunda Norte (Adm1)."
2008-0060-AGO,2008,60,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,"Menongue, Missombo, Caiundo villages (Menongue district, Cuando Cubango province), Cuangar, Savate villages (Cuangar district, Cuando Cubango province), Dirico, Mucusso villages (Dirico district, Cuando Cubango province), Calai, Nankova, Rivungo, Mavinga, Cuito Cuanavale districts (Cuando Cubango province), Namibe, Huila, Cunene provinces",Heavy rains,,,Yes,,,,,Km2,-17.05,17.26,,,2008,1.0,31.0,2008,3.0,3.0,7.0,,81400.0,,81400.0,,,,,,,79.4563043953641,1;2,404;406;413,4236;4237;4239;4240;4241;4242;4243;4244,"Cunene, Huila, Namibe (Adm1). Calai, Cuangar, Cuito Cuanavale, Dirico, Mavinga, Menongue, Nankova, Rivungo (Adm2)."
2009-0037-AGO,2009,37,,Natural,Hydrological,Flood,Riverine flood,,,Angola,AGO,Middle Africa,Africa,Luanda province,Heavy rains,,,,,,,61810.0,Km2,-9.84,14.15,,,2009,2.0,14.0,2009,2.0,16.0,2.0,,,415.0,415.0,,,,,,,79.1738027553029,1,408,,Luanda (Adm1).
