Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1950-0009-ATG,1950,9,,Natural,Meteorological,Storm,Tropical cyclone,,Dog,Antigua and Barbuda,ATG,Caribbean,Americas,,,,,,,,,,Kph,,,,,1950,9.0,1.0,1950,9.0,1.0,2.0,,,,,,,,,1000.0,11237.0,8.8989469074416,,,,
1960-0024-ATG,1960,24,,Natural,Meteorological,Storm,Tropical cyclone,,Donna,Antigua and Barbuda,ATG,Caribbean,Americas,,,,,,,,,,Kph,,,,,1960,9.0,4.0,1960,9.0,4.0,2.0,,,,,,,,,,,10.9145068882572,,,,
1966-0072-ATG,1966,72,,Natural,Meteorological,Storm,Tropical cyclone,,Inez,Antigua and Barbuda,ATG,Caribbean,Americas,,,,,,,,,,Kph,,,,,1966,9.0,26.0,1966,9.0,26.0,,,,,,,,,,,,11.9785873605948,,,,
1989-0115-ATG,1989,115,,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,Antigua and Barbuda,ATG,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1989,9.0,17.0,1989,9.0,17.0,2.0,,7500.0,530.0,8030.0,,,,,80000.0,174866.0,45.749276186311,,,,
1990-0052-ATG,1990,52,,Natural,Meteorological,Storm,Tropical cyclone,,Gustav,Antigua and Barbuda,ATG,Caribbean,Americas,,,,,,,,,,Kph,,,,,1990,8.0,27.0,1990,8.0,27.0,,,,,,,,,,,,48.2187972884321,,,,
1995-0192-ATG,1995,192,,Natural,Meteorological,Storm,Tropical cyclone,,Luis,Antigua and Barbuda,ATG,Caribbean,Americas,,,,,Yes,No,No,,220.0,Kph,,,,,1995,9.0,5.0,1995,9.0,7.0,2.0,165.0,,3537.0,3702.0,,,,,350000.0,622374.0,56.2363000218675,,,,
1998-0383-ATG,1998,383,,Natural,Meteorological,Storm,Tropical cyclone,,Georges,Antigua and Barbuda,ATG,Caribbean,Americas,"Liberta, Crabbe Hill, Five Islands, All Saint Village, Bolans",,,,Yes,No,No,,210.0,Kph,,,,,1998,9.0,20.0,1998,9.0,29.0,2.0,25.0,,2000.0,2025.0,,,50000.0,83115.0,100000.0,166231.0,60.1574108900066,,,,
1999-0438-ATG,1999,438,,Natural,Meteorological,Storm,Tropical cyclone,,Jose,Antigua and Barbuda,ATG,Caribbean,Americas,"Crab's Hill, Five Isl., Cobbs Cross",,,,,,,,160.0,Kph,,,,,1999,10.0,20.0,1999,10.0,20.0,1.0,18.0,2000.0,516.0,2534.0,,,,,,,61.473667176908,,,,
1999-0525-ATG,1999,525,,Natural,Meteorological,Storm,Tropical cyclone,,Lenny,Antigua and Barbuda,ATG,Caribbean,Americas,,,,,,No,No,,215.0,Kph,,,,,1999,11.0,17.0,1999,11.0,19.0,1.0,,2500.0,923.0,3423.0,,,,,,,61.473667176908,,,,
2008-0604-ATG,2008,604,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Omar""",Antigua and Barbuda,ATG,Caribbean,Americas,All country affected (no more data),,Flood,,,,,,,Kph,,,,,2008,10.0,15.0,2008,10.0,16.0,,,25800.0,,25800.0,,,,,,,79.4563043953641,1,40206;40207;40208;40209;40210;40211;40212;40213,,"Barbuda, Name Unknown, St. George, St. John, St. Mary, St. Paul, St. Peter, St. Philip (Adm1)."
2010-0468-ATG,2010,468,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Earl,Antigua and Barbuda,ATG,Caribbean,Americas,All country affected (no data),,Flood,,,,,,142.0,Kph,,,,,2010,8.0,29.0,2010,8.0,31.0,,,5000.0,,5000.0,,,,,12600.0,15658.0,80.472285151979,1,40206;40207;40208;40209;40210;40211;40212;40213,,"Barbuda, Name Unknown, St. George, St. John, St. Mary, St. Paul, St. Peter, St. Philip (Adm1)."
2017-0381-ATG,2017,381,TC-2017-000132,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Irma',Antigua and Barbuda,ATG,Caribbean,Americas,"Barbuda, St John and St George districts (Crosbies, Fort Road, Clare Hall, Grays Farm, Pigotts) (Antigua)",,,,Yes,,,,295.0,Kph,,,,,2017,9.0,6.0,2017,9.0,6.0,1.0,,1800.0,,1800.0,200000.0,221092.0,6800.0,7517.0,250000.0,276365.0,90.4601793133611,1,40206;40208;40209,,"Barbuda, St. George, St. John (Adm1)."
