Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1971-0015-AUS,1971,15,,Natural,Hydrological,Flood,Riverine flood,,,Australia,AUS,Australia and New Zealand,Oceania,"South Wales, Queensland, Victoria",,,,,,,,,Km2,,,,,1971,2.0,9.0,1971,2.0,9.0,27.0,,,,,,,,,20000.0,133840.0,14.9432495079816,,,,
1984-0109-AUS,1984,109,,Natural,Hydrological,Flood,Flash flood,,,Australia,AUS,Australia and New Zealand,Oceania,Sydney area,,,,,,,,,Km2,,,,,1984,11.0,9.0,1984,11.0,9.0,36.0,,,,,,,,,3000.0,7825.0,38.3376251913405,,,,
1986-0231-AUS,1986,231,,Natural,Hydrological,Flood,,,,Australia,AUS,Australia and New Zealand,Oceania,"Central, South",,,,,,,,,Km2,,,,,1986,8.0,3.0,1986,8.0,3.0,8.0,,,,,,,,,64200.0,158713.0,40.4504089219331,,,,
1990-0087-AUS,1990,87,,Natural,Hydrological,Flood,Riverine flood,,,Australia,AUS,Australia and New Zealand,Oceania,From South Queensland to Central New South Wales,Heavy rain,,,,No,No,,,Km2,,,,"Warrego River, Bogan River",1990,4.0,18.0,1990,4.0,24.0,6.0,,6000.0,,6000.0,,,,,195500.0,405444.0,48.2187972884321,,,,
1990-0724-AUS,1990,724,,Natural,Hydrological,Flood,Coastal flood,,,Australia,AUS,Australia and New Zealand,Oceania,"Queensland Coast, Rockhampton",Extra-tropical cyclone,,,,No,Yes,,96490.0,Km2,,,,Fitzroy,1990,12.0,25.0,1991,1.0,16.0,6.0,,,,,,,,,78200.0,162177.0,48.2187972884321,,,,
1993-0214-AUS,1993,214,,Natural,Hydrological,Flood,Flash flood,,,Australia,AUS,Australia and New Zealand,Oceania,Victoria and New South Wales states,Brief torrential rain,,,,No,No,,4160.0,Km2,,,,,1993,10.0,3.0,1993,10.0,15.0,1.0,30.0,15000.0,5500.0,20530.0,,,,,4600.0,8629.0,53.3116203804942,,,,
1996-0320-AUS,1996,320,,Natural,Hydrological,Flood,Riverine flood,,,Australia,AUS,Australia and New Zealand,Oceania,"Brisbane (South Queensland), Grafton (Northern New South Wales)",Heavy rains,,,,No,No,,330400.0,Km2,,,,,1996,5.0,2.0,1996,5.0,9.0,4.0,20.0,10000.0,100.0,10120.0,,,,,205300.0,354671.0,57.8847058823529,,,,
1996-0272-AUS,1996,272,,Natural,Hydrological,Flood,Flash flood,,,Australia,AUS,Australia and New Zealand,Oceania,Coffs Harbour,,,,,,,,,Km2,,,,,1996,11.0,25.0,1996,11.0,25.0,1.0,6.0,2700.0,400.0,3106.0,,,,,131000.0,226312.0,57.8847058823529,,,,
1997-0015-AUS,1997,15,,Natural,Hydrological,Flood,Riverine flood,,,Australia,AUS,Australia and New Zealand,Oceania,Queensland State,,,,,,,,,Km2,,,,,1997,2.0,4.0,1997,2.0,4.0,,,400.0,,400.0,,,,,,,59.2378657336541,,,,
1998-0011-AUS,1998,11,,Natural,Hydrological,Flood,Coastal flood,,,Australia,AUS,Australia and New Zealand,Oceania,Towsville Area,Tropical cyclone,,,,No,No,,,Km2,,,,,1998,1.0,1.0,1998,2.0,1.0,2.0,,200.0,,200.0,,,42900.0,71313.0,61300.0,101899.0,60.1574108900066,,,,
