Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1971-0096-AUS,1971,96,,Natural,Meteorological,Storm,Tropical cyclone,,Althea,Australia,AUS,Australia and New Zealand,Oceania,Townsville area (Queensland),,,,,,,,,Kph,,,,,1971,12.0,24.0,1971,12.0,24.0,3.0,,,,,,,,,119219.0,797812.0,14.9432495079816,,,,
1974-0061-AUS,1974,61,,Natural,Meteorological,Storm,Tropical cyclone,,Tracy,Australia,AUS,Australia and New Zealand,Oceania,Darwin,,,,Yes,,,,,Kph,,,,,1974,12.0,25.0,1974,12.0,25.0,65.0,640.0,45000.0,,45640.0,,,,,800000.0,4396331.0,18.196991034332,,,,
1976-0131-AUS,1976,131,,Natural,Meteorological,Storm,,,,Australia,AUS,Australia and New Zealand,Oceania,Sydney,,,,,,,,,Kph,,,,,1976,11.0,10.0,1976,11.0,10.0,,,,,,,,,,38024.0,181052.0,21.0017319046578,,,,
1982-0264-AUS,1982,264,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Australia,AUS,Australia and New Zealand,Oceania,"Victoria, Melbourne",,,,,,,,139.0,Kph,,,,,1982,11.0,15.0,1982,11.0,15.0,,,,,,,,,,12454.0,34971.0,35.6128405860485,,,,
1982-0266-AUS,1982,266,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Australia,AUS,Australia and New Zealand,Oceania,Southern Queensland,,,,,,,,,Kph,,,,,1982,12.0,15.0,1982,12.0,15.0,,,,,,,,,,11767.0,33041.0,35.6128405860485,,,,
1985-0023-AUS,1985,23,,Natural,Meteorological,Storm,Convective storm,Hail,,Australia,AUS,Australia and New Zealand,Oceania,"Brisbane, Queensland",,,,,No,No,,,Kph,,,,,1985,1.0,18.0,1985,1.0,18.0,27.0,,,,,,,68400.0,172305.0,122000.0,307329.0,39.696934178876,,,,
1986-0121-AUS,1986,121,,Natural,Meteorological,Storm,,,,Australia,AUS,Australia and New Zealand,Oceania,"Sydney, New South Wales",,,,,,,,,Kph,,,,,1986,10.0,3.0,1986,10.0,3.0,,,,,,,,11200.0,27688.0,51000.0,126080.0,40.4504089219331,,,,
1989-0398-AUS,1989,398,,Natural,Meteorological,Storm,Tropical cyclone,,Aivu,Australia,AUS,Australia and New Zealand,Oceania,"South New Gales, Queensland",,,,,,,,250.0,Kph,,,,,1989,3.0,31.0,1989,4.0,5.0,10.0,,,,,,,94300.0,206123.0,94300.0,206123.0,45.749276186311,,,,
1989-0399-AUS,1989,399,,Natural,Meteorological,Storm,Tropical cyclone,,Orson,Australia,AUS,Australia and New Zealand,Oceania,,,,,,,,,250.0,Kph,,,,,1989,4.0,17.0,1989,4.0,24.0,2.0,,,,,,,,,13611.0,29751.0,45.749276186311,,,,
1990-0422-AUS,1990,422,,Natural,Meteorological,Storm,Tropical cyclone,,Joy,Australia,AUS,Australia and New Zealand,Oceania,Queensland,,,,,,,,,Kph,,,,,1990,12.0,25.0,1990,12.0,25.0,,,,,,,,,,155600.0,322696.0,48.2187972884321,,,,
