Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1980-0233-AUT,1980,233,,Natural,Hydrological,Flood,,,,Austria,AUT,Western Europe,Europe,Styria province (South regions),,,,,,,,,Km2,,,,,1980,10.0,13.0,1980,10.0,13.0,,,,,,,,,,,,30.4123857424011,,,,
1982-0299-AUT,1982,299,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,Western regions,,,,,,,,,Km2,,,,,1982,5.0,18.0,1982,5.0,18.0,,,,,,,,,,,,35.6128405860485,,,,
1983-0336-AUT,1983,336,,Natural,Hydrological,Flood,,,,Austria,AUT,Western Europe,Europe,Southeastern area,,,,,,,,,Km2,,,,,1983,9.0,22.0,1983,9.0,22.0,,,,,,,,,,,,36.7568773234201,,,,
1985-0245-AUT,1985,245,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,"Tyrol, Salzburg provinces",,,,,,,,15150.0,Km2,,,,,1985,8.0,7.0,1985,8.0,7.0,12.0,,,,,,,,,,,39.696934178876,,,,
1991-0296-AUT,1991,296,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,"Salzburg, Linz, Krems",Heavy rain,Rain,"Slide (land, mud, snow, rock)",,No,Yes,,,Km2,,,,Danube,1991,8.0,2.0,1991,8.0,6.0,5.0,,,,,,,,,82000.0,163149.0,50.2608528318391,,,,
1995-0127-AUT,1995,127,,Natural,Hydrological,Flood,,,,Austria,AUT,Western Europe,Europe,SalzbourgpProvince,,,,,,,,,Km2,,,,,1995,6.0,27.0,1995,6.0,27.0,2.0,,,,,,,,,200.0,356.0,56.2363000218675,,,,
1996-0148-AUT,1996,148,,Natural,Hydrological,Flood,Flash flood,,,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1996,6.0,19.0,1996,6.0,23.0,,,,,,,,,,5000.0,8638.0,57.8847058823529,,,,
1997-0154-AUT,1997,154,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,7.0,8.0,1997,7.0,22.0,3.0,,,,,,,,,175000.0,295419.0,59.2378657336541,,,,
1999-0182-AUT,1999,182,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1999,5.0,11.0,1999,6.0,30.0,3.0,,,,,,,,,32000.0,52055.0,61.473667176908,,,,
2002-0489-AUT,2002,489,,Natural,Hydrological,Flood,Riverine flood,,,Austria,AUT,Western Europe,Europe,"Entire Country (Vorarlberg, Upper Austria, Salzburg, Styria)",,,,,,,,,Km2,,,,,2002,8.0,12.0,2002,8.0,20.0,9.0,,60000.0,,60000.0,,,400000.0,602573.0,2400000.0,3615440.0,66.3819636999782,1,478;479;480;481;482;483;484;485;486,,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1)."
