Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1981-0212-AUT,1981,212,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Austria,AUT,Western Europe,Europe,Donau regions,,,,,,,,,Kph,,,,,1981,7.0,19.0,1981,7.0,19.0,,,,,,,,,,,,33.5554165755522,,,,
1984-0174-AUT,1984,174,,Natural,Meteorological,Storm,Convective storm,Hail,,Austria,AUT,Western Europe,Europe,,,,,,,,,,Kph,,,,,1984,7.0,12.0,1984,7.0,12.0,12.0,,,,,,,,,,,38.3376251913405,,,,
1990-0721-AUT,1990,721,,Natural,Meteorological,Storm,,,Ottilie and Polly,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,13.0,1990,2.0,15.0,,,,,,,,,,10000.0,20739.0,48.2187972884321,,,,
1990-0722-AUT,1990,722,,Natural,Meteorological,Storm,,,Vivian,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,,,,,,,,80000.0,165910.0,120000.0,248866.0,48.2187972884321,,,,
1990-0723-AUT,1990,723,,Natural,Meteorological,Storm,,,Wiebke,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,28.0,1990,3.0,1.0,3.0,,,,,,,80000.0,165910.0,120000.0,248866.0,48.2187972884321,,,,
1990-0361-AUT,1990,361,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Austria,AUT,Western Europe,Europe,,,Hail,,,No,No,,,Kph,,,,,1990,5.0,22.0,1990,5.0,22.0,,,,,,,,28200.0,58483.0,,,48.2187972884321,,,,
1990-0376-AUT,1990,376,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Austria,AUT,Western Europe,Europe,,,,,,,,,,Kph,,,,,1990,7.0,1.0,1990,7.0,1.0,,,,,,,,37700.0,78185.0,,,48.2187972884321,,,,
1991-0520-AUT,1991,520,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Austria,AUT,Western Europe,Europe,,,"Slide (land, mud, snow, rock)",,,No,No,,,Kph,,,,,1991,7.0,13.0,1991,7.0,14.0,,,,,,,,,,28000.0,55709.0,50.2608528318391,,,,
1993-0065-AUT,1993,65,,Natural,Meteorological,Storm,Convective storm,Hail,,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1993,7.0,5.0,1993,7.0,6.0,,,,,,,,,,1000.0,1876.0,53.3116203804942,,,,
1994-0015-AUT,1994,15,,Natural,Meteorological,Storm,,,Lore,Austria,AUT,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1994,1.0,27.0,1994,1.0,29.0,,,,,,,,,,2000.0,3656.0,54.7016925431883,,,,
2000-0311-AUT,2000,311,,Natural,Meteorological,Storm,,,,Austria,AUT,Western Europe,Europe,Steiermark province,,Hail,,,,,,,Kph,,,,,2000,5.0,27.0,2000,5.0,27.0,,,,,,,,,,20000.0,31472.0,63.5495473431008,1,483,,Steiermark (Adm1).
2002-0675-AUT,2002,675,,Natural,Meteorological,Storm,Extra-tropical storm,,Jeannet,Austria,AUT,Western Europe,Europe,No Data from sources (all provinces of Austria have been selected),,,,,,,,,Kph,,,,,2002,10.0,27.0,2002,10.0,28.0,2.0,,,,,,,,,5000.0,7532.0,66.3819636999782,1,478;479;480;481;482;483;484;485;486,,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1)."
2002-0706-AUT,2002,706,,Natural,Meteorological,Storm,,,,Austria,AUT,Western Europe,Europe,Salzbourg region,,,,,,,,160.0,Kph,,,,,2002,11.0,14.0,2002,11.0,14.0,1.0,,300.0,,300.0,,,,,,,66.3819636999782,1,482,,Salzburg (Adm1).
