Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1926-0009-BHS,1926,9,,Natural,Meteorological,Storm,Tropical cyclone,,,Bahamas (the),BHS,Caribbean,Americas,Nassau,,,,,,,,,Kph,,,,,1926,7.0,26.0,1926,7.0,26.0,,,,,,,,,,,,6.5480494533318,,,,
1929-0003-BHS,1929,3,,Natural,Meteorological,Storm,Tropical cyclone,,,Bahamas (the),BHS,Caribbean,Americas,Nassau,,,,,,,,,Kph,,,,,1929,9.0,26.0,1929,9.0,26.0,,,,,,,,,,,,6.3511156351865,,,,
1935-0009-BHS,1935,9,,Natural,Meteorological,Storm,Tropical cyclone,,,Bahamas (the),BHS,Caribbean,Americas,Bimini,,,,,,,,,Kph,,,,,1935,9.0,29.0,1935,9.0,29.0,14.0,,,,,,,,,,,5.0710458172419,,,,
1945-0004-BHS,1945,4,,Natural,Meteorological,Storm,Tropical cyclone,,,Bahamas (the),BHS,Caribbean,Americas,,,,,,,,,,Kph,,,,,1945,9.0,14.0,1945,9.0,14.0,22.0,,,,,,,,,,,6.6588247260385,,,,
1963-0031-BHS,1963,31,,Natural,Meteorological,Storm,Tropical cyclone,,Flora,Bahamas (the),BHS,Caribbean,Americas,,,,,,,,,,Kph,,,,,1963,10.0,8.0,1963,10.0,8.0,,,,,,,,,,1500.0,13272.0,11.3019986879511,,,,
1965-0054-BHS,1965,54,,Natural,Meteorological,Storm,Tropical cyclone,,Betsy,Bahamas (the),BHS,Caribbean,Americas,"Eleuthera, Abaco, Andr",,,,Yes,,,,,Kph,,,,,1965,9.0,9.0,1965,9.0,9.0,,,1200.0,,1200.0,,,,,700.0,6020.0,11.6279903783075,,,,
1966-0078-BHS,1966,78,,Natural,Meteorological,Storm,Tropical cyclone,,Inez,Bahamas (the),BHS,Caribbean,Americas,"Nassau, Bimini",,,,,,,,,Kph,,,,,1966,10.0,3.0,1966,10.0,3.0,5.0,3.0,,,3.0,,,,,15500.0,129398.0,11.9785873605948,,,,
1990-0042-BHS,1990,42,,Natural,Meteorological,Storm,Tropical cyclone,,Arthur,Bahamas (the),BHS,Caribbean,Americas,,,,,,,,,113.0,Kph,,,,,1990,7.0,27.0,1990,7.0,27.0,,,,,,,,,,,,48.2187972884321,,,,
1992-0065-BHS,1992,65,,Natural,Meteorological,Storm,Tropical cyclone,,Andrew,Bahamas (the),BHS,Caribbean,Americas,"Eleuthera, Bimini, Berry Islands",,,,Yes,,,253.0,241.0,Kph,,,,,1992,8.0,23.0,1992,8.0,23.0,4.0,,,1700.0,1700.0,,,,,250000.0,482782.0,51.7831620380495,,,,
1995-0404-BHS,1995,404,,Natural,Meteorological,Storm,Tropical cyclone,,Erin,Bahamas (the),BHS,Caribbean,Americas,"Abaco, Grand Bahma, Mayaguana, Exuma",,,,,No,No,,,Kph,,,,,1995,7.0,31.0,1995,8.0,6.0,,,,,,,,,,400.0,711.0,56.2363000218675,,,,
1999-0327-BHS,1999,327,,Natural,Meteorological,Storm,Tropical cyclone,,Floyd,Bahamas (the),BHS,Caribbean,Americas,Grand Bahama Isl.,,,,Yes,No,No,,,Kph,,,,,1999,9.0,7.0,1999,9.0,17.0,1.0,,,,,,,22000.0,35788.0,450000.0,732021.0,61.473667176908,,,,
2001-0671-BHS,2001,671,,Natural,Meteorological,Storm,Tropical cyclone,,Michelle,Bahamas (the),BHS,Caribbean,Americas,New Providence island (Administrative unit not available),,,,,,,,,Kph,,,,,2001,11.0,9.0,2001,11.0,9.0,,,,,,,,15000.0,22955.0,300000.0,459098.0,65.345558714192,1,561,,Administrative unit not available (Adm1).
2004-0462-BHS,2004,462,,Natural,Meteorological,Storm,Tropical cyclone,,Ivan,Bahamas (the),BHS,Caribbean,Americas,,,,,,,,,,Kph,,,,,2004,8.0,25.0,2004,9.0,8.0,1.0,,,,,,,,,,,69.7064421605073,1,561,,Administrative unit not available (Adm1).
2004-0455-BHS,2004,455,,Natural,Meteorological,Storm,Tropical cyclone,,Frances,Bahamas (the),BHS,Caribbean,Americas,"Abacos, Andros, Berry Islands, Bimini, Eleuthera, Grand Bahama, New Providence islands (Administrative unit not available)",,,,Yes,,,,,Kph,,,,,2004,9.0,2.0,2004,9.0,3.0,2.0,,8000.0,,8000.0,,,230000.0,329955.0,1000000.0,1434588.0,69.7064421605073,1,561,,Administrative unit not available (Adm1).
2004-0473-BHS,2004,473,,Natural,Meteorological,Storm,Tropical cyclone,,Jeanne,Bahamas (the),BHS,Caribbean,Americas,"Abaco, Andros, Berry, Bimini, Eleuthera, Exuma, Grand Bahama, New Providence Islands (Administrative unit not available)",,Flood,Surge,,,,,,Kph,,,,,2004,9.0,25.0,2004,9.0,25.0,9.0,,1000.0,,1000.0,,,,,550000.0,789023.0,69.7064421605073,1,561,,Administrative unit not available (Adm1).
2005-0585-BHS,2005,585,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Wilma""",Bahamas (the),BHS,Caribbean,Americas,,,,,Yes,,,,,Kph,,,,,2005,10.0,19.0,2005,10.0,25.0,1.0,,1500.0,,1500.0,,,,,,,72.0714104526569,1,561,,Administrative unit not available (Adm1).
2007-0523-BHS,2007,523,TC-2007-000198,Natural,Meteorological,Storm,Tropical cyclone,,Noel,Bahamas (the),BHS,Caribbean,Americas,"Abaco, Long Island, Exuma, Cat Island, Andros, New Providence islands (Administrative unit not available)",,Flood,,,,,,,Kph,18.53,-70.06,,,2007,10.0,28.0,2007,11.0,2.0,1.0,,7000.0,,7000.0,,,,,,,76.5186792040236,1,561,,Administrative unit not available (Adm1).
2008-0352-BHS,2008,352,TC-2008-000143,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Gustav""",Bahamas (the),BHS,Caribbean,Americas,,,Flood,,,,,,,Kph,,,,,2008,8.0,26.0,2008,8.0,26.0,,,,,,,,,,,,79.4563043953641,1,561,,Administrative unit not available (Adm1).
2008-0384-BHS,2008,384,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Ike,Bahamas (the),BHS,Caribbean,Americas,"Great Inagua, Mayaguana, Acklins, Crooked, Raaged Islands (Administrative unit not available)",,,,,,,,215.0,Kph,,,,,2008,9.0,7.0,2008,9.0,7.0,,,3000.0,,3000.0,,,,,,,79.4563043953641,1,561,,Administrative unit not available (Adm1).
2011-0328-BHS,2011,328,TC-2011-000114,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Irene,Bahamas (the),BHS,Caribbean,Americas,,,,,Yes,,,,,Kph,,,,,2011,8.0,23.0,2011,8.0,26.0,,,10000.0,,10000.0,,,,,40000.0,48185.0,83.0126743931774,1,561,,Administrative unit not available (Adm1).
2012-0410-BHS,2012,410,TC-2012-000180,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Sandy,Bahamas (the),BHS,Caribbean,Americas,,,,,,,,,,Kph,,,,,2012,10.0,24.0,2012,10.0,24.0,1.0,,,,,,,,,,,84.7304788978789,1,561,,Administrative unit not available (Adm1).
2015-0479-BHS,2015,479,TC-2015-000142,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Joaquin',Bahamas (the),BHS,Caribbean,Americas,"Exuma, Long Island, Mayaguana, Rum Cay, San Salvador, Samana Cay, Crooked Isl., Ragged Islands (Administrative unit not available)",,Flood,Surge,Yes,,,,,Kph,,,,,2015,10.0,1.0,2015,10.0,4.0,33.0,,6710.0,,6710.0,,,61000.0,69738.0,90000.0,102893.0,87.4699322108025,1,561,,Administrative unit not available (Adm1).
2016-0355-BHS,2016,355,TC-2016-000106,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Matthew',Bahamas (the),BHS,Caribbean,Americas,"New Providence, Nassau",,Flood,,Yes,,,,,Kph,,,,,2016,9.0,28.0,2016,10.0,10.0,,,,,,,,,,600000.0,677404.0,88.573452875574,2,,5747,Administrative unit not available (Adm2).
2017-0381-BHS,2017,381,TC-2017-000132,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Irma',Bahamas (the),BHS,Caribbean,Americas,"Inagua, Mayaguana, Crooked Island, Acklins, Long Cay, Ragged Island, San Salvador, Bimini",,,,Yes,,,,,Kph,,,,,2017,9.0,8.0,2017,9.0,9.0,,,,,,,,398.0,440.0,2000.0,2211.0,90.4601793133611,2,,5747,Administrative unit not available (Adm2).
