Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1972-0041-BGD,1972,41,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,Sylhet,,,,,,,,,Km2,,,,,1972,6.0,25.0,1972,6.0,25.0,50.0,,,,,,,,,,,15.4322326700197,,,,
1976-0041-BGD,1976,41,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,Easr,,,,,,,,,Km2,,,,,1976,6.0,15.0,1976,6.0,15.0,168.0,,4000000.0,,4000000.0,,,,,,,21.0017319046578,,,,
1977-0125-BGD,1977,125,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1977,10.0,13.0,1977,10.0,13.0,8.0,,13650.0,,13650.0,,,,,,,22.367198775421,,,,
1982-0100-BGD,1982,100,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,"Rajshahi, Kushtia",,,,,,,,,Km2,,,,,1982,9.0,7.0,1982,9.0,7.0,,,283000.0,25000.0,308000.0,,,,,,,35.6128405860485,,,,
1985-0299-BGD,1985,299,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,"Rangpur, Kurigram a Nil district",,,,,,,,404.0,Km2,,,,,1985,7.0,5.0,1985,7.0,5.0,27.0,,400000.0,,400000.0,,,,,,,39.696934178876,,,,
1986-0096-BGD,1986,96,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,Rajshahi district,,,,,,,,196.0,Km2,,,,,1986,8.0,2.0,1986,8.0,2.0,4.0,,100000.0,,100000.0,,,,,,,40.4504089219331,,,,
1986-0232-BGD,1986,232,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,Chapai,,,,,,,,,Km2,,,,,1986,8.0,7.0,1986,8.0,7.0,26.0,,,300000.0,300000.0,,,,,,,40.4504089219331,,,,
1987-0132-BGD,1987,132,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Rangpur, Netrokona, Gaibandha, Noagaon, Kurigram, Jamlpur, Cox's Bazar, Chittagong, Noahkali districts",,,,Yes,No,No,,18972.0,Km2,,,,,1987,7.0,22.0,1987,7.0,22.0,2055.0,,29700000.0,,29700000.0,,,,,330000.0,786975.0,41.9327356221299,,,,
1989-0119-BGD,1989,119,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Sylhet,Bandarban, Cox's Bazar, Chittagong district,",,,,,,,,,Km2,,,,,1989,8.0,14.0,1989,8.0,14.0,180.0,,200000.0,,200000.0,,,,,,,45.749276186311,,,,
1990-0095-BGD,1990,95,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Habiganj district, Noakhali District (North Eastern)",Heavy rain,,,,No,No,,,Km2,,,,Khowai River,1990,3.0,24.0,1990,3.0,30.0,166.0,1600.0,10000.0,,11600.0,,,,,,,48.2187972884321,,,,
1990-0609-BGD,1990,609,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Rajshabi division, Sirajganj, Jamalpur, Bogra, Pabna",Heavy rain,,,,No,No,,23610.0,Km2,,,,"Jamuna (Brahmaputra) River, Padma (Ganges) River, Mahananda, Pagla and Punarbhaba Rivers",1990,7.0,14.0,1990,9.0,6.0,65.0,,2000000.0,,2000000.0,,,,,6000.0,12443.0,48.2187972884321,,,,
1991-0764-BGD,1991,764,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,Sylhet district,Heavy rain,,,,No,No,,,Km2,,,,"Surma, Kushiara",1991,5.0,14.0,1991,5.0,26.0,200.0,,1200000.0,,1200000.0,,,,,,,50.2608528318391,,,,
1991-0224-BGD,1991,224,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,Rangpur,Monsoonal rain,,,,No,No,,,Km2,,,,,1991,9.0,2.0,1991,9.0,10.0,65.0,,,200000.0,200000.0,,,,,150000.0,298443.0,50.2608528318391,,,,
1992-0190-BGD,1992,190,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Kishoreganj, Brahmambaria districts",,,,,No,No,,,Km2,,,,,1992,4.0,18.0,1992,4.0,18.0,15.0,200.0,,,200.0,,,,,,,51.7831620380495,,,,
1992-0213-BGD,1992,213,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Maheskali, Chittagong, Cox's Bazaar districts",Monsoonal rain,,,,No,No,,,Km2,,,,,1992,6.0,22.0,1992,6.0,26.0,2.0,,,45000.0,45000.0,,,,,,,51.7831620380495,,,,
1992-0293-BGD,1992,293,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,North-East,,,,,No,No,,,Km2,,,,,1992,7.0,11.0,1992,7.0,11.0,,,,30000.0,30000.0,,,,,,,51.7831620380495,,,,
1993-0028-BGD,1993,28,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Habiganj, Sylhet, Sunamganj, Zakiganj, Moulavibazar, Feni, Chittagong, Cox's Bazar districts",Monsoonal rain,,,,No,No,,607.0,Km2,,,,"Brahmaputra-Meghna, Khowai, Manu, Dhalai, Kushyara, Surma",1993,6.0,4.0,1993,6.0,22.0,28.0,,3207056.0,,3207056.0,,,,,,,53.3116203804942,,,,
1993-0045-BGD,1993,45,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Bogra, Sirajganj, Netrokona, Pabna, Sirajganj, Sylhet, Brahmanbaria, Hobiganj, Cox's Bazar, Feni, Comilla, Khagrachari, Bandarban, Rangamati, Maulvibazar, Habiganj and Sunamganj districts (Chittagong Region)",Monssonal rain,,,,No,No,,,Km2,,,,Northeastern Meghna River Basin and Southeastern Hill Basin,1993,7.0,1.0,1993,8.0,31.0,162.0,,11469537.0,,11469537.0,,,,,,,53.3116203804942,,,,
1993-0196-BGD,1993,196,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,"Chittagong, Dhaka",,,,,,,,,Km2,,,,,1993,8.0,21.0,1993,8.0,21.0,4.0,20.0,1000000.0,75000.0,1075020.0,,,,,,,53.3116203804942,,,,
1994-0754-BGD,1994,754,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,Barisal district and Southern Bangladesh,,,,,,,,,Km2,,,,,1994,4.0,19.0,1994,4.0,19.0,61.0,,,,,,,,,,,54.7016925431883,,,,
1994-0755-BGD,1994,755,,Natural,Hydrological,Flood,Flash flood,,,Bangladesh,BGD,Southern Asia,Asia,North,,,,,,,,,Km2,,,,,1994,5.0,19.0,1994,5.0,19.0,12.0,,100.0,,100.0,,,,,,,54.7016925431883,,,,
1994-0131-BGD,1994,131,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,Sylhet district,Monsoonal rain,,,,No,No,,,Km2,,,,Randpani,1994,6.0,1.0,1994,6.0,3.0,3.0,,25000.0,,25000.0,,,,,,,54.7016925431883,,,,
1994-0193-BGD,1994,193,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,"Chapainawabganj, Rajshahi",,,,,,,,,Km2,,,,,1994,8.0,19.0,1994,8.0,19.0,40.0,,300000.0,70000.0,370000.0,,,,,,,54.7016925431883,,,,
1995-0101-BGD,1995,101,,Natural,Hydrological,Flood,Coastal flood,,,Bangladesh,BGD,Southern Asia,Asia,"Chittagong, Bhola, Coxbazar, Bagerhat, Hatiya, Noakhali, Patuakhali",,,,,,,361.0,44.0,Km2,,,,,1995,5.0,15.0,1995,5.0,15.0,50.0,,351325.0,110000.0,461325.0,,,,,,,56.2363000218675,,,,
1995-0487-BGD,1995,487,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Chittagong, Khulna, Dhaka, Barisal",Heavy rain,Tsunami/Tidal wave,,,No,No,,61220.0,Km2,,,,Halda,1995,5.0,17.0,1995,5.0,24.0,41.0,,351000.0,,351000.0,,,,,300.0,533.0,56.2363000218675,,,,
1995-0100-BGD,1995,100,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,"Sylhet, Moulvibazar, Sunamganj, Netrokona, Sirajganj, Gaibandha, Jamalpur, Pabna, Kurigram, Rangpur, Madaripur, Feni, Panchagarh, Lalmonirhat, Tangail, Gopalganj, Satkhira, Bogra",,"Slide (land, mud, snow, rock)",,,No,No,1180.0,68350.0,Km2,,,,"Brahmaputra, Surma, Manu, Gorai",1995,6.0,16.0,1995,6.0,23.0,250.0,,12656006.0,,12656006.0,,,,,200000.0,355642.0,56.2363000218675,,,,
1995-0243-BGD,1995,243,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Dinajpur, Panchagar, Rangpur, Nilpamari, Joipurhat, Gaibanda, Natore, Naogaon, Bogra districts",Monsoonal rain,,,,No,No,,16082.0,Km2,,,,Tista,1995,9.0,29.0,1995,10.0,16.0,400.0,,1000000.0,250000.0,1250000.0,,,,,175000.0,311187.0,56.2363000218675,,,,
1996-0104-BGD,1996,104,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Kurigram, Gaibandha, Bogra, Sirajganj, Tangail, Pabna, Manikanj, Munshiganj, Dhaka, Dhaka city, Narayangani, Shariatpur, Madaripur, Gopalganj, Rajbari, Faridpur, Lalmonirat, Nilhamari",Monsoonal rain,,,,No,No,,69100.0,Km2,,,,"Brahmaputra, Ganges, Meghna, Buriganga",1996,7.0,19.0,1996,8.0,2.0,33.0,,5663319.0,,5663319.0,,,,,10000.0,17276.0,57.8847058823529,,,,
1996-0196-BGD,1996,196,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Rajshai, Padma",Heavy rains,,,,No,No,,,Km2,,,,"Chapainawabganj, Dinajpur, Sherpur rivers",1996,8.0,26.0,1996,9.0,7.0,22.0,,165000.0,,165000.0,,,,,,,57.8847058823529,,,,
1997-0164-BGD,1997,164,,Natural,Hydrological,Flood,Flash flood,,,Bangladesh,BGD,Southern Asia,Asia,"North, Central North",,,,,,,,1200.0,Km2,,,,,1997,7.0,13.0,1997,7.0,13.0,79.0,30.0,800000.0,100000.0,900030.0,,,,,229000.0,386577.0,59.2378657336541,,,,
1998-0203-BGD,1998,203,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Mymensingh, Jamalpur, Sherpur, Hobiganj, Rangpur, Sirajangj, Manikganj, Pabna, Rajbari, Rajshahi, Kurigram, Faridpur, Nilphamari, Gaibandha, Lalmonirhat, Khagrachari, Chitagong, Feni, Comilla, Cox's Bazar, Tangail, Natore districts",Monsoonal rain,,,Yes,No,No,234100.0,91120.0,Km2,,,,,1998,7.0,5.0,1998,9.0,22.0,1050.0,50.0,15000000.0,,15000050.0,,,,,4300000.0,7147914.0,60.1574108900066,,,,
1999-0736-BGD,1999,736,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,"Bhola, Barisal, Patuakhil",,Rain,,,No,No,,,Km2,,,,,1999,4.0,10.0,1999,4.0,11.0,66.0,100.0,,,100.0,,,,,,,61.473667176908,,,,
1999-0730-BGD,1999,730,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,,Monsoonal rain,,,,No,No,,,Km2,,,,,1999,6.0,30.0,1999,7.0,20.0,82.0,,,,,,,,,,,61.473667176908,,,,
1999-0225-BGD,1999,225,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Comilla, Lalmonirhat, Habiganj Jamalpur, Munshiganj, Manikganj, Kustia, Rajshahi, Bogra, Kurigram, Gaibandha, Nilphamari, Lalmonirhat, Sunamganj and Chittagong",Monsoonal rain,,,,No,No,,60.0,Km2,,,,Gomti River,1999,7.0,11.0,1999,8.0,3.0,31.0,20.0,421250.0,20000.0,441270.0,,,,,,,61.473667176908,,,,
1999-0734-BGD,1999,734,,Natural,Hydrological,Flood,,,,Bangladesh,BGD,Southern Asia,Asia,Jamuna,,,,,No,No,,,Km2,,,,,1999,7.0,28.0,1999,8.0,5.0,,,,4000.0,4000.0,,,,,,,61.473667176908,,,,
1999-0277-BGD,1999,277,,Natural,Hydrological,Flood,Riverine flood,,,Bangladesh,BGD,Southern Asia,Asia,"Chittagong port city, Aziznagar, Chittagong Hill Tracts, Island of Maheshkhali (Cox's Bazar, Chittagong and Bandarban districts)",Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,Matamuhuri river,1999,8.0,11.0,1999,8.0,15.0,17.0,50.0,50000.0,,50050.0,,,,,,,61.473667176908,,,,
2000-0373-BGD,2000,373,,Natural,Hydrological,Flood,Flash flood,,,Bangladesh,BGD,Southern Asia,Asia,"Bakalia, Kotwali, Chandgaon, Pahartali, Hathazari, Halishahar, Patiya, Satkania areas (Chittagong district, Chittagong province), Cox's Bazar district (Chittagong province)",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,,17000.0,Km2,,,,"Bramputra, Darata",2000,6.0,24.0,2000,6.0,24.0,11.0,50.0,200000.0,,200050.0,,,,,,,63.5495473431008,2,,5770;5772,"Chittagong, Cox's Bazar (Adm2)."
