Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1909-0010-BGD,1909,10,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,Bakerganj,,,,,,,,,Kph,,,,,1909,10.0,15.0,1909,10.0,15.0,172.0,,,,,,,,,,,3.3232581812022,,,,
1919-0003-BGD,1919,3,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,Bakerganj,,,,,,,,,Kph,,,,,1919,9.0,23.0,1919,9.0,23.0,,,,,,,,,,,,6.4126574533569,,,,
1922-0003-BGD,1922,3,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,Teknaf,,,,,,,,,Kph,,,,,1922,4.0,19.0,1922,4.0,19.0,,,,,,,,,,,,6.1911069079434,,,,
1923-0003-BGD,1923,3,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,"Cox's Bazar, Chittagong",,,,,,,,,Kph,,,,,1923,5.0,7.0,1923,5.0,7.0,6.0,,,25000.0,25000.0,,,,,,,6.3018821806502,,,,
1926-0004-BGD,1926,4,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,Cox's Bazar,,,,,,,,,Kph,,,,,1926,5.0,19.0,1926,5.0,19.0,,,,,,,,,,,,6.5480494533318,,,,
1937-0006-BGD,1937,6,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,Noakhali,,,,,,,,,Kph,,,,,1937,10.0,11.0,1937,10.0,11.0,,,,,,,,,,,,5.3172130899236,,,,
1941-0003-BGD,1941,3,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,"Bhola, East Meghna estuary",,,,,,,,,Kph,,,,,1941,5.0,21.0,1941,5.0,21.0,5000.0,,,,,,,,,,,5.4402967262644,,,,
1947-0012-BGD,1947,12,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,"Cox's Bazar, Chittagong",,,,,,,,,Kph,,,,,1947,10.0,21.0,1947,10.0,21.0,500.0,,,,,,,,,,,8.2589119984693,,,,
1958-0014-BGD,1958,14,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1958,10.0,20.0,1958,10.0,20.0,500.0,,,,,,,,,,,10.6500240542314,,,,
1960-0030-BGD,1960,30,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,"Noakhali, Off-Shore Islands",,,,,,,,,Kph,,,,,1960,10.0,9.0,1960,10.0,9.0,3000.0,,,,,,,,,,,10.9145068882572,,,,
1960-0031-BGD,1960,31,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,"Chittagong area, Off-Shore Islands",,,,,,,,,Kph,,,,,1960,10.0,30.0,1960,10.0,30.0,5149.0,,200000.0,,200000.0,,,,,,,10.9145068882572,,,,
1961-0004-BGD,1961,4,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,Megna Eestuary,,,,,,,,,Kph,,,,,1961,5.0,9.0,1961,5.0,9.0,11000.0,,,,,,,,,11900.0,107874.0,11.0313667176908,,,,
1961-0005-BGD,1961,5,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,Chittagong,,,,,,,,,Kph,,,,,1961,5.0,30.0,1961,5.0,30.0,,,,,,,,,,,,11.0313667176908,,,,
1963-0013-BGD,1963,13,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,"Chittagong, Noakhali",,,,,No,No,,,Kph,,,,,1963,5.0,28.0,1963,5.0,28.0,22000.0,,1000000.0,,1000000.0,,,,,50000.0,442400.0,11.3019986879511,,,,
1964-0024-BGD,1964,24,,Natural,Meteorological,Storm,Tropical cyclone,,,Bangladesh,BGD,Southern Asia,Asia,Jessore district,,,,Yes,,,,,Kph,,,,,1964,4.0,12.0,1964,4.0,12.0,300.0,,800.0,,800.0,,,,,250.0,2184.0,11.4465427509293,,,,
