Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1930-0013-BEL,1930,13,,Natural,Meteorological,Storm,,,,Belgium,BEL,Western Europe,Europe,Meuse Valley,,,,,No,No,,,Kph,,,,,1930,12.0,2.0,1930,12.0,2.0,60.0,,,,,,,,,,,6.1787985443093,,,,
1967-0108-BEL,1967,108,,Natural,Meteorological,Storm,Convective storm,Tornado,,Belgium,BEL,Western Europe,Europe,"Oostmalle, Ypres region",,,,,,,,,Kph,,,,,1967,6.0,25.0,1967,6.0,25.0,,100.0,,,100.0,,,,,,,12.3107281871857,,,,
1976-0161-BEL,1976,161,,Natural,Meteorological,Storm,,,,Belgium,BEL,Western Europe,Europe,Ruisbroek,,,,,,,,,Kph,,,,,1976,1.0,2.0,1976,1.0,2.0,,,,,,,,,,,,21.0017319046578,,,,
1984-0245-BEL,1984,245,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Belgium,BEL,Western Europe,Europe,,,,,,,,,,Kph,,,,,1984,11.0,21.0,1984,11.0,21.0,,,,,,,,,,,,38.3376251913405,,,,
1990-0717-BEL,1990,717,,Natural,Meteorological,Storm,,,Daria,Belgium,BEL,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1.0,25.0,1990,1.0,26.0,10.0,,,,,,,250000.0,518470.0,350000.0,725858.0,48.2187972884321,,,,
1990-0718-BEL,1990,718,,Natural,Meteorological,Storm,,,Herta,Belgium,BEL,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,3.0,1990,2.0,4.0,,,,,,,,120000.0,248866.0,180000.0,373298.0,48.2187972884321,,,,
1990-0719-BEL,1990,719,,Natural,Meteorological,Storm,,,Judith,Belgium,BEL,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,7.0,1990,2.0,8.0,,,,,,,,,,60000.0,124433.0,48.2187972884321,,,,
1990-0721-BEL,1990,721,,Natural,Meteorological,Storm,,,Ottilie and Polly,Belgium,BEL,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,13.0,1990,2.0,15.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0722-BEL,1990,722,,Natural,Meteorological,Storm,,,Vivian,Belgium,BEL,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,5.0,,,,,,,200000.0,414776.0,240000.0,497731.0,48.2187972884321,,,,
1990-0723-BEL,1990,723,,Natural,Meteorological,Storm,,,Wiebke,Belgium,BEL,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,28.0,1990,3.0,1.0,1.0,,,,,,,60000.0,124433.0,90000.0,186649.0,48.2187972884321,,,,
