Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1931-0009-BLZ,1931,9,,Natural,Meteorological,Storm,Tropical cyclone,,,Belize,BLZ,Central America,Americas,Belize city,,,,,,,,,Kph,,,,,1931,9.0,10.0,1931,9.0,10.0,1500.0,,,,,,,,,7500.0,133335.0,5.6249221807756,,,,
1955-0014-BLZ,1955,14,,Natural,Meteorological,Storm,Tropical cyclone,,Janet,Belize,BLZ,Central America,Americas,Corozal area,,,,,,,,,Kph,,,,,1955,9.0,28.0,1955,9.0,28.0,16.0,,,,,,,,,5000.0,50601.0,9.8811808440849,,,,
1961-0013-BLZ,1961,13,,Natural,Meteorological,Storm,Tropical cyclone,,Hattie,Belize,BLZ,Central America,Americas,Belize city other towns,,,,,No,No,,,Kph,,,,,1961,10.0,30.0,1961,10.0,31.0,275.0,,,,,,,,,60000.0,543904.0,11.0313667176908,,,,
1974-0046-BLZ,1974,46,,Natural,Meteorological,Storm,Tropical cyclone,,Carmen & Fifi,Belize,BLZ,Central America,Americas,"Coast, Southern",,,,Yes,,,,,Kph,,,,,1974,9.0,2.0,1974,9.0,2.0,,,70000.0,,70000.0,,,,,4000.0,21982.0,18.196991034332,,,,
1978-0117-BLZ,1978,117,,Natural,Meteorological,Storm,Tropical cyclone,,Greta,Belize,BLZ,Central America,Americas,"South, Central coasts",,,,Yes,,,,193.0,Kph,,,,,1978,9.0,18.0,1978,9.0,18.0,5.0,,6000.0,,6000.0,,,,,6000.0,24923.0,24.0740345506232,,,,
1998-0377-BLZ,1998,377,,Natural,Meteorological,Storm,Tropical cyclone,,Mitch,Belize,BLZ,Central America,Americas,,,,,Yes,No,No,,270.0,Kph,,,,,1998,10.0,25.0,1998,11.0,3.0,9.0,,60000.0,,60000.0,,,,,50.0,83.0,60.1574108900066,,,,
2000-0642-BLZ,2000,642,,Natural,Meteorological,Storm,Tropical cyclone,,Keith,Belize,BLZ,Central America,Americas,"San Pedro and Belize cities, Cay Caulker and Ambergris Caye islands (Belize province), Corozal, Cayo, Orange Walk provinces",,,,Yes,,,2628.0,215.0,Kph,,,,,2000,9.0,30.0,2000,10.0,3.0,14.0,570.0,62000.0,,62570.0,,,,,277460.0,436604.0,63.5495473431008,1,603;604;605;606,,"Belize, Cayo, Corozal, Orange Walk (Adm1)."
2001-0736-BLZ,2001,736,,Natural,Meteorological,Storm,Tropical cyclone,,Chantal,Belize,BLZ,Central America,Americas,"Belize, Corozal, Orange Walk provinces",,,,,,,,100.0,Kph,,,,,2001,8.0,21.0,2001,8.0,21.0,,,,,,,,,,,,65.345558714192,1,603;605;606,,"Belize, Corozal, Orange Walk (Adm1)."
2001-0553-BLZ,2001,553,,Natural,Meteorological,Storm,Tropical cyclone,,Iris,Belize,BLZ,Central America,Americas,"Toledo, Stann Creek provinces",,,,,,,,233.0,Kph,,,,,2001,10.0,8.0,2001,10.0,11.0,30.0,,20000.0,,20000.0,,,,,250000.0,382581.0,65.345558714192,1,607;608,,"Stann Creek, Toledo (Adm1)."
2005-0585-BLZ,2005,585,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Wilma""",Belize,BLZ,Central America,Americas,"Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo provinces",,,,,,,,,Kph,,,,,2005,10.0,21.0,2005,10.0,21.0,,,,,,,,,,,,72.0714104526569,1,603;604;605;606;607;608,,"Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo (Adm1)."
2005-0640-BLZ,2005,640,,Natural,Meteorological,Storm,Tropical cyclone,,Gamma,Belize,BLZ,Central America,Americas,"Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo provinces",,,,,,,,,Kph,,,,,2005,11.0,14.0,2005,11.0,21.0,3.0,,,,,,,,,,,72.0714104526569,1,603;604;605;606;607;608,,"Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo (Adm1)."
2007-0360-BLZ,2007,360,TC-2007-000135,Natural,Meteorological,Storm,Tropical cyclone,,Dean,Belize,BLZ,Central America,Americas,"Corozal, Sarteneja, Consejo cities (Corazal province)",,,,Yes,,,,,Kph,,,,,2007,8.0,21.0,2007,8.0,21.0,,,20000.0,,20000.0,,,,,14847.0,19403.0,76.5186792040236,1,605,,Corozal (Adm1).
2008-0233-BLZ,2008,233,EP-2008-000029,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Arthur',Belize,BLZ,Central America,Americas,"Corozal, Orange Walk, Stann Creek provinces",,Flood,,Yes,,Yes,362.0,,Kph,17.3,-88.1,,,2008,5.0,31.0,2008,6.0,5.0,7.0,,10000.0,,10000.0,,,,,,,79.4563043953641,1,605;606;607,,"Corozal, Orange Walk, Stann Creek (Adm1)."
2010-0503-BLZ,2010,503,TC-2010-000188,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Matthew,Belize,BLZ,Central America,Americas,"Toledo, Stann Creek provinces",,,,,,,,,Kph,,,,,2010,9.0,25.0,2010,9.0,25.0,,,,,,,,,,,,80.472285151979,1,607;608,,"Stann Creek, Toledo (Adm1)."
2016-0284-BLZ,2016,284,TC-2016-000078,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Earl',Belize,BLZ,Central America,Americas,"San Pedro, Caye Caulker, Belize city, Ladyville, (Belize province), Orange Walk province, Belmopan (Cayo province)",,,,Yes,,,,110.0,Kph,,,,,2016,8.0,4.0,2016,8.0,4.0,,,10355.0,,10355.0,,,,,,,88.573452875574,1,603;604;606,,"Belize, Cayo, Orange Walk (Adm1)."
2020-0474-BLZ,2020,474,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Eta',Belize,BLZ,Central America,Americas,"Cayo, Belize, Stann Creek, and Toledo districts",,,,,,,,,Kph,,,,,2020,11.0,4.0,2020,11.0,4.0,,,60000.0,,60000.0,,,,,,,95.5129674174503,1,603;604;607;608,,"Belize, Cayo, Stann Creek, Toledo (Adm1)."
2022-0719-BLZ,2022,719,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Lisa',Belize,BLZ,Central America,Americas,Dangriga and Belize City,,,,,Yes,,,120.0,Kph,,,,,2022,11.0,3.0,2022,11.0,3.0,,,172000.0,150.0,172150.0,,,,,,,,,,,
