Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1965-0071-BOL,1965,71,,Natural,Hydrological,Flood,Flash flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,Cangalli,,,,Yes,,,,,Km2,,,,,1965,12.0,22.0,1965,12.0,22.0,40.0,,500.0,,500.0,,,,,100.0,860.0,11.6279903783075,,,,
1966-0053-BOL,1966,53,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Puerto Grether, Bermejo, Vicchoca, Totora",,,,Yes,,,,,Km2,,,,,1966,6.0,29.0,1966,6.0,29.0,14.0,,600.0,,600.0,,,,,118.0,985.0,11.9785873605948,,,,
1968-0031-BOL,1968,31,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,Rio Grande Valley,,,,Yes,,,,,Km2,,,,,1968,2.0,11.0,1968,2.0,11.0,24.0,200.0,20000.0,6000.0,26200.0,,,,,3000.0,23371.0,12.8366149136235,,,,
1977-0036-BOL,1977,36,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,Santa Cruz department,,,,,,,,,Km2,,,,,1977,1.0,3.0,1977,1.0,3.0,10.0,,70000.0,20000.0,90000.0,,,,,10000.0,44708.0,22.367198775421,,,,
1983-0055-BOL,1983,55,,Natural,Hydrological,Flood,Flash flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Santa Cruz, Beni department",,,,Yes,,,,,Km2,,,,,1983,3.0,17.0,1983,3.0,17.0,250.0,,50000.0,,50000.0,,,,,48400.0,131676.0,36.7568773234201,,,,
1985-0167-BOL,1985,167,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,Bermeja (Tarija department),,,,,,,,69710.0,Km2,,,,,1985,2.0,25.0,1985,2.0,25.0,,,,475.0,475.0,,,,,,,39.696934178876,,,,
1986-0003-BOL,1986,3,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Santa Cruz, La Pazn Cochabamba",,,,Yes,,,,80.0,Km2,,,,,1986,1.0,6.0,1986,1.0,6.0,29.0,,260000.0,50000.0,310000.0,,,,,50000.0,123608.0,40.4504089219331,,,,
1992-0552-BOL,1992,552,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,Santa Cruz,Heavy rains,,,,No,No,,,Km2,,,,,1992,1.0,1.0,1992,5.0,26.0,,,,,,,,,,100000.0,193113.0,51.7831620380495,,,,
1992-0023-BOL,1992,23,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Santa Cruz, Beni, Pando, Cochabamba departments",Heavy rain,,,,No,No,610.0,,Km2,,,,,1992,3.0,10.0,1992,3.0,11.0,4.0,50.0,,40000.0,40050.0,,,,,100000.0,193113.0,51.7831620380495,,,,
1997-0022-BOL,1997,22,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Santa Cruz, Cochabamba, Tarija, Potosi, Oruro, La Paz, Pando, Chuquisoca departments",Heavy rain,,,Yes,No,No,2829.0,689100.0,Km2,,,,Pilcomayo,1997,2.0,1.0,1997,2.0,15.0,40.0,,190000.0,,190000.0,,,,,35000.0,59084.0,59.2378657336541,,,,
1997-0566-BOL,1997,566,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz, Pando, Beni states",Heavy rain,,,,No,No,,365800.0,Km2,,,,,1997,3.0,1.0,1997,3.0,4.0,16.0,,,,,,,,,35000.0,59084.0,59.2378657336541,,,,
1999-0120-BOL,1999,120,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Rurrenabaque, San Buenaventura, San Carlos (Northeastern)",,,,,No,No,,,Km2,,,,Beni,1999,3.0,15.0,1999,3.0,18.0,,,1000.0,600.0,1600.0,,,,,,,61.473667176908,,,,
2000-0905-BOL,2000,905,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Chuquisaca, Cochabamba, La Paz, Oruro, Potosi, Tarija provinces",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2000,2.0,3.0,2000,2.0,3.0,30.0,10.0,,,10.0,,,,,,,63.5495473431008,1,40444;40445;40446;40447;40448;40450,,"Chuquisaca, Cochabamba, La Paz, Oruro, Potosi, Tarija (Adm1)."
2000-0130-BOL,2000,130,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Nuflo de Chavez, Obispo Santiesteban districts (Santa Cruz province), Bermejo town (Acre district, Tarija province), Avilez district (Tarija province), Gran Chaco district (Tarija province), Chuquisaca province",Heavy rains,,,,,,,750.0,Km2,,,,"Bermejo, Grande",2000,3.0,13.0,2000,3.0,15.0,,,7000.0,,7000.0,,,,,,,63.5495473431008,1;2,40444,40531;40532;40536;40537;40539,"Chuquisaca (Adm1). ??uflo De Chavez, Arce, Avilez, Gran Chaco, Obispo Santisteban (Adm2)."
2001-0029-BOL,2001,29,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija provinces",Heavy rain,,,Yes,,,5790.0,119163.0,Km2,,,,,2001,1.0,1.0,2001,3.0,22.0,41.0,,357250.0,,357250.0,,,,,121000.0,185169.0,65.345558714192,1,648;40443;40444;40445;40446;40447;40448;40449;40450,,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija (Adm1)."
2002-0110-BOL,2002,110,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz city (Murillo district, La Paz province)",Heavy rains,Rain,,,,,4171.0,,Km2,,,,"Coqueyapu, La Paz",2002,2.0,19.0,2002,2.0,21.0,76.0,146.0,5000.0,,5146.0,10000.0,15064.0,,,100000.0,150643.0,66.3819636999782,2,,6185,Murillo (Adm2).
2003-0012-BOL,2003,12,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Cochabamba, Santa Cruz provinces","El Nino, heavy rains",,,,,,,19480.0,Km2,,,,"San Julian, Chutacagua",2003,1.0,3.0,2003,1.0,8.0,1.0,,6500.0,,6500.0,,,,,,,67.8888956921058,1,40445;40449,,"Cochabamba, Santa Cruz (Adm1)."
2003-0047-BOL,2003,47,,Natural,Hydrological,Flood,Flash flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"La Paz city (Murillo district, La Paz province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,210.0,Km2,,,,,2003,1.0,21.0,2003,1.0,22.0,4.0,25.0,6000.0,,6025.0,,,,,,,67.8888956921058,2,,6185,Murillo (Adm2).
2003-0621-BOL,2003,621,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Trinidad city (Cercado district, Beni province), Villa Tunari city (Chapare district, Cochabamba province), La Paz, El Alto cities (Murillo district, La Paz province), Cochabamba city (Cercado district, Cochambamba province)",Torrential rainstorms,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",,,Yes,109.0,8230.0,Km2,,,,"Rio Chapare, Espiritu Santo, Jilusaya, Rosasani, La Paz",2003,12.0,22.0,2004,1.0,22.0,69.0,4.0,35000.0,10000.0,45004.0,,,,,1000.0,1473.0,67.8888956921058,2,,6141;6185;40470;40471,"Cercado, Chapare, Murillo (Adm2)."
2006-0015-BOL,2006,15,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"El Salao (El Torno municipality, Andrés Ibanez distict, Santa Cruz provincia)",Heavy rain,Explosion,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2006,1.0,1.0,2006,1.0,1.0,,29.0,475.0,,504.0,,,,,,,74.3963874917997,2,,40523,Andres Iba??ez (Adm2).
2006-0039-BOL,2006,39,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Trinidad city (Cercado district, Beni province), San Borja, Rurrenabaque cities (General Jose Ballivi district, Beni province), Riberalta city (Vaca Diez district, Beni province), Viloma city (Quillacollo district, Cochabamba province), Tiraque district (Cochabamba province), La Paz city (Murillo district, La Paz province), Luribay city (Loayza district, La Paz province), Papel Pampa, San Pedro de Curahuara municipalities (Gualberto Villarroel district, La Paz province), Los Yungas (Sur Yungas, Nor Yungas, Caranavi districts, La Paz province), Jorochito, Tiquipaya, Pailas, El Espino cites (Andres Ibanez district, Santa Cruz province), Boyuibe city (Cordillera district, Santa Cruz province), Cuatro Canadas, San Julian municipalities (Nuflo de Chavez district, Santa Cruz province), Okinawa city (Warnes district, Santa Cruz province), Villa Montes municipality (Gran Chaco district, Tarija province), Chuquisaca, Pando, Potosi provinces",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,Yes,Yes,2932.0,955800.0,Km2,-16.03,-63.43,,"Rio Grande, Guanay, Tipuani, Mapiri, Challana",2006,1.0,25.0,2006,4.0,17.0,25.0,21.0,126075.0,,126096.0,,,,,35000.0,47045.0,74.3963874917997,1;2,648;40444;40448,6141;6142;6147;6185;6190;40476;40478;40480;40482;40485;40487;40499;40523;40525;40531;40535;40539,"Chuquisaca, Pando, Potosi (Adm1). ??uflo De Chavez, Andres Iba??ez, Caranavi, Cercado, Cordillera, General Jose Ballivi, Gran Chaco, Gualberto Villarroel, Loayza, Murillo, Nor Yungas, Quillacollo, Sajama, Sur Yungas, Tiraque, Vaca Diez, Warnes (Adm2)."
2007-0042-BOL,2007,42,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija provinces",Heavy rain due to El Nino,"Slide (land, mud, snow, rock)",,Yes,,Yes,13000.0,801000.0,Km2,-16.97,-61.96,,"Rio GRande, Pilcomayo, San Juan del Oro, Bermejo",2007,1.0,10.0,2007,5.0,1.0,40.0,,339495.0,,339495.0,,,,,90000.0,117618.0,76.5186792040236,1,648;40443;40444;40445;40446;40447;40448;40449;40450,,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija (Adm1)."
2007-0652-BOL,2007,652,FL-2007-000231,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz,Tarija provinces","Heavy rain, La Nina",Broken Dam/Burst bank,,Yes,Yes,Yes,26053.0,218600.0,Km2,-17.66,-65.3,,,2007,12.0,15.0,2008,2.0,20.0,75.0,24.0,485000.0,,485024.0,,,,,500000.0,653435.0,76.5186792040236,1,648;40443;40444;40445;40446;40447;40448;40449;40450,,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija (Adm1)."
2009-0110-BOL,2009,110,FL-2009-000045,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,Capinota district (Cochabamba province),Havy rains,,,,,,,167900.0,Km2,-18.76,-62.62,,,2009,2.0,12.0,2009,2.0,23.0,,,63000.0,,63000.0,,,,,,,79.1738027553029,2,,40468,Capinota (Adm2).
2010-0023-BOL,2010,23,FL-2010-000008,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Chuquisaca, Cochabamba, La Paz and Santa Cruz provinces","El Nino, Heavy rains",,,,,Yes,2559.0,102200.0,Km2,-17.83,-63.6,,,2010,1.0,1.0,2010,1.0,13.0,26.0,,227860.0,,227860.0,,,,,,,80.472285151979,1,40443;40444;40445;40446;40449,,"Beni, Chuquisaca, Cochabamba, La Paz, Santa Cruz (Adm1)."
2011-0040-BOL,2011,40,FL-2011-000020,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Chuquisaca, Cochabamba, La Paz provinces","Torrential rain, La Nina","Slide (land, mud, snow, rock)",,Yes,,Yes,5028.0,122139.0,Km2,-16.466,-65.6,,,2011,2.0,14.0,2011,4.0,11.0,52.0,,88825.0,,88825.0,,,,,20000.0,24093.0,83.0126743931774,1,40443;40444;40445;40446,,"Beni, Chuquisaca, Cochabamba, La Paz (Adm1)."
2013-0057-BOL,2013,57,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija provinces",Heavy rains,Lightening,,,,,,,Km2,,,,,2013,1.0,28.0,2013,2.0,27.0,25.0,,145000.0,,145000.0,,,,,2500.0,2908.0,85.9716422479773,1,648;40443;40444;40445;40446;40447;40448;40449;40450,,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija (Adm1)."
2014-0529-BOL,2014,529,,Natural,Hydrological,Flood,Riverine flood,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Chuquisaca, Cochabamba, La Paz, Oruro, Potosi, Santa Cruz, Pando, Beni, Tarija",,,,,,Yes,,,Km2,,,,,2015,1.0,15.0,2015,1.0,31.0,25.0,,92890.0,,92890.0,,,,,,,87.3662978351193,1,648;40443;40444;40445;40446;40447;40448;40449;40450,,"Beni, Chuquisaca, Cochabamba, La Paz, Oruro, Pando, Potosi, Santa Cruz, Tarija (Adm1)."
2015-0383-BOL,2015,383,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Cobija city (Nicolas Suarez district, Pando province)",Monsoonal rain,,,,,,,,Km2,-11.5042,-65.84,,"Tahuamanu, Acre rivers",2015,2.0,20.0,2015,2.0,24.0,,,4000.0,,4000.0,,,,,,,87.4699322108025,2,,40506,Nicolas Suarez (Adm2).
2016-0246-BOL,2016,246,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Sur Yungas, Nor Yungas, Camacho, Bautista Saavedra districts (La Paz province), Apolo municipality (Franz Tamayo district, La Paz province), Achocalla municipality (Murillo district, La Paz province), Puerto Villaroel municipality (Carrasco district, Cochabamba province), Arani district (Cochabamba province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,190581.0,Km2,-12.843,-64.93,,,2016,2.0,28.0,2016,3.0,3.0,,,120.0,,120.0,,,,,,,88.573452875574,2,,6174;6175;6185;6189;6190;40463;40469;40487,"Arani, Bautista Saavedra, Camacho, Carrasco, Franz Tamayo, Murillo, Nor Yungas, Sur Yungas (Adm2)."
2016-0522-BOL,2016,522,,Natural,Hydrological,Flood,,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Tiquipaya (Quillacollo-Cochabamba department), Tipuani (Larecaja-La Paz), Lagunillas (Cordillera-Santa Cruz)",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,Greda Mayu,2016,11.0,26.0,2016,12.0,5.0,4.0,,5300.0,,5300.0,,,,,,,88.573452875574,2,,6181;40476;40525,"Cordillera, Larecaja, Quillacollo (Adm2)."
