Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2004-0169-BIH,2004,169,,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Bugojno municipality, Gonji Vakuf village (Srednjebosanski district, Federacija Bosne I Hercegovine province) ; Jajce district (Republika Srpska province)",Heavy rain,,,,,,,47170.0,Km2,,,,Sava,2004,3.0,23.0,2004,4.0,3.0,,,3000.0,,3000.0,,,,,,,69.7064421605073,2,,6245;6277,"Jajce, Srednjebosanski (Adm2)."
2004-0163-BIH,2004,163,,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Posavski, Srednjebosanski, Unsko-sanski, Zenicko-Dobojski districts (Federacija Bosne I Hercegovine province), Banja Luka, Prijedor, Doboj, Laktasi, Srbac, Celinac, Sipovo, Jajce, Mrkonjic Grad, Prnjavor, Modrica, Travnik, Donji Vakuf, Maglaj, Lukavac, Gracanica, Sanski Most, Kljuc, Mostar, Brcko districts (Republika Srpska province) ; BIhac city (Unsko-sanski district), Bugojno, Gornji municipalities (Srednjebosanski district) (Federacija Bosne I Hercegovine province), Zivinice municipality (Tuzla district, Republika Srpska province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,Yes,45.0,2040.0,Km2,,,,"Vrbas, Lasva, Pliva, Bosna, Sana, Vrbanja, Josavka, Una, Zdena, Drina, Sava",2004,4.0,6.0,2004,4.0,14.0,,,275000.0,,275000.0,,,,,,,69.7064421605073,2,,6243;6245;6247;6250;6251;6262;6264;6266;6267;6272;6277;6281;6285;6288;6289;6290;6291;6292;6299;6300;6303;6305;6307;6314;6317,"Banja Luka, Brcko, Celinac, Doboj, Donji Vakuf, Gracanica, Jajce, Kljuc, Laktasi, Lukavac, Maglaj, Modrica, Mostar, Mrkonji] Grad, Posavski, Prijedor, Prnjavor, Sanski Most, Sipovo, Srbac, Srednjebosanski, Travnik, Tuzla, Unsko-sanski, Zenicko-dobojski (Adm2)."
2005-0695-BIH,2005,695,,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Bihac, Velika Kladusa municipalities (Unsko-sanski district, Federacija Bosne I Hercegovine province) ; Bosanska Krupa, Sanski Most, Prijedor, Bosanski Novi districts (Republika Srpska province)",Heavy rains,Rain,,,,Yes,,,Km2,,,,,2005,12.0,6.0,2005,12.0,9.0,,,3100.0,,3100.0,,,,,,,72.0714104526569,2,,6247;6256;6258;6299;6303,"Bosanska Krupa, Bosanski Novi, Prijedor, Sanski Most, Unsko-sanski (Adm2)."
2009-0081-BIH,2009,81,FL-2009-000044,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Rastoci, Otok, Rupe, Pridvorci villages (Trebinje municipality), Velicani, Dracevo, Drijenjani, Galicici, Sedlari, Grmljani, Zavala villages (Popovo Polje municipality) (Trebinje district), Ravno, Velja Meda, Turkovici, Pecina, Trucina, Trebinja, Cvaljina villages (Ravno municipality), Glumina, Gornji Zelenikovac, Donji Zelenikovac, Dobri Do, Hrasno villages (Neum municipality) (Neretvjanski district) ; Svitava village (Neretvjanski district)",Heavy rains,,,,,,,20490.0,Km2,43.5,18.18,,"Bilecko lake, Trebisnjica river",2009,2.0,1.0,2009,2.0,16.0,,,2630.0,,2630.0,,,,,,,79.1738027553029,2,,6242;6315,"Neretvljanski, Trebinje (Adm2)."
2009-0268-BIH,2009,268,FL-2009-000136-BIH,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Kardaglije, Jablanica, Dobro poljie, Mekisn Bukva, Medakovo, Trepca, Novo Selo, Tesanjka, Tesanj villages (Tesanj municipality, Zenicko-dobojski district, Federacija Bosne I Hercegovine province)",Heavy rain,,,,,Yes,,6061.0,Km2,44.87,17.48,,"Tesanjka, Trebacka",2009,7.0,7.0,2009,7.0,15.0,,,1100.0,,1100.0,,,,,,,79.1738027553029,2,,6250,Zenicko-dobojski (Adm2).
2010-0252-BIH,2010,252,FL-2010-000128,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Gradacac, Doboj Istok, Gracacina, Srebrenik, Celic, Tuzla, Kalesija, Lukavac, Zivicine, Kladanj municipalities (Tuzlansko-podrinjski district), Tesanj, Doboj Jug municipalities (Zenicko-dobojski district) (Federacija Bosne I Hercegovine province), Kozarska Dubica municipality (Bosanska Dubica district), Rahic, Satorovici, Bijela, Bukvik, Brka village (Brcko district), Celinac municipality (Celinac district), Derventa municipality (Derventa district), Kotor Varos municipality (Kotor Varos district), Prijedor municipality (Prijedor district), Prnjavor municipality (Prnjavor district), Doboj municipality (Doboj district), Modrica municipality (Modrica district), Teslic municipality (Teslic district) (Republika Srpska province)",Torrential rains,,,Yes,,Yes,80.0,,Km2,,,,,2010,6.0,20.0,2010,6.0,22.0,,,14910.0,,14910.0,,,,,87000.0,108112.0,80.472285151979,2,,6246;6250;6254;6262;6264;6265;6266;6283;6290;6299;6300;6312,"Bosanska Dubica, Brcko, Celinac, Derventa, Doboj, Kotor Varos, Modrica, Prijedor, Prnjavor, Teslic, Tuzlansko-podrinjski, Zenicko-dobojski (Adm2)."
2010-0619-BIH,2010,619,FL-2010-000248,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Tomislavgrad, Drvar municipalities (Zapadnobosanski district), Sarajevo, Tmovo, Ilidza municipalities (Sarajevo district), Foca-Ustikolina, Pale-Praca municipalities (Gornjedrinski district), Domaljevac-Samac municipality (Posavski district), Ravno, Caplijnski, Citluk , Caplijna, Stolac, Mostar municipalities (Neretvljanski) (Federacija Bosne I Hercegovine province), Novi Grad municipality (Bosanski Novi district, Republika Srpska province) ; Bijelijna, Visegrad, Zvornik, Tuzla, Gorazde, Trebinje, Bileca, Nevesinje, Foca, Orasje, Maglaj, Bosanaska Krupa, Bratunac districts (Republika Srpska province)",,"Slide (land, mud, snow, rock)",,Yes,,Yes,,,Km2,,,,Drina,2010,12.0,3.0,2010,12.0,5.0,3.0,,20000.0,,20000.0,,,,,,,80.472285151979,2,,6241;6242;6243;6244;6248;6252;6253;6256;6258;6261;6268;6271;6289;6293;6297;6315;6317;6319;6321,"Bijeljina, Bileca, Bosanska Krupa, Bosanski Novi, Bratunac, Foca, Gorazde, Gornjedrinski, Maglaj, Neretvljanski, Nevesinje, Orasje, Posavski, Sarajevo, Trebinje, Tuzla, Visegrad, Zapadnobosanski, Zvornik (Adm2)."
2014-0128-BIH,2014,128,FF-2014-000059,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Delibasino city (Banja Luka district, Republika Srpska province)",,,,,,,,,Km2,,,,Vrbas,2014,4.0,19.0,2014,4.0,24.0,,,,,,,,,,,,87.3662978351193,2,,6251,Banja Luka (Adm2).
2014-0164-BIH,2014,164,FF-2014-000059,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Sanski Most municipality (Unsko-sanski district), Srpski Sanski Most municipality (Sanski Most discrict), Banja Luka municipality (Banja Luka district), Celinac municipality (Celinac district), Kotor Varos municipality (Kotor Varos district), Zenica, Zepce, Maglaj, Vares, Kakanj, Visoko, Olovo, Doboj-Jug, Breza, Doboj-Jug municipalities (Zenicko-Dobojski district), Tuzla, Celic, Srebrenik, Gracanica, Gradacac, Kladanj, Lukavac, Sapna, Brcko, Doboj-Istok municipalities (Tuzlansko-podrinjski, Tuzla, Kladanj, Gracanica districts), Bijeljina municipality (Bijeljina disctict), Brcko municipality (Brcko district),Petrovo municipality (Maglaj, Gracanica districts), Doboj municipality (Doboj, Tesanj districts), Modrica municipality (Modrica district), Samac municipality (Bosanski Samac district), Domaljevac-Samac municipality (Posavski district), Zvornik municipality (Zvornik district), Bratunac municipality (Bratunac district), Srebrenica municipality (Srebrenica district), Stari Grad Sarajevo municipality (Sarajevo district), Sekovici municipality (Sekovici district)",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,Yes,,,Km2,,,,Miljacka,2014,5.0,13.0,2014,5.0,20.0,25.0,,1000000.0,,1000000.0,,,,,436580.0,499712.0,87.3662978351193,2,,6243;6244;6246;6247;6250;6251;6252;6260;6261;6262;6264;6266;6272;6280;6283;6289;6290;6303;6304;6308;6311;6317;6321,"Banja Luka, Bijeljina, Bosanski Samac, Bratunac, Brcko, Celinac, Doboj, Gracanica, Kladanj, Kotor Varos, Maglaj, Modrica, Posavski, Sanski Most, Sarajevo, Sekovici, Srebrenica, Tesanj, Tuzla, Tuzlansko-podrinjski, Unsko-sanski, Zenicko-dobojski, Zvornik (Adm2)."
2014-0306-BIH,2014,306,,Natural,Hydrological,Flood,Riverine flood,,,Bosnia and Herzegovina,BIH,Southern Europe,Europe,"Banja Luka municipality (Banja Luka district), Tuzla municipality (Tuzla,Tuzlansko-podrinjski districts) , Bijeljina municipality (Bijeljina district), Zepce municipality (Zenicko-dobojski district)",Torrential rain,,,,,Yes,,,Km2,,,,,2014,8.0,6.0,2014,8.0,6.0,1.0,,600.0,,600.0,,,,,,,87.3662978351193,2,,6246;6250;6251;6252;6317,"Banja Luka, Bijeljina, Tuzla, Tuzlansko-podrinjski, Zenicko-dobojski (Adm2)."
