Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1964-0041-BRA,1964,41,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Paraiba, Rio Grande Do Norte",,,,Yes,,,,,Km2,,,,,1964,7.0,5.0,1964,7.0,5.0,,,5000.0,,5000.0,,,,,500.0,4368.0,11.4465427509293,,,,
1965-0047-BRA,1965,47,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,South,,,,Yes,,,,,Km2,,,,,1965,8.0,16.0,1965,8.0,16.0,6.0,,200000.0,40000.0,240000.0,,,,,10000.0,85999.0,11.6279903783075,,,,
1966-0017-BRA,1966,17,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Rio, Guanabara",,,,Yes,,,,,Km2,,,,,1966,1.0,11.0,1966,1.0,11.0,373.0,1700.0,51881.0,,53581.0,,,,,51000.0,425760.0,11.9785873605948,,,,
1966-0044-BRA,1966,44,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Salvador, Recife",,,,Yes,,,,,Km2,,,,,1966,5.0,21.0,1966,5.0,21.0,147.0,57.0,125500.0,29000.0,154557.0,,,,,9914.0,82764.0,11.9785873605948,,,,
1967-0015-BRA,1967,15,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"(1) Rio, Sao Paulo, Guanab, (2) Rio, Sao Paulo, (3) Rio, Guanabara, (4) Sao Paulo, Caraguatauba",,,,Yes,No,No,,,Km2,,,,,1967,1.0,23.0,1967,1.0,23.0,785.0,1257.0,20836.0,,22093.0,,,,,7800.0,63359.0,12.3107281871857,,,,
1967-0029-BRA,1967,29,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,North-East,,,,Yes,,,,,Km2,,,,,1967,3.0,30.0,1967,3.0,30.0,,,87000.0,,87000.0,,,,,5000.0,40615.0,12.3107281871857,,,,
1967-0060-BRA,1967,60,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,Porto Alegre,,,,Yes,,,,,Km2,,,,,1967,9.0,20.0,1967,9.0,20.0,,,15000.0,,15000.0,,,,,1000.0,8123.0,12.3107281871857,,,,
1967-0081-BRA,1967,81,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"South, South West Bahia",,,,Yes,,,,,Km2,,,,,1967,12.0,28.0,1967,12.0,28.0,35.0,50.0,50000.0,15400.0,65450.0,,,,,1500.0,12184.0,12.3107281871857,,,,
1969-0057-BRA,1969,57,,Natural,Hydrological,Flood,Flash flood,,,Brazil,BRA,South America,Americas,North East,,,,Yes,,,,,Km2,,,,,1969,3.0,14.0,1969,3.0,14.0,316.0,3221.0,17700.0,17384.0,38305.0,,,,,5770.0,42621.0,13.5378001312049,,,,
1970-0037-BRA,1970,37,,Natural,Hydrological,Flood,,,,Brazil,BRA,South America,Americas,"Recife, South Pernambuco",,,,Yes,,,,,Km2,,,,,1970,7.0,21.0,1970,7.0,21.0,172.0,,104371.0,,104371.0,,,,,46000.0,321046.0,14.3281696916685,,,,
