Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1997-0572-BGR,1997,572,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,"Bourgas, Varna, Plovdiv, Yambol, along the Danube and around Sofia",Snowmelt,,,,No,No,,,Km2,,,,,1997,12.0,14.0,1998,2.0,16.0,,,200.0,,200.0,,,,,,,59.2378657336541,,,,
2002-0552-BGR,2002,552,,Natural,Hydrological,Flood,,,,Bulgaria,BGR,Eastern Europe,Europe,"Gabrovo, Pleven, Lovech, Razgrad, Shumen, Velniko Turnovo provinces (North), Jambol, Pasardjik provinces (South)",,,,,,,,,Km2,,,,,2002,8.0,10.0,2002,8.0,11.0,1.0,,,,,,,,,1000.0,1506.0,66.3819636999782,1,705;707;710;712;714;716;718;727,,"Gabrovo, Jambol, Lovech, Pazardzhik, Pleven, Razgrad, Shumen, Veliko Tarnovo (Adm1)."
2005-0265-BGR,2005,265,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,"Ruse, Lovech, Pleven, Silistra, Osem, Vit, Smolian, Plovdiv, Vratsa, Dobrotitsa, Apriltsi cities (Ruse, Silistra, Lovech, Veliko Tarnovo, Gabrovo, Pernik, Kustendil, Sofia, Pleven provinces)",Heavy rain,Rain,,,,Yes,,71250.0,Km2,,,,"Skut, Vidima, Struma, Iskar, Vit",2005,5.0,26.0,2005,6.0,13.0,6.0,,,,,,,,,10000.0,13875.0,72.0714104526569,1,705;709;710;713;714;717;719;722;727,,"Gabrovo, Kustendil, Lovech, Pernik, Pleven, Ruse, Silistra, Sofia, Veliko Tarnovo (Adm1)."
2005-0338-BGR,2005,338,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,"Popovo district (Targovitché province) ; Shumen, Stara Zagora, Targovitché, Ruse, Veliko Tarnovo, Haskovo, Burgas, Vratca, Silistra, Lovech provinces (South, Center East)",Hevay rains,"Slide (land, mud, snow, rock)",Broken Dam/Burst bank,,,Yes,,,Km2,,,,"Yantra, Vit, Osam, Baniska, Jantra, Suhata, Iantra, Kamchia",2005,7.0,2.0,2005,7.0,6.0,17.0,,200.0,,200.0,,,,,247000.0,342716.0,72.0714104526569,1,703;706;710;717;718;719;724;725;727;729,,"Burgas, Haskovo, Lovech, Ruse, Shumen, Silistra, Stara Zagora, Targovishte, Veliko Tarnovo, Vratca (Adm1)."
2005-0727-BGR,2005,727,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,"Pazardzhik, Smoljan, Vratca, Plovdiv, Pleven provinces ; Dolna Banya, Ihtiman, Kostenec, Gorna Malina, Botevgrad, Svoge districts (Sofia province) ; Sofia-city",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,44210.0,Km2,,,,"Evros, Meric (tributaries of Maritsa)",2005,8.0,4.0,2005,8.0,11.0,7.0,,12000.0,,12000.0,,,,,,,72.0714104526569,1;2,712;714;715;721;723;729,12030;12034;12039;12040;12042;12049,"Pazardzhik, Pleven, Plovdiv, Smoljan, Sofia-city, Vratca (Adm1). Botevgrad, Dolna Banja, Gorna Malina, Ihtiman, Kostenec, Svoge (Adm2)."
2005-0473-BGR,2005,473,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,Montana province,,,,,,,,,Km2,,,,,2005,8.0,14.0,2005,8.0,26.0,7.0,,,,,,,,,200000.0,277503.0,72.0714104526569,1,711,,Montana (Adm1).
2005-0545-BGR,2005,545,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,Shabla district (Dobrich province),Heavy rains,,,,,,,,Km2,,,,,2005,9.0,21.0,2005,9.0,23.0,2.0,,,,,,,,,,,72.0714104526569,2,,11882,Shabla (Adm2).
2006-0209-BGR,2006,209,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,"Somovit village (Guljantci district, Pleven province) ; Vidin, Ruse, Silistra provinces ; Lom district (Montana province), Orjahovo, Kozlodui districts (Vratca province) Nikopol district (Pleven province), Lom district (Montana province), Tutrakan district (Silistra)",,,,,,,,,Km2,,,,,2006,4.0,7.0,2006,5.0,24.0,,,,,,,,,,,,74.3963874917997,1;2,717;719;728,11934;11960;11963;12104;12108,"Ruse, Silistra, Vidin (Adm1). Guljantci, Kozloduj, Lom, Nikopol, Orjahovo (Adm2)."
2006-0156-BGR,2006,156,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,Vidin province (North-west),,,,,,,,,Km2,,,,,2006,4.0,10.0,2006,4.0,13.0,,,,,,,,,,,,74.3963874917997,1,728,,Vidin (Adm1).
2007-0171-BGR,2007,171,,Natural,Hydrological,Flood,Riverine flood,,,Bulgaria,BGR,Eastern Europe,Europe,"Plovdiv, Lovech, Gabrovo, Sofia province ; Etropole (Sofia province), Veliko Tarnovo district (Veliko Tarnovo province) ; Krasnovo city (Hisarja district), Gelemenovo, Saraya cities (Pazrdzhik district, Pazrdzhik province), Trudovetz city (Botevgrad district, Sofia province)",Heavy rain,,,,,Yes,,34010.0,Km2,42.52,24.5,,"Maritsa, Iskar, Vladaiska, Kasitza",2007,5.0,22.0,2007,6.0,6.0,2.0,,1000.0,,1000.0,,,,,,,76.5186792040236,1;2,705;710;715;722,11863;11944;12087,"Gabrovo, Lovech, Plovdiv, Sofia (Adm1). Aitos, Pazrdzhik, Veliko Tarnovo (Adm2)."
