Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1989-0032-BDI,1989,32,,Natural,Hydrological,Flood,,,,Burundi,BDI,Eastern Africa,Africa,Bujumbura,,,,,,,,20.0,Km2,,,,,1989,2.0,2.0,1989,2.0,2.0,12.0,,3600.0,,3600.0,,,,,,,45.749276186311,,,,
2000-0835-BDI,2000,835,,Natural,Hydrological,Flood,,,,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Rural, Bujumbura Mairie provinces",,,,,,,,,Km2,,,,,2000,12.0,27.0,2000,12.0,27.0,,,,500.0,500.0,,,,,,,63.5495473431008,1,40543;40544,,"Bujumbura Mairie, Bujumbura Rural (Adm1)."
2002-0275-BDI,2002,275,,Natural,Hydrological,Flood,Riverine flood,,,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Mairie, Bujumbura Rural provinces",,,,,,,,,Km2,,,,,2002,5.0,6.0,2002,5.0,6.0,,,6000.0,,6000.0,,,,,,,66.3819636999782,1,40543;40544,,"Bujumbura Mairie, Bujumbura Rural (Adm1)."
2004-0111-BDI,2004,111,,Natural,Hydrological,Flood,Flash flood,,,Burundi,BDI,Eastern Africa,Africa,Rugazi district (Bubanza province),Torrential rain,,,,,,,,Km2,,,,,2004,3.0,7.0,2004,3.0,7.0,,,,10000.0,10000.0,,,,,,,69.7064421605073,2,,40563,Rugazi (Adm2).
2005-0057-BDI,2005,57,,Natural,Hydrological,Flood,Flash flood,,,Burundi,BDI,Eastern Africa,Africa,"Gatumba area (Mutimbuzi district, Bujumbura Rural province), Imbo area (Gihanga district, Bubanza province), Kinyinya Hill area (Kinyinya district, Ruyigi province), Mushasha area (Gitega district, Gitega province), Muyange area (Burambi district, Bururi province)",Torrential rains,,,,,,,,Km2,,,,,2005,2.0,2.0,2005,2.0,2.0,,,,5000.0,5000.0,,,,,,,72.0714104526569,2,,40589;40591;40616;40689;48356,"Burambi, Gihanga, Gitega, Kinyinya, Mutimbuzi (Adm2)."
2006-0230-BDI,2006,230,,Natural,Hydrological,Flood,Flash flood,,,Burundi,BDI,Eastern Africa,Africa,"Buhayira village (Murwi district, Cibitoke province)",Heavy rains,Rain,,,,,,,Km2,,,,Kansega,2006,4.0,24.0,2006,4.0,24.0,1.0,,,1200.0,1200.0,,,,,,,74.3963874917997,2,,40609,Murwi (Adm2).
2006-0268-BDI,2006,268,,Natural,Hydrological,Flood,Riverine flood,,,Burundi,BDI,Eastern Africa,Africa,"Muheka village (Songa district, Bururi province)",Heavy rains,,,,,,,2700.0,Km2,-3.86,29.67,,,2006,5.0,17.0,2006,5.0,28.0,1.0,,5000.0,,5000.0,,,,,,,74.3963874917997,2,,40598,Songa (Adm2).
2006-0259-BDI,2006,259,,Natural,Hydrological,Flood,Flash flood,,,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Rural, Bujumbura Mairie, Bubanza provinces",Torrentail rain,,,,,,,,Km2,,,,,2006,5.0,18.0,2006,5.0,18.0,9.0,,2000.0,,2000.0,,,,,,,74.3963874917997,1,40542;40543;40544,,"Bubanza, Bujumbura Mairie, Bujumbura Rural (Adm1)."
2006-0480-BDI,2006,480,,Natural,Hydrological,Flood,Riverine flood,,,Burundi,BDI,Eastern Africa,Africa,"Kayogoro, Kibago districts (Makamba province)",Torrential rain,,,,,,,,Km2,,,,,2006,8.0,26.0,2006,8.0,,,,,1500.0,1500.0,,,,,,,74.3963874917997,2,,40646;40647,"Kayogoro, Kibago (Adm2)."
2007-0028-BDI,2007,28,,Natural,Hydrological,Flood,Riverine flood,,,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Rural, Bujumbura Mairie, Kayanza, Bubanza, Cibitoke, Karuzi, Muramvya, Ruyigi, Cankuzo, Gitega, Kirundo, Muyinga, Mwaro, Ngozi provinces",Torrential rain,,,,,Yes,,,Km2,-3.14,30.4,,,2007,1.0,1.0,2007,1.0,17.0,4.0,,,23000.0,23000.0,,,,,,,76.5186792040236,1,40542;40543;40544;40546;40547;40548;40549;40550;40551;40553;40554;40555;40556;40558,,"Bubanza, Bujumbura Mairie, Bujumbura Rural, Cankuzo, Cibitoke, Gitega, Karuzi, Kayanza, Kirundo, Muramvya, Muyinga, Mwaro, Ngozi, Ruyigi (Adm1)."
2007-0539-BDI,2007,539,,Natural,Hydrological,Flood,,,,Burundi,BDI,Eastern Africa,Africa,"Bujumbura Mairie, Bujumbura Rural, Cibitoke, Bururi provinces",,Flood,,,,,,,Km2,,,,,2007,10.0,15.0,2007,10.0,31.0,1.0,6.0,2695.0,,2701.0,,,,,,,76.5186792040236,1,40543;40544;40545;40547,,"Bujumbura Mairie, Bujumbura Rural, Bururi, Cibitoke (Adm1)."
