Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1991-0211-KHM,1991,211,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kampong Cham, Prey Veng, Kampot, Kampong Spen, Takeo, Kandal Provinces",Heavy rain,,,Yes,No,No,,55860.0,Km2,,,,,1991,8.0,22.0,1991,8.0,30.0,100.0,,650000.0,250000.0,900000.0,,,,,150000.0,298443.0,50.2608528318391,,,,
1994-0064-KHM,1994,64,,Natural,Hydrological,Flood,,,,Cambodia,KHM,South-Eastern Asia,Asia,"Battambang, Takeo, Kompong Cham, Kandal, Kompong Speu, Phnom Penh",,,,,,,179.0,,Km2,,,,,1994,7.0,31.0,1994,7.0,31.0,506.0,,29000.0,,29000.0,,,,,,,54.7016925431883,,,,
1996-0221-KHM,1996,221,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kratie, Phnom Penh, Tatanakiri, Stung Treng, Kampong Cham, Kandal, Prey Veng provinces",,,,Yes,No,No,2940.0,1306.0,Km2,,,,,1996,9.0,30.0,1996,11.0,3.0,59.0,,1300000.0,,1300000.0,,,,,1500.0,2591.0,57.8847058823529,,,,
1999-0259-KHM,1999,259,,Natural,Hydrological,Flood,Flash flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kampot, Kratie, and Kompong Cham, Koh Kong, Sihanoukville Provinces",Brief torrential rain,,,Yes,No,No,1010.0,120.0,Km2,,,,Mekong,1999,8.0,2.0,1999,8.0,8.0,7.0,,527904.0,8000.0,535904.0,,,,,500.0,813.0,61.473667176908,,,,
1999-0437-KHM,1999,437,,Natural,Hydrological,Flood,Coastal flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Takeo, Kandal, Kampong Speu, Phnom Penh Municipality, Pursat",Tropical cyclone,,,,No,No,60.0,99.0,Km2,,,,,1999,10.0,25.0,1999,11.0,9.0,,,106670.0,17805.0,124475.0,,,,,,,61.473667176908,,,,
2000-0438-KHM,2000,438,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Stung Treng, Kratie, Koh Kong, Kampong Cham, Pursat, Kampong Thom, Takeo, Siem Reap, Otdar Meanchey, Kampot, Svay Rieng, Kandal, Phnom Penh, Prey Veng, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Battambang, Banteay Meanchey, Kampong Speu provinces",Monsoonal rain,,,Yes,,,18970.0,638.0,Km2,,,,,2000,7.0,11.0,2000,8.0,10.0,347.0,53.0,3448000.0,,3448053.0,,,,,160000.0,251772.0,63.5495473431008,1,791;792;793;794;795;796;797;798;799;801;804;806;807;808;809;810;811;812;813;814,,"Banteay Meanchey, Battambang, Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Koh Kong, Kratie, Otdar Meanchey, Phnom Penh, Preah Vihear, Prey Veng, Pursat, Ratanak Kiri, Siem Reap, Stung Treng, Svay Rieng, Takeo (Adm1)."
2001-0485-KHM,2001,485,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Stung Treng, Kratie, Kampong Cham provinces",Monsoonal rain,,,Yes,,,3822.0,3000.0,Km2,,,,Mekong and Tonle Sap rivers,2001,8.0,15.0,2001,11.0,19.0,56.0,,1669182.0,,1669182.0,,,,,15000.0,22955.0,65.345558714192,1,793;801;812,,"Kampong Cham, Kratie, Stung Treng (Adm1)."
2002-0522-KHM,2002,522,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kandal, Stung Treng, Prey Veng, Takeo, Kampong Chhnang, Banteay Meanchey, Svay Rieng, Kampong Speu, Kratie, Pursat, Kampot provinces",Monsoonal rain,,,,,,30.0,,Km2,,,,,2002,8.0,18.0,2002,11.0,26.0,29.0,,1470000.0,,1470000.0,,,,,100.0,151.0,66.3819636999782,1,791;794;795;797;798;801;808;809;812;813;814,,"Banteay Meanchey, Kampong Chhnang, Kampong Speu, Kampot, Kandal, Kratie, Prey Veng, Pursat, Stung Treng, Svay Rieng, Takeo (Adm1)."
2004-0735-KHM,2004,735,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kratie, Phnom Penh, Preah Vihear, Prey Veng, Stung Treng, Takeo provinces",Monsoonal rain,,,,,,,,Km2,,,,,2004,8.0,24.0,2004,10.0,21.0,,,,,,,,,,,,69.7064421605073,1,793;794;795;796;797;798;801;806;807;808;812;814,,"Kampong Cham, Kampong Chhnang, Kampong Speu, Kampong Thom, Kampot, Kandal, Kratie, Phnom Penh, Preah Vihear, Prey Veng, Stung Treng, Takeo (Adm1)."
2005-0822-KHM,2005,822,,Natural,Hydrological,Flood,Riverine flood,,,Cambodia,KHM,South-Eastern Asia,Asia,"Kratie, Kampong Cham, Kandal, Prey Veng, Siem Reap provinces",Monsoonal rain,,,,,,,,Km2,,,,,2005,9.0,8.0,2005,9.0,29.0,16.0,,,,,,,,,,,72.0714104526569,1,793;798;801;808;811,,"Kampong Cham, Kandal, Kratie, Prey Veng, Siem Reap (Adm1)."
