Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1991-0287-CMR,1991,287,,Natural,Hydrological,Flood,Riverine flood,,,Cameroon,CMR,Middle Africa,Africa,Maroua region,,,,,,,,,Km2,,,,,1991,8.0,13.0,1991,8.0,13.0,2.0,,,200.0,200.0,,,,,,,50.2608528318391,,,,
1994-0213-CMR,1994,213,,Natural,Hydrological,Flood,Riverine flood,,,Cameroon,CMR,Middle Africa,Africa,"Maroua, Makolo (province of Logone-Chari)",Heavy rain,,,,No,No,,,Km2,,,,,1994,9.0,9.0,1994,9.0,14.0,6.0,,,,,,,,,,,54.7016925431883,,,,
2000-0475-CMR,2000,475,,Natural,Hydrological,Flood,Riverine flood,,,Cameroon,CMR,Middle Africa,Africa,"Douala, Bonaberi areas (Wouril district, Littoral province)",Heavy rain,,,,,,,3700.0,Km2,,,,,2000,8.0,3.0,2000,8.0,5.0,3.0,,500.0,,500.0,,,,,,,63.5495473431008,2,,12490,Wouril (Adm2).
2001-0299-CMR,2001,299,,Natural,Hydrological,Flood,Flash flood,,,Cameroon,CMR,Middle Africa,Africa,"Limbé area (Fako district, Sud - Ouest province)",Brief torrential rain,"Slide (land, mud, snow, rock)",,,,,,1080.0,Km2,4.022,9.2,,,2001,6.0,28.0,2001,6.0,29.0,30.0,,,1500.0,1500.0,,,,,,,65.345558714192,2,,12510,Fako (Adm2).
2005-0444-CMR,2005,444,,Natural,Hydrological,Flood,Riverine flood,,,Cameroon,CMR,Middle Africa,Africa,Littoral province,Heavy rains,,,,,,,,Km2,,,,Nkam,2005,8.0,19.0,2005,8.0,19.0,2.0,,,,,,,,,,,72.0714104526569,1,819,,Littoral (Adm1).
2007-0400-CMR,2007,400,FL-2007-000149,Natural,Hydrological,Flood,,,,Cameroon,CMR,Middle Africa,Africa,"Mokolo area (Mayo-Tsanaga district, Extrême - Nord province), Kolofata area (Mayo-Sava district, Extrême - Nord province)",Heavy rains,,,,,,,,Km2,,,,,2007,8.0,2.0,2007,8.0,17.0,8.0,17.0,,10279.0,10296.0,,,,,,,76.5186792040236,2,,12485;12486,"Mayo-Sava, Mayo-Tsanaga (Adm2)."
2010-0351-CMR,2010,351,FL-2010-000154,Natural,Hydrological,Flood,Riverine flood,,,Cameroon,CMR,Middle Africa,Africa,"Poss village (Mayo-Danay district, Extrême - Nord province)",,Rain,,,,,,,Km2,,,,,2010,7.0,22.0,2010,7.0,22.0,13.0,95.0,,3000.0,3095.0,,,,,,,80.472285151979,2,,12483,Mayo-Danay (Adm2).
2012-0362-CMR,2012,362,FL-2012-000157,Natural,Hydrological,Flood,Riverine flood,,,Cameroon,CMR,Middle Africa,Africa,"Bénoue, Faro, Mayo-Louti, Mayo - Rey districts (Nord province), Diamaré, Logone - Et - Chari, Mayo-Danay, Mayo-Kani districts (Extrême - Nord province), Ngo-Ketunjia district (Nord - Ouest province), Haut - Nyong district (Est province)",Heavy rain,,,,Yes,,,,Km2,,,,"Logone, Mayo Kébbi, Bénoué",2012,8.0,25.0,2012,8.0,31.0,15.0,,,31980.0,31980.0,,,,,2000.0,2360.0,84.7304788978789,2,,12478;12481;12482;12483;12484;12497;12498;12499;12500;12501,"B??noue, Diamar??, Faro, Haut - Nyong, Logone - Et - Chari, Mayo - Rey, Mayo-Danay, Mayo-Kani, Mayo-Louti, Ngo-Ketunjia (Adm2)."
2012-0436-CMR,2012,436,,Natural,Hydrological,Flood,Riverine flood,,,Cameroon,CMR,Middle Africa,Africa,Adamaoua province,,Broken Dam/Burst bank,,,,,,,Km2,,,,,2012,8.0,27.0,2012,8.0,27.0,10.0,,20000.0,,20000.0,,,,,,,84.7304788978789,1,815,,Adamaoua (Adm1).
2013-0488-CMR,2013,488,,Natural,Hydrological,Flood,Flash flood,,,Cameroon,CMR,Middle Africa,Africa,"Dougui village (Kai Kai area, Mayo-Danay district, Extrême - Nord province)",,Broken Dam/Burst bank,,,,,,,Km2,,,,,2013,9.0,17.0,2013,9.0,18.0,,,805.0,,805.0,,,,,,,85.9716422479773,2,,12483,Mayo-Danay (Adm2).
