Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1950-0017-CAN,1950,17,,Natural,Hydrological,Flood,,,,Canada,CAN,Northern America,Americas,"Winnipeg, Manitoba",,,,,,,,,Km2,,,,,1950,5.0,5.0,1950,5.0,5.0,1.0,,107000.0,,107000.0,,,,,100000.0,1123728.0,8.8989469074416,,,,
1983-0300-CAN,1983,300,,Natural,Hydrological,Flood,Coastal flood,,,Canada,CAN,Northern America,Americas,"Gaspe & North Shore of St Lawrence River, Quebec",,,,,,,,,Km2,,,,,1983,12.0,7.0,1983,12.0,7.0,,,,,,,,,,58000.0,157794.0,36.7568773234201,,,,
1986-0187-CAN,1986,187,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,Central Alberta,,,,,,,,,Km2,,,,,1986,7.0,15.0,1986,7.0,15.0,,,4500.0,,4500.0,,,,,30000.0,74165.0,40.4504089219331,,,,
1987-0284-CAN,1987,284,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Perth-Andover, New Brunswick",,,,,,,,,Km2,,,,,1987,4.0,2.0,1987,4.0,2.0,,,,,,,,,,11000.0,26232.0,41.9327356221299,,,,
1987-0317-CAN,1987,317,,Natural,Hydrological,Flood,,,,Canada,CAN,Northern America,Americas,Montreal,,,,,,,,,Km2,,,,,1987,7.0,14.0,1987,7.0,14.0,1.0,,,,,,,,,174000.0,414950.0,41.9327356221299,,,,
1990-0644-CAN,1990,644,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,,,,,,,,,,Km2,,,,,1990,6.0,10.0,1990,6.0,10.0,8.0,,,,,,,,,8500.0,17628.0,48.2187972884321,,,,
1993-0150-CAN,1993,150,,Natural,Hydrological,Flood,,,,Canada,CAN,Northern America,Americas,Lake Champlain (Quebec province),,,,,,,,,Km2,,,,,1993,4.0,25.0,1993,4.0,25.0,,,200.0,,200.0,,,,,,,53.3116203804942,,,,
1995-0110-CAN,1995,110,,Natural,Hydrological,Flood,,,,Canada,CAN,Northern America,Americas,Alberta (British Columbia),,,,,,,,,Km2,,,,,1995,6.0,9.0,1995,6.0,9.0,,,5600.0,,5600.0,,,44000.0,78241.0,73300.0,130343.0,56.2363000218675,,,,
1996-0116-CAN,1996,116,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Saguenay-Lac, St Jean Region (Quebec)",Heavy rains,Broken Dam/Burst bank,,Yes,No,No,,52910.0,Km2,,,,Saguenay lake,1996,7.0,19.0,1996,7.0,22.0,10.0,,,12000.0,12000.0,,,254900.0,440358.0,729600.0,1260437.0,57.8847058823529,,,,
1997-0082-CAN,1997,82,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,Manitoba Province,,,,,No,No,,,Km2,,,,,1997,4.0,24.0,1997,5.0,7.0,4.0,,29000.0,,29000.0,,,2000.0,3376.0,120000.0,202573.0,59.2378657336541,,,,
