Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1912-0021-CAN,1912,21,,Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,CAN,Northern America,Americas,"Regina, Saskatchewan",,,,,,,,,Kph,,,,,1912,6.0,30.0,1912,6.0,30.0,28.0,200.0,,2500.0,2700.0,,,,,5000.0,140079.0,3.5694254538838,,,,
1946-0018-CAN,1946,18,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,"Windsor, Ontario",,,,,,,,,Kph,,,,,1946,6.0,17.0,1946,6.0,17.0,17.0,,,,,,,,,500.0,6932.0,7.2127010895723,,,,
1954-0032-CAN,1954,32,,Natural,Meteorological,Storm,Tropical cyclone,,Hazel,Canada,CAN,Northern America,Americas,"Toronto, Ontario",,,,,No,No,,249.0,Kph,,,,,1954,10.0,5.0,1954,10.0,18.0,83.0,,,,,,,,,100000.0,1006760.0,9.9328494527043,,,,
1959-0023-CAN,1959,23,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Canada,CAN,Northern America,Americas,Newfoundland,,,,,,,,,Kph,,,,,1959,2.0,16.0,1959,2.0,16.0,6.0,,,,,,,,,,,10.75766455281,,,,
1962-0043-CAN,1962,43,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,,,,,,,,,,Kph,,,,,1962,10.0,12.0,1962,10.0,12.0,33.0,,,,,,,,,,,11.1636125082004,,,,
1966-0110-CAN,1966,110,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Canada,CAN,Northern America,Americas,Winnipeg (Manitoba),,,,,,,,120.0,Kph,,,,,1966,3.0,4.0,1966,3.0,4.0,,,,,,,,,,,,11.9785873605948,,,,
1970-0042-CAN,1970,42,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,Ontario,,,,,,,,,Kph,,,,,1970,8.0,20.0,1970,8.0,20.0,10.0,,,,,,,,,,,14.3281696916685,,,,
1971-0118-CAN,1971,118,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Canada,CAN,Northern America,Americas,Montreal (Quebec),,,,,,,,110.0,Kph,,,,,1971,3.0,4.0,1971,3.0,4.0,,,,,,,,,,,,14.9432495079816,,,,
1975-0122-CAN,1975,122,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,"Saint Bonaventure, Quebec",,,,,,,,,Kph,,,,,1975,7.0,25.0,1975,7.0,25.0,,40.0,,300.0,340.0,,,,,2500.0,12588.0,19.8607741089,,,,
1977-0203-CAN,1977,203,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,"Niagara Peninsula, Ontario",,,,,,,,,Kph,,,,,1977,1.0,28.0,1977,1.0,28.0,,,,,,,,,,,,22.367198775421,,,,
1981-0068-CAN,1981,68,,Natural,Meteorological,Storm,Convective storm,Hail,,Canada,CAN,Northern America,Americas,"Calgary, Alberta",,Hail,,,No,No,,,Kph,,,,,1981,7.0,28.0,1981,7.0,28.0,,,,,,,,,,79000.0,235431.0,33.5554165755522,,,,
1985-0201-CAN,1985,201,,Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,CAN,Northern America,Americas,Ontario Central,,,,,No,No,,,Kph,,,,,1985,5.0,29.0,1985,6.0,1.0,12.0,200.0,,800.0,1000.0,,,89500.0,225458.0,117000.0,294733.0,39.696934178876,,,,
1986-0185-CAN,1986,185,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,Southern Alberta,,,,,,,,80.0,Kph,,,,,1986,5.0,14.0,1986,5.0,14.0,,,2400.0,,2400.0,,,,,,,40.4504089219331,,,,
1987-0135-CAN,1987,135,,Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,CAN,Northern America,Americas,"Edmonton, Alberta",,,,,No,No,,,Kph,,,,,1987,7.0,31.0,1987,7.0,31.0,26.0,250.0,,,250.0,,,190000.0,453107.0,265000.0,631964.0,41.9327356221299,,,,
1989-0115-CAN,1989,115,,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,Canada,CAN,Northern America,Americas,Nova Scotia (New Brunswick),,,,,No,No,,,Kph,,,,,1989,9.0,22.0,1989,9.0,23.0,,,,,,,,,,,,45.749276186311,,,,
1991-0535-CAN,1991,535,,Natural,Meteorological,Storm,Convective storm,Hail,,Canada,CAN,Northern America,Americas,Calgary (Alberta),,Hail,,,No,No,,,Kph,,,,,1991,9.0,7.0,1991,9.0,7.0,,,,,,,,347000.0,690398.0,500000.0,994810.0,50.2608528318391,,,,
1994-0548-CAN,1994,548,,Natural,Meteorological,Storm,Convective storm,Hail,,Canada,CAN,Northern America,Americas,Manitoba,,,,,,,,,Kph,,,,,1994,8.0,1.0,1994,8.0,1.0,,,1000.0,,1000.0,,,,,3000.0,5484.0,54.7016925431883,,,,
1994-0173-CAN,1994,173,,Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,CAN,Northern America,Americas,Near Otawa,,,,,,,,,Kph,,,,,1994,8.0,5.0,1994,8.0,5.0,,4.0,300.0,,304.0,,,,,,,54.7016925431883,,,,
1995-0192-CAN,1995,192,,Natural,Meteorological,Storm,Tropical cyclone,,Luis,Canada,CAN,Northern America,Americas,,,,,,No,No,,,Kph,,,,,1995,9.0,11.0,1995,9.0,11.0,2.0,,,,,,,,,100000.0,177821.0,56.2363000218675,,,,
1996-0201-CAN,1996,201,,Natural,Meteorological,Storm,Tropical cyclone,,Hortense,Canada,CAN,Northern America,Americas,,,,,,No,No,,,Kph,,,,,1996,9.0,8.0,1996,9.0,15.0,,,,,,,,,,100.0,173.0,57.8847058823529,,,,
1997-0571-CAN,1997,571,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Canada,CAN,Northern America,Americas,,,,,,No,No,,,Kph,,,,,1997,4.0,4.0,1997,4.0,6.0,1.0,,,,,,,,,10000.0,16881.0,59.2378657336541,,,,
1998-0003-CAN,1998,3,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,Southern Quebec,,,,Yes,No,No,,,Kph,,,,,1998,1.0,4.0,1998,1.0,10.0,28.0,,2000.0,,2000.0,,,950000.0,1579190.0,1500000.0,2493458.0,60.1574108900066,,,,
1999-0009-CAN,1999,9,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,Toronto ( Southern Ontario),,,,,No,Yes,,,Kph,,,,,1999,1.0,1.0,1999,1.0,4.0,7.0,,,,,,,,,100.0,163.0,61.473667176908,,,,
1999-0338-CAN,1999,338,,Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,CAN,Northern America,Americas,Drummondville (Quebec),,,,,,,,161.0,Kph,,,,,1999,7.0,6.0,1999,7.0,6.0,,,4000.0,200.0,4200.0,,,,,,,61.473667176908,,,,
2000-0420-CAN,2000,420,,Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,CAN,Northern America,Americas,"Pine Lake area (Division No. 8 district, Alberta province)",,,,,,,,300.0,Kph,,,,,2000,7.0,14.0,2000,7.0,14.0,11.0,140.0,,700.0,840.0,,,10000.0,15736.0,13000.0,20456.0,63.5495473431008,2,,12527,Division No. 8 (Adm2).
2001-0052-CAN,2001,52,,Natural,Meteorological,Storm,,,,Canada,CAN,Northern America,Americas,Quebec province,,,,,,,,120.0,Kph,,,,,2001,2.0,10.0,2001,2.0,10.0,11.0,,,30.0,30.0,,,,,,,65.345558714192,1,835,,Quebec / Québec (Adm1).
2003-0468-CAN,2003,468,,Natural,Meteorological,Storm,Tropical cyclone,,Isabel,Canada,CAN,Northern America,Americas,Ontario province,,,,,,,,,Kph,,,,,2003,9.0,18.0,2003,9.0,18.0,,,,,,,,,,,,67.8888956921058,1,833,,Ontario (Adm1).
2003-0487-CAN,2003,487,,Natural,Meteorological,Storm,Tropical cyclone,,Juan,Canada,CAN,Northern America,Americas,"Nova Scotia, Prince Edward Island provinces",,Flood,,,,Yes,,143.0,Kph,,,,,2003,9.0,28.0,2003,9.0,29.0,2.0,,200.0,,200.0,,,,,110000.0,162029.0,67.8888956921058,1,831;834,,"Nova Scotia / Nouvelle-écosse, Prince Edward Island / Île-du-Prince-Edouard (Adm1)."
2004-0074-CAN,2004,74,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Canada,CAN,Northern America,Americas,"Nova Scotia, New Brunswick, Prince Edward Island provinces",,,,,,Yes,,120.0,Kph,,,,,2004,2.0,19.0,2004,2.0,19.0,,,,,,,,,,,,69.7064421605073,1,828;831;834,,"New Brunswick / Nouveau-Brunswick, Nova Scotia / Nouvelle-écosse, Prince Edward Island / Île-du-Prince-Edouard (Adm1)."
