Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1973-0038-CAF,1973,38,,Natural,Hydrological,Flood,,,,Central African Republic,CAF,Middle Africa,Africa,Bangui,,,,Yes,,,,,Km2,,,,,1973,9.0,12.0,1973,9.0,12.0,,,13000.0,,13000.0,,,,,,,16.3855937021648,,,,
1995-0265-CAF,1995,265,,Natural,Hydrological,Flood,,,,Central African Republic,CAF,Middle Africa,Africa,"Bozoum, Paoua, Bavara (Ouham prefecture)",,,,Yes,,,,,Km2,,,,,1995,8.0,9.0,1995,8.0,9.0,,,1957.0,1957.0,3914.0,,,,,,,56.2363000218675,,,,
1998-0351-CAF,1998,351,,Natural,Hydrological,Flood,,,,Central African Republic,CAF,Middle Africa,Africa,Bangui,,,,,,,,,Km2,,,,,1998,10.0,24.0,1998,10.0,24.0,,,,9200.0,9200.0,,,,,,,60.1574108900066,,,,
1999-0413-CAF,1999,413,,Natural,Hydrological,Flood,,,,Central African Republic,CAF,Middle Africa,Africa,"Bangui, Nola, Batangafo, Begoua, Lobaye, Bimbo, Mpoko-Bac, Sibut, Paoua, Damara, Bouca",,,,,,,,,Km2,,,,,1999,10.0,25.0,1999,10.0,25.0,,,20000.0,13919.0,33919.0,,,,,,,61.473667176908,,,,
2003-0564-CAF,2003,564,,Natural,Hydrological,Flood,Flash flood,,,Central African Republic,CAF,Middle Africa,Africa,Sibut district (Kémo province),Heavy rains,,,,,,,,Km2,,,,Tomi,2003,9.0,5.0,2003,9.0,5.0,,,,240.0,240.0,,,,,,,67.8888956921058,2,,12852,Sibut (Adm2).
2004-0541-CAF,2004,541,,Natural,Hydrological,Flood,Flash flood,,,Central African Republic,CAF,Middle Africa,Africa,"Bama village (Bria district, Haute-Kotto province), Bangui district (Bangui province), Mobaye district (Basse-Kotto province)",Torrential rains,,,,,,,1516.0,Km2,,,,Ngoubagara canal,2004,10.0,24.0,2004,11.0,2.0,3.0,,,12698.0,12698.0,,,,,,,69.7064421605073,2,,12840;12846;67155,"Bangui, Bria, Mobaye (Adm2)."
2005-0425-CAF,2005,425,,Natural,Hydrological,Flood,Riverine flood,,,Central African Republic,CAF,Middle Africa,Africa,"Bambari, Bakala districts (Ouaka province), Bangui district (Bangui province)",Heavy rains,,,Yes,,,440.0,8350.0,Km2,,,,Ubangi and tributaries,2005,8.0,8.0,2005,8.0,25.0,1.0,7.0,,23798.0,23805.0,,,,,,,72.0714104526569,2,,12882;12883;67155,"Bakala, Bambari, Bangui (Adm2)."
2009-0254-CAF,2009,254,FL-2009-000129,Natural,Hydrological,Flood,Riverine flood,,,Central African Republic,CAF,Middle Africa,Africa,Bangui district (Bangui province),Heavy rains,,,,,,,,Km2,,,,,2009,7.0,3.0,2009,7.0,10.0,1.0,,,11000.0,11000.0,,,,,,,79.1738027553029,2,,67155,Bangui (Adm2).
2010-0381-CAF,2010,381,,Natural,Hydrological,Flood,Riverine flood,,,Central African Republic,CAF,Middle Africa,Africa,"Nangha Boguila, Bossangoa districts (Ouham province)",Heavy rains,,,,,,,,Km2,,,,,2010,7.0,11.0,2010,8.0,7.0,3.0,,1585.0,,1585.0,,,,,,,80.472285151979,2,,12893;12894,"Bossangoa, Nangha Boguila (Adm2)."
2011-0487-CAF,2011,487,FL-2011-000164,Natural,Hydrological,Flood,Flash flood,,,Central African Republic,CAF,Middle Africa,Africa,"Male area (Paoua district, Ouham Pendé province), Bangui district (Bangui province)",Torrential rains,,,,,,,,Km2,,,,,2011,10.0,11.0,2011,10.0,11.0,,,2935.0,,2935.0,,,,,,,83.0126743931774,2,,12891;67155,"Bangui, Paoua (Adm2)."
2013-0489-CAF,2013,489,FL-2013-000112,Natural,Hydrological,Flood,Riverine flood,,,Central African Republic,CAF,Middle Africa,Africa,"Issongo, Bea-Rex Makambo, Sara Banga-2-Gbaya Dombia, Bibalé, Souma Poto Poto, Fondo Yakite, Sara-Dah areas (Bangui district, Bangui province)",Heavy rains,,,,,,,,Km2,,,,,2013,9.0,3.0,2013,9.0,4.0,,,32993.0,,32993.0,,,,,,,85.9716422479773,2,,67155,Bangui (Adm2).
2017-0384-CAF,2017,384,FL-2017-000134,Natural,Hydrological,Flood,,,,Central African Republic,CAF,Middle Africa,Africa,Kouango city,,,,,,,,70470.0,Km2,7.223,17.145,,,2017,8.0,23.0,2017,8.0,31.0,,,3500.0,,3500.0,,,,,,,90.4601793133611,2,,12886,Kouango (Adm2).
2021-0556-CAF,2021,556,FL-2021-000123,Natural,Hydrological,Flood,,,,Central African Republic,CAF,Middle Africa,Africa,Bimbo; Birao and Baoro cities,Heavy rains,,,,,,,,Km2,,,,,2021,8.0,7.0,2021,8.0,7.0,,5.0,3952.0,,3957.0,,,,,,,100.0,2,,12874;12876;12902,"Baoro, Bimbo, Birao (Adm2)."
