Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1906-0014-CHL,1906,14,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,Valparaiso,,Tsunami/Tidal wave,,,,,,8.0,Richter,33.05,71.4,19:57,,1906,8.0,16.0,1906,8.0,16.0,20000.0,,,,,,,,,100000.0,3009095.0,3.3232581812022,,,,
1922-0001-CHL,1922,1,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,Atacama,,Tsunami/Tidal wave,,,,,,9.0,Richter,-28.553,-70.755,00:32,,1922,11.0,11.0,1922,11.0,11.0,1000.0,,,,,,,,,,,6.1911069079434,,,,
1939-0001-CHL,1939,1,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,Chillan region (Concepcion),,Tsunami/Tidal wave,,,,,,8.0,Richter,-36.305,-72.315,23:32,,1939,1.0,24.0,1939,1.0,24.0,30000.0,58500.0,,,58500.0,,,,,920000.0,17881800.0,5.1448959990464,,,,
1943-0010-CHL,1943,10,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,Illapel,,Tsunami/Tidal wave,,,,,,8.0,Richter,-31.432,-71.475,12:07,,1943,4.0,6.0,1943,4.0,6.0,12.0,35.0,,,35.0,,,,,100000.0,1562415.0,6.4003490897228,,,,
1946-0013-CHL,1946,13,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,Northern,,Tsunami/Tidal wave,,,,,,8.0,Richter,-26.5,-70.5,15:18,,1946,8.0,2.0,1946,8.0,2.0,2.0,,,,,,,,,,,7.2127010895723,,,,
1949-0005-CHL,1949,5,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,"Angol, Traiguan",,Tsunami/Tidal wave,,,,,,7.0,Richter,-38,-73.5,23:29,,1949,4.0,19.0,1949,4.0,19.0,35.0,155.0,,,155.0,,,,,39000.0,443158.0,8.8004799983688,,,,
1949-0015-CHL,1949,15,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,Tierra del Fuego,,Tsunami/Tidal wave,,,,,,8.0,Richter,-54,-71,02:53,,1949,12.0,17.0,1949,12.0,17.0,6.0,18.0,,,18.0,,,,,5200.0,59088.0,8.8004799983688,,,,
1953-0012-CHL,1953,12,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,"Chillan, Concepcion",,Tsunami/Tidal wave,,,,,,8.0,Richter,-37.093,-72.866,13:16,,1953,5.0,6.0,1953,5.0,6.0,12.0,40.0,,,40.0,,,,,500000.0,5052585.0,9.8959243618021,,,,
1953-0021-CHL,1953,21,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,,,,,,,,,7.0,Richter,-22.1,-68.7,22:05,,1953,12.0,6.0,1953,12.0,6.0,3.0,15.0,,,15.0,,,,,7310.0,73869.0,9.8959243618021,,,,
1960-0013-CHL,1960,13,,Natural,Geophysical,Earthquake,Tsunami,,,Chile,CHL,South America,Americas,"Puerto Montt, Valdivia (Arauco peninsula)",,Volcanic activity,Tsunami/Tidal wave,,,,,10.0,Richter,-38.143,-73.407,15-11,,1960,5.0,22.0,1960,5.0,22.0,6000.0,3000.0,2000000.0,,2003000.0,,,,,550000.0,5039165.0,10.9145068882572,,,,
1965-0016-CHL,1965,16,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,"Coquimbo, Santiago (Central Valley)",,,,Yes,,,,7.0,Richter,-32.522,-71.233,12:33,,1965,3.0,28.0,1965,3.0,28.0,400.0,350.0,20000.0,,20350.0,,,,,125000.0,1074992.0,11.6279903783075,,,,
1966-0090-CHL,1966,90,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,Taltal & Catalina,,,,Yes,,,,8.0,Richter,-25.494,-70.55,04:18,,1966,12.0,28.0,1966,12.0,28.0,4.0,6.0,3000.0,,3006.0,,,,,400.0,3339.0,11.9785873605948,,,,
1971-0042-CHL,1971,42,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,"Valparaiso, Salamnca, Coquimbo",,Tsunami/Tidal wave,,Yes,,,,8.0,Richter,-32.601,-71.076,00:03,,1971,7.0,9.0,1971,7.0,9.0,85.0,451.0,2348522.0,,2348973.0,,,,,236400.0,1581985.0,14.9432495079816,,,,
