Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1982-0082-CHL,1982,82,,Natural,Hydrological,Flood,,,,Chile,CHL,South America,Americas,Mapocho river,,,,,,,,,Km2,,,,,1982,6.0,22.0,1982,6.0,22.0,,,8000.0,,8000.0,,,,,,,35.6128405860485,,,,
1986-0075-CHL,1986,75,,Natural,Hydrological,Flood,Riverine flood,,,Chile,CHL,South America,Americas,"Curico, Santiago, Vitacura, Ora Ges",,,,,,,,,Km2,,,,,1986,6.0,15.0,1986,6.0,15.0,23.0,,54118.0,,54118.0,,,,,17200.0,42521.0,40.4504089219331,,,,
1987-0126-CHL,1987,126,,Natural,Hydrological,Flood,Riverine flood,,,Chile,CHL,South America,Americas,"Santiago, central Chile & outlying regions",,,,,,,,,Km2,,,,,1987,7.0,17.0,1987,7.0,17.0,73.0,,116364.0,,116364.0,,,,,177000.0,422105.0,41.9327356221299,,,,
1987-0403-CHL,1987,403,,Natural,Hydrological,Flood,Riverine flood,,,Chile,CHL,South America,Americas,,,,,,,,,,Km2,,,,,1987,8.0,12.0,1987,8.0,12.0,54.0,,,81000.0,81000.0,,,,,,,41.9327356221299,,,,
1989-0549-CHL,1989,549,,Natural,Hydrological,Flood,,,,Chile,CHL,South America,Americas,Curanilahue,,,,,,,,,Km2,,,,,1989,7.0,29.0,1989,7.0,29.0,21.0,,,,,,,,,,,45.749276186311,,,,
1990-0639-CHL,1990,639,,Natural,Hydrological,Flood,,,,Chile,CHL,South America,Americas,Punta Arenas,,,,,,,,,Km2,,,,,1990,3.0,5.0,1990,3.0,5.0,,,2500.0,,2500.0,,,,,,,48.2187972884321,,,,
1993-0010-CHL,1993,10,,Natural,Hydrological,Flood,Riverine flood,,,Chile,CHL,South America,Americas,"Santago, Codegua, Coya",,,,,,,232.0,,Km2,,,,,1993,5.0,5.0,1993,5.0,5.0,109.0,58.0,1993.0,1225.0,3276.0,,,34000.0,63776.0,34000.0,63776.0,53.3116203804942,,,,
1995-0078-CHL,1995,78,,Natural,Hydrological,Flood,,,,Chile,CHL,South America,Americas,"Puerto Varas, Ensanada",,,,,,,,,Km2,,,,,1995,5.0,8.0,1995,5.0,8.0,28.0,,,,,,,,,,,56.2363000218675,,,,
1997-0137-CHL,1997,137,,Natural,Hydrological,Flood,Riverine flood,,,Chile,CHL,South America,Americas,"Santiago, Atacamo, Frontera",Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,166.0,,Km2,,,,,1997,6.0,10.0,1997,6.0,24.0,22.0,,65800.0,11000.0,76800.0,,,,,182400.0,307911.0,59.2378657336541,,,,
2000-0310-CHL,2000,310,,Natural,Hydrological,Flood,Riverine flood,,,Chile,CHL,South America,Americas,"Valdivia district (Los Rios province), Cautin district (Araucania province)",Heavy rain,,,,,,,84000.0,Km2,,,,,2000,6.0,5.0,2000,6.0,16.0,1.0,,42000.0,,42000.0,,,,,,,63.5495473431008,2,,12935;149633,"Cautin, Valdivia (Adm2)."
