Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1968-0057-CHL,1968,57,,Natural,Meteorological,Storm,,,,Chile,CHL,South America,Americas,North coast,,,,,,,,,Kph,,,,,1968,7.0,23.0,1968,7.0,23.0,,,,,,,,,,,,12.8366149136235,,,,
1971-0039-CHL,1971,39,,Natural,Meteorological,Storm,,,,Chile,CHL,South America,Americas,,,,,Yes,,,,,Kph,,,,,1971,6.0,20.0,1971,6.0,20.0,,,90000.0,,90000.0,,,,,2500.0,16730.0,14.9432495079816,,,,
1977-0087-CHL,1977,87,,Natural,Meteorological,Storm,,,,Chile,CHL,South America,Americas,Santiago area,,,,,,,,,Kph,,,,,1977,7.0,20.0,1977,7.0,20.0,15.0,,,16800.0,16800.0,,,,,6800.0,30402.0,22.367198775421,,,,
1986-0067-CHL,1986,67,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Chile,CHL,South America,Americas,Central,,,,Yes,,,,,Kph,,,,,1986,6.0,15.0,1986,6.0,15.0,16.0,16.0,30790.0,,30806.0,,,,,,,40.4504089219331,,,,
1992-0204-CHL,1992,204,,Natural,Meteorological,Storm,,,,Chile,CHL,South America,Americas,North,,Flood,,,No,No,,,Kph,,,,,1992,5.0,26.0,1992,5.0,28.0,,,,20000.0,20000.0,,,,,,,51.7831620380495,,,,
1992-0207-CHL,1992,207,,Natural,Meteorological,Storm,,,,Chile,CHL,South America,Americas,South,,,,,No,No,,,Kph,,,,,1992,6.0,6.0,1992,6.0,7.0,,,,18000.0,18000.0,,,,,,,51.7831620380495,,,,
1997-0134-CHL,1997,134,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Chile,CHL,South America,Americas,Santiago & Puerto Mont,,,,,,,,,Kph,,,,,1997,6.0,4.0,1997,6.0,4.0,4.0,,2000.0,,2000.0,,,,,,,59.2378657336541,,,,
1997-0136-CHL,1997,136,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Chile,CHL,South America,Americas,Andes,,,,,,,,,Kph,,,,,1997,6.0,20.0,1997,6.0,20.0,,,250.0,,250.0,,,,,,,59.2378657336541,,,,
2001-0285-CHL,2001,285,,Natural,Meteorological,Storm,,,,Chile,CHL,South America,Americas,"Puerto Montt city (Llanquihue district, Los Lagos province), Araucania province",,,,,,,,,Kph,,,,,2001,5.0,29.0,2001,5.0,29.0,2.0,,2000.0,400.0,2400.0,,,,,,,65.345558714192,1;2,884,12955,Araucania (Adm1). Llanquihue (Adm2).
2005-0256-CHL,2005,256,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Chile,CHL,South America,Americas,"Antuco city (Biobio district, Biobio province)",,,,,,,,,Kph,,,,,2005,5.0,18.0,2005,5.0,19.0,45.0,,112.0,,112.0,,,,,,,72.0714104526569,2,,12945,Biobio (Adm2).
2015-0338-CHL,2015,338,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Chile,CHL,South America,Americas,"Valparaiso, Antofagasta, Libertador Gral. Bernardo O'higgins, Coquimbo provinces",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,,,,,2015,8.0,8.0,2015,8.0,9.0,6.0,4.0,934.0,,938.0,,,,,,,87.4699322108025,1,883;888;889;149630,,"Antofagasta, Coquimbo, Libertador Gral. Bernardo O'Higgins, Valparaiso (Adm1)."
2021-0069-CHL,2021,69,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Chile,CHL,South America,Americas,"Santiago Metropolitan, O’Higgins, Valparaíso, Maule, Araucanía, and Bío Bío Regions",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2021,1.0,29.0,2021,2.0,2.0,,,521.0,,521.0,,,,,175000.0,175000.0,100.0,1;2,884;887;889;892;149630,12971,"Araucania, Biobio, Libertador Gral. Bernardo O'Higgins, Maule, Valparaiso (Adm1). Santiago (Adm2)."
