Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1902-0014-CHN,1902,14,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"XINJIANG, TURKESTAN",,,,,,,,8.0,Richter,39.88,76.2,04:50,,1902,8.0,22.0,1902,8.0,22.0,2500.0,,,,,,,,,,,3.2001745448614,,,,
1905-0010-CHN,1905,10,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Sichuan province,,,,,,,,5.0,Richter,29.3,104.8,10:33,,1905,11.0,8.0,1905,11.0,8.0,,,,,,,,,,,,3.3232581812022,,,,
1906-0029-CHN,1906,29,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Xinjiang province,,,,,,,,8.0,Richter,43.5,85.5,00:21,,1906,12.0,23.0,1906,12.0,23.0,280.0,,10000.0,,10000.0,,,,,,,3.3232581812022,,,,
1907-0006-CHN,1907,6,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Tien Shan,,,,,,,,7.0,Richter,38.5,69.9,09:23,,1907,10.0,21.0,1907,10.0,21.0,12000.0,,,,,,,,,,,3.4463418175431,,,,
1909-0020-CHN,1909,20,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yunnan province,,,,,,,,7.0,Richter,24.4,103.0,22:30,,1909,5.0,11.0,1909,5.0,11.0,21.0,,,,,,,,,,,3.3232581812022,,,,
1913-0028-CHN,1913,28,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yunnan province,,,,,,,,7.0,Richter,24.15,102.45,23:37,,1913,12.0,21.0,1913,12.0,21.0,942.0,112.0,,,112.0,,,,,,,3.6555839993225,,,,
1915-0014-CHN,1915,14,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,,,,,,,,,7.0,Richter,29.5,91.5,08:29,,1915,12.0,3.0,1915,12.0,3.0,170.0,,,,,,,,,,,3.741742544761,,,,
1917-0014-CHN,1917,14,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Yunnan province,,,,,,,,7.0,Richter,28,104,07:00,,1917,7.0,31.0,1917,7.0,31.0,1800.0,,,,,,,,,,,4.7387199991217,,,,
1918-0020-CHN,1918,20,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,Kwangtung (Guangdong),,Tsunami/Tidal wave,,,,,,7.0,Richter,23.5,117,14:07,,1918,2.0,13.0,1918,2.0,13.0,10000.0,,,,,,,,,,,5.5633803626052,,,,
1920-0007-CHN,1920,7,,Natural,Geophysical,Earthquake,Ground movement,,,China,CHN,Eastern Asia,Asia,"Gansu, Shanxi provinces",,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,,,,,9.0,Richter,36.888,105.606,19:11,,1920,12.0,16.0,1920,12.0,16.0,180000.0,,,,,,,,,25000.0,337399.0,7.4096349077176,,,,
