Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1950-0007-CHN,1950,7,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Anhwei province,,,,,,,,,Km2,,,,,1950,8.0,14.0,1950,8.0,14.0,500.0,,10000000.0,,10000000.0,,,,,,,8.8989469074416,,,,
1951-0018-CHN,1951,18,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Manchuria,,,,,,,,,Km2,,,,,1951,8.0,28.0,1951,8.0,28.0,4800.0,,,,,,,,,,,9.6005236345842,,,,
1969-0066-CHN,1969,66,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Shantung province,,,,,,,,,Km2,,,,,1969,4.0,23.0,1969,4.0,23.0,,,,,,,,,,,,13.5378001312049,,,,
1980-0247-CHN,1980,247,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Hubei province, West Shangai",,,,,,,,12140.0,Km2,,,,,1980,9.0,2.0,1980,9.0,2.0,,,,,,,,,,,,30.4123857424011,,,,
1981-0066-CHN,1981,66,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Sichuan, Central and South China",,,,Yes,,,,,Km2,,,,,1981,7.0,14.0,1981,7.0,14.0,1311.0,28140.0,1500000.0,,1528140.0,,,,,1100000.0,3278159.0,33.5554165755522,,,,
1981-0080-CHN,1981,80,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,Quinghai province,,,,,,,,,Km2,,,,,1981,9.0,12.0,1981,9.0,12.0,,,4000.0,,4000.0,,,,,,,33.5554165755522,,,,
1981-0089-CHN,1981,89,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Sichuan province,,,,,,,,,Km2,,,,,1981,10.0,4.0,1981,10.0,4.0,240.0,,100000.0,,100000.0,,,,,,,33.5554165755522,,,,
1982-0058-CHN,1982,58,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,Guangdong province,,,,,,,,,Km2,,,,,1982,5.0,12.0,1982,5.0,12.0,447.0,4643.0,594500.0,210000.0,809143.0,,,,,,,35.6128405860485,,,,
1984-0076-CHN,1984,76,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Tongjiang county,,,,,,,,,Km2,,,,,1984,9.0,5.0,1984,9.0,5.0,,,28000.0,,28000.0,,,,,,,38.3376251913405,,,,
1985-0304-CHN,1985,304,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Guchgeng Isl.,,,,,,,,300330.0,Km2,,,,,1985,4.0,21.0,1985,4.0,21.0,,,,,,,,,,1350.0,3401.0,39.696934178876,,,,
1987-0098-CHN,1987,98,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,Guangdong province,,,,,,,,3000.0,Km2,,,,,1987,5.0,21.0,1987,5.0,21.0,92.0,400.0,350000.0,,350400.0,,,,,,,41.9327356221299,,,,
1987-0393-CHN,1987,393,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,Anhui,,,,,,,,,Km2,,,,,1987,7.0,5.0,1987,7.0,5.0,56.0,,,,,,,,,,,41.9327356221299,,,,
1987-0134-CHN,1987,134,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Guangdong province,,,,,,,,,Km2,,,,,1987,7.0,28.0,1987,7.0,28.0,20.0,129.0,590000.0,,590129.0,,,,,,,41.9327356221299,,,,
1987-0408-CHN,1987,408,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,Jihan (Shandong province),,,,,,,,,Km2,,,,,1987,8.0,26.0,1987,8.0,26.0,51.0,,,,,,,,,,,41.9327356221299,,,,
1988-0215-CHN,1988,215,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Fujian, Jiangxi, Hunan, Guangdong provinces",,,,Yes,,,,3500.0,Km2,,,,,1988,5.0,20.0,1988,5.0,20.0,158.0,,2880000.0,,2880000.0,,,,,91644.0,209987.0,43.6426415919528,,,,
1988-0320-CHN,1988,320,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,Gansu province,,,,,,,,,Km2,,,,,1988,7.0,23.0,1988,7.0,23.0,54.0,,,10000.0,10000.0,,,,,,,43.6426415919528,,,,
1988-0363-CHN,1988,363,,Natural,Hydrological,Flood,Flash flood,,,China,CHN,Eastern Asia,Asia,Shanxi province,,,,,,,,300.0,Km2,,,,,1988,8.0,6.0,1988,8.0,6.0,204.0,,30000.0,,30000.0,,,,,,,43.6426415919528,,,,
1988-0388-CHN,1988,388,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,Shandong province,,,,,,,,,Km2,,,,,1988,8.0,24.0,1988,8.0,24.0,,,280000.0,,280000.0,,,,,,,43.6426415919528,,,,
1989-0087-CHN,1989,87,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,"Anhui, Hebei, Hubei, Jiangsu, Jiangxi, Jilin, Sichuan, Zhejiang provinces",,,,Yes,,,,,Km2,,,,,1989,7.0,14.0,1989,7.0,14.0,2000.0,10000.0,100000000.0,,100010000.0,,,,,2789000.0,6096271.0,45.749276186311,,,,
1990-0024-CHN,1990,24,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,Hunan province,Heavy rain,,,Yes,No,No,,206500.0,Km2,,,,,1990,6.0,5.0,1990,7.0,2.0,363.0,5805.0,26000000.0,125000.0,26130805.0,,,,,592000.0,1227737.0,48.2187972884321,,,,
1990-0039-CHN,1990,39,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Shaanxi, Sichuan provinces",Heavy rain,,,,No,No,,438800.0,Km2,,,,"Jtalin, Han and Wet Rivers, Hanjiang River",1990,7.0,4.0,1990,7.0,19.0,72.0,,,175000.0,175000.0,,,,,211000.0,437589.0,48.2187972884321,,,,
1991-0123-CHN,1991,123,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Anhui, Jiangsu, Henan, Guizhou, Sichuan, Hunan, Hubei, Gansu , Guangxi provinces",Heavy rain,"Slide (land, mud, snow, rock)",,Yes,Yes,No,,,Km2,,,,Huailhe and Yangtze,1991,6.0,1.0,1991,7.0,19.0,1729.0,32227.0,206000000.0,4200000.0,210232227.0,,,,,7500000.0,14922150.0,50.2608528318391,,,,
1991-0767-CHN,1991,767,,Natural,Hydrological,Flood,Riverine flood,,,China,CHN,Eastern Asia,Asia,"Heilongjiang, Sichuan, Jilin provinces",Heavy rain,,,,No,No,,554200.0,Km2,,,,Yangtze,1991,8.0,9.0,1991,8.0,12.0,106.0,,,,,,,,,530000.0,1054499.0,50.2608528318391,,,,
1991-0227-CHN,1991,227,,Natural,Hydrological,Flood,,,,China,CHN,Eastern Asia,Asia,Guangdong province,,,,,No,No,,920.0,Km2,,,,,1991,9.0,7.0,1991,9.0,10.0,26.0,,,3500.0,3500.0,,,,,14120.0,28093.0,50.2608528318391,,,,
