Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1922-0004-CHN,1922,4,,Natural,Meteorological,Storm,Tropical cyclone,,,China,CHN,Eastern Asia,Asia,Swatow,,,,,,,,,Kph,,,,,1922,7.0,27.0,1922,7.0,27.0,100000.0,,,,,,,,,,,6.1911069079434,,,,
1927-0009-CHN,1927,9,,Natural,Meteorological,Storm,Tropical cyclone,,,China,CHN,Eastern Asia,Asia,Yeng-Kong,,,,,,,,,Kph,,,,,1927,9.0,26.0,1927,9.0,26.0,5000.0,,,,,,,,,,,6.4249658169911,,,,
1959-0011-CHN,1959,11,,Natural,Meteorological,Storm,Tropical cyclone,,Iris,China,CHN,Eastern Asia,Asia,Fukien province,,,,,,,,,Kph,,,,,1959,8.0,20.0,1959,8.0,20.0,720.0,,,,,,,,,,,10.75766455281,,,,
1964-0098-CHN,1964,98,,Natural,Meteorological,Storm,Tropical cyclone,,Ruby,China,CHN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1964,9.0,5.0,1964,9.0,5.0,686.0,,,,,,,,,,,11.4465427509293,,,,
1970-0090-CHN,1970,90,,Natural,Meteorological,Storm,Tropical cyclone,,Fran,China,CHN,Eastern Asia,Asia,"Yang-Mei (Tao-Yuan), Wu-F Eng (Hsin-Chu), Yang-Mei, Ali-Shan, Tai-Chung, Yang-Ming-Shan, Peng-Chia-Yu regions",,,,,,,,,Kph,,,,,1970,9.0,7.0,1970,9.0,7.0,107.0,55.0,6065.0,7880.0,14000.0,,,,,,,14.3281696916685,,,,
1980-0069-CHN,1980,69,,Natural,Meteorological,Storm,Tropical cyclone,,Joe,China,CHN,Eastern Asia,Asia,Guandong province,,,,,,,,,Kph,,,,,1980,7.0,24.0,1980,7.0,24.0,188.0,,,100.0,100.0,,,,,,,30.4123857424011,,,,
1981-0231-CHN,1981,231,,Natural,Meteorological,Storm,Convective storm,Hail,,China,CHN,Eastern Asia,Asia,Hubei province,,,,,,,,,Kph,,,,,1981,4.0,15.0,1981,4.0,15.0,,,,,,,,,,,,33.5554165755522,,,,
1983-0069-CHN,1983,69,,Natural,Meteorological,Storm,Convective storm,Tornado,,China,CHN,Eastern Asia,Asia,Fujian province,,,,,,,,,Kph,,,,,1983,4.0,14.0,1983,4.0,14.0,54.0,163.0,,,163.0,,,,,,,36.7568773234201,,,,
1983-0485-CHN,1983,485,,Natural,Meteorological,Storm,Tropical cyclone,,Ellen,China,CHN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1983,9.0,2.0,1983,9.0,2.0,82.0,,,,,,,,,,,36.7568773234201,,,,
1983-0491-CHN,1983,491,,Natural,Meteorological,Storm,,,,China,CHN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1983,11.0,3.0,1983,11.0,3.0,69.0,,,,,,,,,,,36.7568773234201,,,,
1984-0082-CHN,1984,82,,Natural,Meteorological,Storm,Tropical cyclone,,Ike,China,CHN,Eastern Asia,Asia,"Guangdong, Jianxi, Hunan, Anhui, Jiangsu (South China coast)",,,,,,,,,Kph,,,,,1984,9.0,9.0,1984,9.0,9.0,13.0,,,,,,,,,,,38.3376251913405,,,,
1985-0074-CHN,1985,74,,Natural,Meteorological,Storm,,,,China,CHN,Eastern Asia,Asia,Fujian province,,,,,,,,,Kph,,,,,1985,6.0,27.0,1985,6.0,27.0,11.0,,100000.0,,100000.0,,,,,,,39.696934178876,,,,
1985-0084-CHN,1985,84,,Natural,Meteorological,Storm,Tropical cyclone,,,China,CHN,Eastern Asia,Asia,Zhejiang province,,,,,,,,,Kph,,,,,1985,7.0,30.0,1985,7.0,30.0,177.0,1400.0,100000.0,,101400.0,,,,,,,39.696934178876,,,,
1986-0264-CHN,1986,264,,Natural,Meteorological,Storm,,,,China,CHN,Eastern Asia,Asia,Sichuan province,,,,,,,,,Kph,,,,,1986,5.0,22.0,1986,5.0,22.0,100.0,,403500.0,,403500.0,,,,,,,40.4504089219331,,,,
1986-0081-CHN,1986,81,,Natural,Meteorological,Storm,Tropical cyclone,,Peggy,China,CHN,Eastern Asia,Asia,Guangdon province,,,,,,,,,Kph,,,,,1986,7.0,11.0,1986,7.0,11.0,172.0,1250.0,4000000.0,,4001250.0,,,,,380000.0,939422.0,40.4504089219331,,,,
1986-0082-CHN,1986,82,,Natural,Meteorological,Storm,Tropical cyclone,,,China,CHN,Eastern Asia,Asia,Guangxi province,,,,,,,,150.0,Kph,,,,,1986,7.0,21.0,1986,7.0,21.0,43.0,381.0,,,381.0,,,,,54000.0,133497.0,40.4504089219331,,,,
1986-0268-CHN,1986,268,,Natural,Meteorological,Storm,Tropical cyclone,,Vera,China,CHN,Eastern Asia,Asia,Shangai,,,,,No,No,,,Kph,,,,,1986,8.0,27.0,1986,8.0,27.0,8.0,25.0,,2500.0,2525.0,,,,,940000.0,2323833.0,40.4504089219331,,,,
1987-0072-CHN,1987,72,,Natural,Meteorological,Storm,Convective storm,Tornado,,China,CHN,Eastern Asia,Asia,Anhui province,,,,,,,,,Kph,,,,,1987,3.0,6.0,1987,3.0,6.0,2.0,800.0,,400000.0,400800.0,,,,,,,41.9327356221299,,,,
1987-0344-CHN,1987,344,,Natural,Meteorological,Storm,Tropical cyclone,,Ruth,China,CHN,Eastern Asia,Asia,"Sichuan, Hubei",,,,,,,,,Kph,,,,,1987,6.0,9.0,1987,6.0,9.0,40.0,,,,,,,,,,,41.9327356221299,,,,
1987-0114-CHN,1987,114,,Natural,Meteorological,Storm,Tropical cyclone,,,China,CHN,Eastern Asia,Asia,Guangdong province,,,,,,,,,Kph,,,,,1987,6.0,19.0,1987,6.0,19.0,132.0,86.0,900000.0,,900086.0,,,,,,,41.9327356221299,,,,
1987-0136-CHN,1987,136,,Natural,Meteorological,Storm,Convective storm,Tornado,,China,CHN,Eastern Asia,Asia,Heilongjiang province,,,,,,,,,Kph,,,,,1987,7.0,31.0,1987,7.0,31.0,29.0,442.0,9000.0,,9442.0,,,,,,,41.9327356221299,,,,
1987-0147-CHN,1987,147,,Natural,Meteorological,Storm,,,,China,CHN,Eastern Asia,Asia,"Dandong, Dalian (Liaonging province)",,,,,,,,,Kph,,,,,1987,8.0,15.0,1987,8.0,15.0,101.0,860.0,50000.0,,50860.0,,,,,,,41.9327356221299,,,,
