Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1906-0002-COL,1906,2,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,Tumako,,Tsunami/Tidal wave,,,No,No,,9.0,Richter,1.51 N,78.46 W,,,1906,1.0,31.0,1906,1.0,31.0,400.0,,,,,,,,,,,3.3232581812022,,,,
1923-0027-COL,1923,27,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,Ipiales,,,,,,,,5.0,Richter,1.0,-77.5,05:31,,1923,12.0,14.0,1923,12.0,14.0,300.0,,,,,,,,,,,6.3018821806502,,,,
1936-0026-COL,1936,26,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,,,,,,,,,7.0,Richter,1.1,-77.6,04:23,,1936,1.0,9.0,1936,1.0,9.0,,,,,,,,,,,,5.1325876354123,,,,
1936-0031-COL,1936,31,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,Pasto,,,,,,,,,Richter,1.2,-77.3,,,1936,8.0,14.0,1936,8.0,14.0,18.0,,,,,,,,,,,5.1325876354123,,,,
1950-0028-COL,1950,28,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Santander, Amboledas",,,,,,,,,Richter,7.8,-72.5,21:35,,1950,7.0,8.0,1950,7.0,8.0,211.0,,,40000.0,40000.0,,,,,5000.0,56186.0,8.8989469074416,,,,
1958-0047-COL,1958,47,,Natural,Geophysical,Earthquake,Tsunami,,,Colombia,COL,South America,Americas,Colombia-Ecuador,,Tsunami/Tidal wave,,,,,,8.0,Richter,1.5,-79.5,09:07,,1958,1.0,19.0,1958,1.0,19.0,111.0,46.0,,,46.0,,,,,,,10.6500240542314,,,,
1962-0030-COL,1962,30,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Mistrato, Manizales",,,,,,,,7.0,Richter,5.173,-76.352,13:53,,1962,7.0,30.0,1962,7.0,30.0,47.0,300.0,,,300.0,,,,,,,11.1636125082004,,,,
1967-0020-COL,1967,20,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Neiva (Huila deparment); Rivera, San Antonio",,,,,,,,7.0,Richter,2.849,-74.798,10:24,,1967,2.0,9.0,1967,2.0,9.0,61.0,200.0,40000.0,,40200.0,,,,,600.0,4874.0,12.3107281871857,,,,
1967-0137-COL,1967,137,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,,,,,,,,,7.0,Richter,6.747,-73.032,11:24,,1967,7.0,29.0,1967,7.0,29.0,20.0,,,,,,,,,,,12.3107281871857,,,,
1970-0051-COL,1970,51,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,Pereira (Bahia Solano),,,,,,,,7.0,Richter,6.375,-77.438,22:38,,1970,9.0,25.0,1970,9.0,25.0,,6.0,3000.0,,3006.0,,,,,400.0,2792.0,14.3281696916685,,,,
1974-0170-COL,1974,170,,Natural,Geophysical,Earthquake,,,,Colombia,COL,South America,Americas,"Bogota, Cali, Pereira",,,,,,,,7.0,Richter,7.747,-77.688,20:18,,1974,7.0,12.0,1974,7.0,12.0,11.0,,,,,,,,,,,18.196991034332,,,,
1979-0106-COL,1979,106,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,Manizales-Armenia area,,,,,,,,7.0,Richter,4.805,-76.217,18:40,,1979,11.0,23.0,1979,11.0,23.0,60.0,600.0,,,600.0,,,,,20000.0,74673.0,26.7834419418325,,,,
1979-0113-COL,1979,113,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Pasto, Buenaventura, Narino, Cauca provinces, Tumaco Isl.; Gorgona Isl.",,Tsunami/Tidal wave,,,,,,8.0,Richter,1.598,-79.358,02:59,,1979,12.0,12.0,1979,12.0,12.0,579.0,1042.0,10000.0,,11042.0,,,,,8000.0,29869.0,26.7834419418325,,,,
1981-0091-COL,1981,91,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,Colombia/Venezuela border,,"Slide (land, mud, snow, rock)",,,,,,5.0,Richter,8.117,-72.527,23:31,,1981,10.0,18.0,1981,10.0,18.0,10.0,,,,,,,,,5000.0,14901.0,33.5554165755522,,,,
1983-0059-COL,1983,59,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,Popayan city (Cauca department),,,,,,,,5.0,Richter,2.461,-76.686,08:12,,1983,3.0,31.0,1983,3.0,31.0,250.0,1200.0,35000.0,,36200.0,,,,,410900.0,1117886.0,36.7568773234201,,,,
1991-0390-COL,1991,390,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Buenaventura, Cali (Choco Department)",,,,,No,No,,7.0,Richter,3.554 N,77.442 W,16:28,,1991,11.0,19.0,1991,11.0,19.0,2.0,2.0,570.0,295.0,867.0,,,,,,,50.2608528318391,,,,
1992-0151-COL,1992,151,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"(1) Murindo, Vigia del Fuerte, Gedeza, Bellaluz, Bebaremeno, Bellavista (Antioquia and Choco Province), (2) Murindo Apartado Medellin area, (3) San Pedro de Uraba",,Volcanic activity,,,No,No,150.0,7.0,Richter,7.123 N,7 W.887,3:32,,1992,10.0,17.0,1992,10.0,17.0,11.0,135.0,,1500.0,1635.0,,,,,,,51.7831620380495,,,,
1993-0490-COL,1993,490,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Arauca, Puerto Rondon, Puerto Colombia",,,,,No,No,,6.0,Richter,6.47,-71.210,,,1993,7.0,22.0,1993,7.0,22.0,2.0,60.0,3011.0,,3071.0,,,,,,,53.3116203804942,,,,
1994-0059-COL,1994,59,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Toez, Irlanda, Belalcazar, Mosoco, Monte Cruz, La Cruz, San Jose Cabuya (Cauca Department and Huila Department)",,"Slide (land, mud, snow, rock)",,Yes,Yes,No,4856.0,6.0,Richter,30.0 N,76.2 W,15:47,,1994,6.0,6.0,1994,6.0,6.0,271.0,158.0,12461.0,24797.0,37416.0,,,,,2400.0,4387.0,54.7016925431883,,,,
1995-0015-COL,1995,15,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,"Boyaca Province, Casanare Department",,"Slide (land, mud, snow, rock)",,,No,No,,7.0,Richter,4.9 N,73.1 W,10:05,,1995,1.0,19.0,1995,1.0,19.0,7.0,35.0,2560.0,250.0,2845.0,,,,,,,56.2363000218675,,,,
1995-0030-COL,1995,30,,Natural,Geophysical,Earthquake,Ground movement,,,Colombia,COL,South America,Americas,Pereira,,,,,No,No,20.0,6.0,Richter,4.1 N,76.6 W,13:40,,1995,2.0,8.0,1995,2.0,8.0,40.0,230.0,11867.0,3000.0,15097.0,,,,,,,56.2363000218675,,,,
