Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1970-0069-COL,1970,69,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Caldas,,,,,,,,,Km2,,,,,1970,12.0,12.0,1970,12.0,12.0,100.0,,,,,,,,,,,14.3281696916685,,,,
1973-0043-COL,1973,43,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,,,,,,,,,,Km2,,,,,1973,10.0,10.0,1973,10.0,10.0,9.0,172.0,5000.0,,5172.0,,,,,,,16.3855937021648,,,,
1979-0099-COL,1979,99,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Playon,,,,,,,,,Km2,,,,,1979,11.0,20.0,1979,11.0,20.0,62.0,,100000.0,2000.0,102000.0,,,,,,,26.7834419418325,,,,
1981-0074-COL,1981,74,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"East, Calimina",,,,,,,,,Km2,,,,,1981,8.0,17.0,1981,8.0,17.0,150.0,,,,,,,,,5000.0,14901.0,33.5554165755522,,,,
1982-0022-COL,1982,22,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Narino province,,,,,,,,,Km2,,,,,1982,1.0,4.0,1982,1.0,4.0,90.0,,,,,,,,,,,35.6128405860485,,,,
1987-0124-COL,1987,124,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Ibague, PastalesTolima department",,,,,,,,,Km2,,,,,1987,7.0,4.0,1987,7.0,4.0,21.0,50.0,800.0,,850.0,,,,,,,41.9327356221299,,,,
1989-0580-COL,1989,580,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"Putumayo, Mocoa",,,,,,,,,Km2,,,,,1989,7.0,31.0,1989,7.0,31.0,16.0,,,,,,,,,,,45.749276186311,,,,
1990-0676-COL,1990,676,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Narino,,,,,,,,,Km2,,,,,1990,4.0,17.0,1990,4.0,17.0,,,800.0,,800.0,,,,,,,48.2187972884321,,,,
1990-0677-COL,1990,677,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,,,,,,,,,,Km2,,,,,1990,5.0,30.0,1990,5.0,30.0,,,17179.0,,17179.0,,,,,,,48.2187972884321,,,,
1990-0678-COL,1990,678,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Vichada,,,,,,,,,Km2,,,,,1990,6.0,27.0,1990,6.0,27.0,,,1548.0,,1548.0,,,,,,,48.2187972884321,,,,
1990-0679-COL,1990,679,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Antioquia,,,,,,,,,Km2,,,,,1990,9.0,21.0,1990,9.0,21.0,10.0,,1098.0,,1098.0,,,,,,,48.2187972884321,,,,
1993-0011-COL,1993,11,,Natural,Hydrological,Flood,Flash flood,,,Colombia,COL,South America,Americas,"Andes (Antioquia Department), Amazonas, Meta, Tolima, Boyaca and Narino departments",Brief torrential rain,"Slide (land, mud, snow, rock)",,,No,No,200.0,20.0,Km2,,,,Taparto,1993,4.0,26.0,1993,5.0,1.0,63.0,33.0,80000.0,250.0,80283.0,,,,,,,53.3116203804942,,,,
1994-0651-COL,1994,651,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,Florida town (Bogota),Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,Fraile,1994,1.0,31.0,1994,2.0,2.0,19.0,,,7000.0,7000.0,,,,,,,54.7016925431883,,,,
1995-0155-COL,1995,155,,Natural,Hydrological,Flood,Flash flood,,,Colombia,COL,South America,Americas,"Fresdonia, Toledo",,,,,,,,,Km2,,,,,1995,7.0,23.0,1995,7.0,23.0,69.0,,,86000.0,86000.0,,,,,,,56.2363000218675,,,,
1996-0240-COL,1996,240,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,Santander Province,,,,,,,,,Km2,,,,,1996,10.0,15.0,1996,10.0,15.0,12.0,,,200.0,200.0,,,,,,,57.8847058823529,,,,
1997-0569-COL,1997,569,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,Carmen de Bolivar (Bolivar province),Heavy rains,,,,No,No,,5120.0,Km2,,,,"Gibrantar, Sabaneta",1997,10.0,14.0,1997,10.0,16.0,2.0,,15000.0,,15000.0,,,,,3000.0,5064.0,59.2378657336541,,,,
1999-0372-COL,1999,372,,Natural,Hydrological,Flood,,,,Colombia,COL,South America,Americas,"Florencia, Puerto Lopez, Cauca, Narino, Huila, Putumayo, Valle",,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1999,10.0,4.0,1999,10.0,15.0,29.0,40.0,100000.0,50000.0,150040.0,,,,,3.0,5.0,61.473667176908,,,,
2000-0265-COL,2000,265,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Narino, Putumayo, Santander, Antioquia, Choco, Cundinamarca, Tolima, Valle del Cauca, Amazonas provinces",Heavy rains,"Slide (land, mud, snow, rock)",Transport accident,,,,9.0,200000.0,Km2,,,,San Miguel,2000,5.0,18.0,2000,5.0,24.0,96.0,,12000.0,,12000.0,,,,,,,63.5495473431008,1,934;935;946;948;955;957;961;963;964,,"Amazonas, Antioquia, Choco, Cundinamarca, Narino, Putumayo, Santander, Tolima, Valle Del Cauca (Adm1)."
2000-0648-COL,2000,648,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Ayapel district (Cordoba province), San Benito Abad district (Sucre province)",Heavy rains,,,,,,,,Km2,,,,"Magdalena, Cauca, San Jorge and Sinu",2000,9.0,20.0,2000,9.0,20.0,9.0,,28000.0,,28000.0,,,,,,,63.5495473431008,2,,13808;14307,"Ayapel, San Benito Abad (Adm2)."
2001-0156-COL,2001,156,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Colon, Santiago, Sibundoy, San Francisco districts (Putumayo province)",,,,,,,,,Km2,,,,,2001,4.0,9.0,2001,4.0,9.0,,,1500.0,,1500.0,,,,,,,65.345558714192,2,,14165;14172;14173;14174,"Colon, San Francisco, Santiago, Sibundoy (Adm2)."
2002-0307-COL,2002,307,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Antioquia, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cordoba, Cundinamarca, Huila, Meta, Nariño, Norte De Santander, Putumayo, Quindío, Risaralda, Santander, Sucre, Tolima, Valle Del Cauca provinces",Heavy rain,,,,,,,483000.0,Km2,,,,,2002,4.0,24.0,2002,4.0,29.0,37.0,,38000.0,,38000.0,,,,,,,66.3819636999782,1,935;938;939;941;942;943;944;945;946;947;948;952;954;955;956;957;958;959;961;962;963;964,,"Antioquia, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cordoba, Cundinamarca, Huila, Meta, Narino, Norte De Santander, Putumayo, Quindio, Risaralda, Santander, Sucre, Tolima, Valle Del Cauca (Adm1)."
2002-0339-COL,2002,339,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Antioquia, Bolivar, Cesar, Cundinamarca, Choco, Santander, Casanare, Tolima provinces",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,369950.0,Km2,,,,"Tunjuelito, Magdalena and Cauca",2002,6.0,4.0,2002,6.0,13.0,28.0,13.0,73000.0,,73013.0,,,,,,,66.3819636999782,1,935;938;943;945;946;948;961;963,,"Antioquia, Bolivar, Casanare, Cesar, Choco, Cundinamarca, Santander, Tolima (Adm1)."
2002-0839-COL,2002,839,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,Arauca province,Heavy rain,Broken Dam/Burst bank,,,,,,,Km2,,,,Aruca,2002,7.0,5.0,2002,8.0,8.0,,,12500.0,,12500.0,,,,,,,66.3819636999782,1,936,,Arauca (Adm1).
2003-0788-COL,2003,788,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Choco, Antioquia, Cordoba provinces",Torrential rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2003,5.0,14.0,2003,5.0,28.0,35.0,,,,,,,,,,,67.8888956921058,1,935;946;947,,"Antioquia, Choco, Cordoba (Adm1)."
2003-0284-COL,2003,284,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,Florencia district (Caqueta province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,3350.0,Km2,,,,Rio Hacha,2003,6.0,14.0,2003,6.0,16.0,3.0,,4000.0,,4000.0,,,,,,,67.8888956921058,2,,13691,Florencia (Adm2).
2004-0520-COL,2004,520,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Envigado, Copacabana, Bello, Medellin, Caldas, La Estrella districts (Antioquia province), Sabanagrande, Barranquilla districts (Atlantico province), Monteria, Ayapel (La Apartada), Cienaga de Oro, Cerete, San Pelayo, Momil, Planeta Rica, Purisima, Monitos (isl.), Lorica, San Andres de Sotavento, Tierralta, Los Cordobas, San Carlos, Montelibano, Puerto Libertador, San Bernado districts (Cordoba province), Cartagena, Santa Catalina (Clemencia), San Fernando, Simitri districts (Bolivar province), Cienaga (Zona Bananera) district(Magdalena province), Villa Caro, Machique, Ocana, Teorama districts (Norte of Santander province), Purificacion, Carmen de Apicala, Armero Guayabal, Icononzo districts (Tolima province), Riosuco districts (Caldas province), Popayan, Lopez de Micay, Timbiqui districts (Cauca province), Valledupar district (Cesar province), Capital City Bogota, Yacopi districts (Cundimarca province), Riohacha district (Guajira province), Garzon district (Huila province), Villavicencio, El Calvario district (Meta province), Samaniego, Pasto, Barbacoas districts (Nariño province), Sibundoy district (Putumayo province), Circasia district (Quindío province), Punto Caldas, Pereira districts (Risaralda province), San Pedro district (Sucre province), Bugalagrande district (Valle province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Cauca,2004,10.0,11.0,2004,10.0,26.0,36.0,72.0,345314.0,,345386.0,,,,,,,69.7064421605073,2,,13357;13366;13380;13386;13403;13408;13475;13489;13503;13504;13520;13525;13528;13677;13737;13745;13756;13757;13782;13808;13811;13814;13815;13816;13817;13818;13819;13820;13822;13825;13826;13828;13830;13831;13832;13833;13834;13914;13948;13964;13982;14014;14037;14058;14064;14102;14110;14149;14160;14163;14174;14180;14198;14312;14322;14325;14340;14351;14372,"Armero (guayabal), Ayapel, Barbacoas, Barranquilla (dist.port., Bello, Bugalagrande, Caldas, Carmen De Apicala, Cartagena (dist. Esp.), Cartagena (dist. Esp.) (i, Cerete, Cienaga, Cienaga De Oro, Circasia, Copacabana, El Calvario, Envigado, Garzon, Icononzo, La Estrella, Lopez De Micay, Lorica, Los Cordobas, Medellin, Momil, Monitos (is.), Montelibano, Monteria, Oca??a, Pasto, Pereira, Planeta Rica, Popayan, Puerto Libertador, Purificacion, Purisima, Riohacha, Riosucio, Sabanagrande, Samaniego, San Andres De Sotavento, San Bernardo El Viento, San Bernardo El Viento (i, San Carlos, San Fernando, San Pedro, San Pelayo, Santa Catalina, Santafe De Bogota D.c., Sibundoy, Simiti, Teorama, Tierralta, Timbiqui, Timbiqui (is.), Valledupar, Villa Caro, Villavicencio, Yacopi (Adm2)."
2005-0083-COL,2005,83,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Santander, Tolima, Huila, Norte de Santander, Quindio, Choco, Caldas, Boyaca, Meta, Cundinamarca, Antioquia, Cordoba provinces",Heavy rains,"Slide (land, mud, snow, rock)",Collapse,Yes,,Yes,154.0,,Km2,,,,"Lebrija, Oro, Frio, Tachira",2005,2.0,11.0,2005,2.0,26.0,56.0,117.0,85612.0,,85729.0,,,,,10000.0,13875.0,72.0714104526569,1,935;939;941;946;947;948;952;954;956;958;961;963,,"Antioquia, Boyaca, Caldas, Choco, Cordoba, Cundinamarca, Huila, Meta, Norte De Santander, Quindio, Santander, Tolima (Adm1)."
2005-0196-COL,2005,196,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Boyaca, Antioquia, Santander, Huila, Risaralda, Tolima provinces",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2005,4.0,12.0,2005,5.0,7.0,23.0,30.0,41500.0,,41530.0,,,,,,,72.0714104526569,1,935;939;952;959;961;963,,"Antioquia, Boyaca, Huila, Risaralda, Santander, Tolima (Adm1)."
2005-0572-COL,2005,572,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Antioquia, Atlantico, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cundinamarca, Guajira, Huila, Meta, Narino, Norte de Santander, Putumayo, Quindio, Risaralda, Santander, Sans Andres y Providencia, Sucre, Tolima, Valle, Cordoba, Choco, Cesar, Magdalena provinces",Heavy rains,,,,,,,115200.0,Km2,,,,La Garcia,2005,9.0,15.0,2005,11.0,17.0,101.0,114.0,474493.0,,474607.0,,,,,,,72.0714104526569,1,935;937;938;939;941;942;943;944;945;946;947;948;950;952;953;954;955;956;957;958;959;960;961;962;963;964,,"Antioquia, Atlantico, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cordoba, Cundinamarca, Guajira, Huila, Magdalena, Meta, Narino, Norte De Santander, Putumayo, Quindio, Risaralda, San Andres Y Providencia, Santander, Sucre, Tolima, Valle Del Cauca (Adm1)."
2006-0140-COL,2006,140,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Choco, Valle del Cauca, Cauca, Narino, Antioquia, Caldas, Risaralda, Quindio, Tolima, Arauca, Santander, Norte de Santander, Cundinamarca, Boyaca, Casanare, Meta, Bolivar, Cesar, Cundinamarca, Huila, Narino, Sucre, Caqueta provinces",,"Slide (land, mud, snow, rock)",Rain,Yes,,,415.0,,Km2,5.43,-75.6,,"Madgalena, Cauca, Saldana, Negro, Zulia, Pamplonita, Carare",2006,1.0,1.0,2006,4.0,27.0,150.0,227.0,221238.0,,221465.0,,,,,,,74.3963874917997,1,935;936;938;939;941;942;943;944;945;946;948;952;954;955;956;958;959;961;962;963;964,,"Antioquia, Arauca, Bolivar, Boyaca, Caldas, Caqueta, Casanare, Cauca, Cesar, Choco, Cundinamarca, Huila, Meta, Narino, Norte De Santander, Quindio, Risaralda, Santander, Sucre, Tolima, Valle Del Cauca (Adm1)."
2007-0162-COL,2007,162,,Natural,Hydrological,Flood,Riverine flood,,,Colombia,COL,South America,Americas,"Cordoba, Bolivar, Sucre, Choco, Guajira, Atlantico, Antioquia, Magdalena provinces",Heavy rain,"Slide (land, mud, snow, rock)",,,,Yes,,69990.0,Km2,8.38,-75.59,,"Sinu, San Jorge",2007,3.0,6.0,2007,9.0,30.0,146.0,173.0,1504144.0,,1504317.0,,,,,,,76.5186792040236,1,935;937;938;946;947;950;953;962,,"Antioquia, Atlantico, Bolivar, Choco, Cordoba, Guajira, Magdalena, Sucre (Adm1)."
