Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1998-0397-COG,1998,397,,Natural,Hydrological,Flood,Riverine flood,,,Congo (the),COG,Middle Africa,Africa,Northeast Likouala region,Heavy rain,,,,No,No,,,Km2,,,,,1998,11.0,24.0,1998,11.0,30.0,,,20000.0,,20000.0,,,,,59.0,98.0,60.1574108900066,,,,
2002-0739-COG,2002,739,,Natural,Hydrological,Flood,Riverine flood,,,Congo (the),COG,Middle Africa,Africa,"Plateaux, Cuvette, Sangha provinces",Heavy rain,,,,,,,,Km2,,,,Lower Congo river,2002,11.0,10.0,2003,1.0,5.0,,,5000.0,48000.0,53000.0,,,,,,,66.3819636999782,1,971;977;979,,"Cuvette, Plateaux, Sangha (Adm1)."
2005-0711-COG,2005,711,,Natural,Hydrological,Flood,Riverine flood,,,Congo (the),COG,Middle Africa,Africa,Brazzaville district (Brazzaville province),Heavy rains,"Slide (land, mud, snow, rock)",,,,,,1100.0,Km2,,,,Congo river,2005,12.0,24.0,2005,12.0,28.0,1.0,,,2000.0,2000.0,,,,,,,72.0714104526569,2,,190486,Brazzaville (Adm2).
2006-0597-COG,2006,597,,Natural,Hydrological,Flood,Riverine flood,,,Congo (the),COG,Middle Africa,Africa,"Mipla, Mikalou, Tsiemé, Ma Mboualé, Peit-Chose, Yoro, Mfilou boroughs (Brazzaville district, Brazzaville province)",Heavy rains,"Slide (land, mud, snow, rock)",,Yes,,,,1300.0,Km2,-4.24,15.43,,Tsieme,2006,11.0,4.0,2006,11.0,18.0,6.0,,,5000.0,5000.0,,,,,,,74.3963874917997,2,,190486,Brazzaville (Adm2).
2007-0590-COG,2007,590,FL-2007-000206,Natural,Hydrological,Flood,Riverine flood,,,Congo (the),COG,Middle Africa,Africa,"Tsiémé, Mikalou, Nkombo, Moungali, Yoro, Ngamakosso, Poto-Poto, Massengo, Ma Mnoualé, Mfilou, Tagai boroughs (Brazzaville district, Brazzaville province), Pointe-Noire district (Pointe-Noire province)",Heavy rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2007,10.0,26.0,2007,10.0,26.0,,,20000.0,5000.0,25000.0,,,,,,,76.5186792040236,2,,190475;190486,"Brazzaville, Pointe-Noire (Adm2)."
2012-0479-COG,2012,479,FF-2012-000196,Natural,Hydrological,Flood,Riverine flood,,,Congo (the),COG,Middle Africa,Africa,Pointe-Noire district (Pointe-Noire province),,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2012,11.0,17.0,2012,11.0,18.0,5.0,,2025.0,,2025.0,,,,,,,84.7304788978789,2,,190475,Pointe-Noire (Adm2).
2012-0497-COG,2012,497,FF-2012-000203,Natural,Hydrological,Flood,Riverine flood,,,Congo (the),COG,Middle Africa,Africa,Brazzaville district (Brazzaville province),,,,,,,,,Km2,,,,Mfilou river,2012,12.0,8.0,2012,12.0,9.0,14.0,89.0,,7500.0,7589.0,,,,,,,84.7304788978789,2,,190486,Brazzaville (Adm2).
2019-0561-COG,2019,561,,Natural,Hydrological,Flood,Riverine flood,,,Congo (the),COG,Middle Africa,Africa,"Likouala, Cuvette, Plateaux departments",,,,,,Yes,,,Km2,,,,,2019,11.0,20.0,2019,11.0,25.0,,,,,,,,,,,,94.3490924994534,1,971;975;977,,"Cuvette, Likouala, Plateaux (Adm1)."
2020-0125-COG,2020,125,,Natural,Hydrological,Flood,,,,Congo (the),COG,Middle Africa,Africa,Brazzaville,Heavy rains,Lightening,,,,,,,Km2,,,,,2020,3.0,30.0,2020,4.0,2.0,20.0,,,,,,,,,,,95.5129674174503,1,190432,,Brazzaville (Adm1).
2020-0509-COG,2020,509,,Natural,Hydrological,Flood,,,,Congo (the),COG,Middle Africa,Africa,Likouala region,Hevay rains,,,,,Yes,,,Km2,,,,,2020,11.0,2.0,2020,11.0,2.0,,,66000.0,,66000.0,,,,,,,95.5129674174503,1,975,,Likouala (Adm1).
2021-0810-COG,2021,810,FF-2021-0198,Natural,Hydrological,Flood,,,,Congo (the),COG,Middle Africa,Africa,"Bétou, Epéna and Dongou districts (Likouala); Sangha, Cuvette, Plateaux, Kouilou, Brazzaville",Heavy rains,,,,,Yes,,,Km2,,,,,2021,11.0,29.0,2021,12.0,8.0,24.0,,46652.0,,46652.0,,,,,,,100.0,1;2,971;977;979;190432;190433,190437;190439;190509,"Brazzaville, Cuvette, Kouilou, Plateaux, Sangha (Adm1). Betou, Dongou, Epena (Adm2)."
