Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1942-0005-COK,1942,5,,Natural,Meteorological,Storm,Tropical cyclone,,,Cook Islands (the),COK,Polynesia,Oceania,"Palmeston, Suwarrow",,,,,,,,,Kph,,,,,1942,2.0,19.0,1942,2.0,19.0,,,,,,,,,,,,6.0434065443345,,,,
1943-0009-COK,1943,9,,Natural,Meteorological,Storm,Tropical cyclone,,,Cook Islands (the),COK,Polynesia,Oceania,Rarotonga,,,,,,,,,Kph,,,,,1943,3.0,6.0,1943,3.0,6.0,,,,,,,,,,,,6.4003490897228,,,,
1967-0078-COK,1967,78,,Natural,Meteorological,Storm,Tropical cyclone,,,Cook Islands (the),COK,Polynesia,Oceania,"Rarotonga, Mangaia",,,,,,,,,Kph,,,,,1967,12.0,16.0,1967,12.0,16.0,,,,,,,,,,,,12.3107281871857,,,,
1981-0032-COK,1981,32,,Natural,Meteorological,Storm,Tropical cyclone,,Daman,Cook Islands (the),COK,Polynesia,Oceania,Aitutaki,,,,,,,,,Kph,,,,,1981,2.0,21.0,1981,2.0,21.0,,,,,,,,,,,,33.5554165755522,,,,
1987-0048-COK,1987,48,,Natural,Meteorological,Storm,Tropical cyclone,,Sally,Cook Islands (the),COK,Polynesia,Oceania,"Rarotonga, Aitutaki, Mangaia",,,,Yes,,,,,Kph,,,,,1987,1.0,2.0,1987,1.0,2.0,5.0,,2000.0,,2000.0,,,,,25000.0,59619.0,41.9327356221299,,,,
1990-0013-COK,1990,13,,Natural,Meteorological,Storm,Tropical cyclone,,Peni,Cook Islands (the),COK,Polynesia,Oceania,"Aitutaki, Atiu, Mangaia, Mauke, Rakahanga, Rarotonga islands",,,,,,,,185.0,Kph,,,,,1990,2.0,14.0,1990,2.0,14.0,1.0,,,,,,,,,,,48.2187972884321,,,,
1997-0259-COK,1997,259,,Natural,Meteorological,Storm,Tropical cyclone,,Martin,Cook Islands (the),COK,Polynesia,Oceania,"Pukapuka, Rakahanga, Manihiki isla,ds",,,,,,,297.0,130.0,Kph,,,,,1997,11.0,7.0,1997,11.0,7.0,19.0,200.0,700.0,,900.0,,,,,,,59.2378657336541,,,,
2001-0659-COK,2001,659,,Natural,Meteorological,Storm,Tropical cyclone,,Trina,Cook Islands (the),COK,Polynesia,Oceania,"Rarotonga, Avarua, Mangaia islands",,,,,,,24.0,130.0,Kph,,,,,2001,12.0,2.0,2001,12.0,2.0,,,744.0,,744.0,,,,,,,65.345558714192,1,980,,Administrative unit not available (Adm1).
2005-0102-COK,2005,102,,Natural,Meteorological,Storm,Tropical cyclone,,Percy,Cook Islands (the),COK,Polynesia,Oceania,"Pukapuka, Nassau islands",,,,,,Yes,,249.0,Kph,,,,,2005,2.0,28.0,2005,2.0,28.0,,8.0,600.0,,608.0,,,,,,,72.0714104526569,1,980,,Administrative unit not available (Adm1).
2010-0078-COK,2010,78,TC-2010-000024,Natural,Meteorological,Storm,Tropical cyclone,,Pat,Cook Islands (the),COK,Polynesia,Oceania,"Aitutaki, Rarotonga, Palmerston islands",,,,,,Yes,,200.0,Kph,,,,,2010,2.0,11.0,2010,2.0,19.0,,8.0,2194.0,,2202.0,,,,,,,80.472285151979,1,980,,Administrative unit not available (Adm1).
