Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1970-0025-CRI,1970,25,,Natural,Hydrological,Flood,,,,Costa Rica,CRI,Central America,Americas,"Limao, Cartago provinces",,,,Yes,,,,,Km2,,,,,1970,4.0,9.0,1970,4.0,9.0,23.0,40.0,10000.0,,10040.0,,,,,6000.0,41876.0,14.3281696916685,,,,
1970-0066-CRI,1970,66,,Natural,Hydrological,Flood,,,,Costa Rica,CRI,Central America,Americas,Estrella Valley,,,,Yes,,,,,Km2,,,,,1970,12.0,4.0,1970,12.0,4.0,1.0,,5200.0,,5200.0,,,,,24000.0,167502.0,14.3281696916685,,,,
1980-0107-CRI,1980,107,,Natural,Hydrological,Flood,,,,Costa Rica,CRI,Central America,Americas,East coast,,,,Yes,,,,,Km2,,,,,1980,12.0,14.0,1980,12.0,14.0,1.0,,1350.0,,1350.0,,,,,,,30.4123857424011,,,,
1991-0209-CRI,1991,209,,Natural,Hydrological,Flood,Riverine flood,,,Costa Rica,CRI,Central America,Americas,"Limon province, Atlantic zone",Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1991,8.0,13.0,1991,8.0,22.0,1.0,21.0,165000.0,20000.0,185021.0,,,,,,,50.2608528318391,,,,
1993-0082-CRI,1993,82,,Natural,Hydrological,Flood,,,,Costa Rica,CRI,Central America,Americas,"Paraiso, Turrialba, Sarapiqui, Siquirres, Matina, Limon, Talamanca districts",,,,Yes,,,195.0,,Km2,,,,,1993,11.0,23.0,1993,11.0,23.0,9.0,1.0,35000.0,3450.0,38451.0,,,,,,,53.3116203804942,,,,
1994-0506-CRI,1994,506,,Natural,Hydrological,Flood,Riverine flood,,,Costa Rica,CRI,Central America,Americas,"Upala, La Union, Curridabat provincesChorotega, Brunca and Central Pacific regions",,,,,,,,,Km2,,,,,1994,11.0,4.0,1994,11.0,4.0,2.0,,2000.0,556.0,2556.0,,,,,3000.0,5484.0,54.7016925431883,,,,
1996-0023-CRI,1996,23,,Natural,Hydrological,Flood,Riverine flood,,,Costa Rica,CRI,Central America,Americas,"Limon, Cartago, Heredia provinces",Heavy rains,,,Yes,No,No,78.0,7450.0,Km2,,,,,1996,2.0,7.0,1996,2.0,14.0,6.0,,20000.0,,20000.0,,,,,250000.0,431893.0,57.8847058823529,,,,
1999-0350-CRI,1999,350,,Natural,Hydrological,Flood,,,,Costa Rica,CRI,Central America,Americas,"Pacific Coast (Province Of Guanacaste, Puntarenas), Atlantic Coast (Limon), Valle Central (Cartago, Alajuela, San Jose)",,,,,No,No,,,Km2,,,,,1999,9.0,24.0,1999,9.0,30.0,9.0,,5372.0,4621.0,9993.0,,,,,1000.0,1627.0,61.473667176908,,,,
2001-0738-CRI,2001,738,,Natural,Hydrological,Flood,,,,Costa Rica,CRI,Central America,Americas,"Nosara city (Nicoya district, Guanacaste province), Filadelfia, Sardinal cities (Carrillo district, Guanacaste province), Cartagena city (Santa Cruz district, Guanacaste province), Nandayure district (Guanacaste province), Parrita district (Puntarenas province), Coto, Neily citities (Corredores district, Puntarenas province), Palmar Norte, Cortes cities (Osa district, Puntarenas province), Lepanto city (Puntarenas district, Puntarenas province), Moravia district (San Jose province), San Blas city (Perez Zeledon district, San Jose province)",Hurricane Michelle,,,,,,,,Km2,,,,,2001,10.0,19.0,2001,10.0,19.0,,,1437.0,,1437.0,,,,,,,65.345558714192,2,,14496;14500;14501;14502;14522;14528;14529;14530;14542;14543,"Carrillo, Corredores, Moravia, Nandayure, Nicoya, Osa, Parrita, Perez Zeledon, Puntarenas, Santa Cruz (Adm2)."
2002-0263-CRI,2002,263,,Natural,Hydrological,Flood,Riverine flood,,,Costa Rica,CRI,Central America,Americas,"Limon, Heredia, Cartago, Alajuela provinces",Heavy rain,,,,,,50.0,,Km2,,,,,2002,5.0,6.0,2002,5.0,11.0,,,20000.0,,20000.0,,,,,1000.0,1506.0,66.3819636999782,1,981;982;984;985,,"Alajuela, Cartago, Heredia, Limon (Adm1)."
2002-0755-CRI,2002,755,,Natural,Hydrological,Flood,Riverine flood,,,Costa Rica,CRI,Central America,Americas,"Valle La Estrella, Limon, Bananito, Bomba, cities (Limon district, Limon province), Bribri, Olivia, Paraiso, Margarita, Catarina, Celia, Bambu, Suretka, Shiroles, Coroma, Gavilan cities (Talamanca district, Limon province), Matina district (Limon province), Pangola city (Saraquipi district, Heredia province), San Pablo city (Alvarado district, Cartago province), Grano de Oro, Turrialba (Turrialba district, Cartago province)",Heavy rains,,,Yes,,Yes,,,Km2,,,,,2002,11.0,23.0,2002,12.0,13.0,10.0,40.0,75000.0,,75040.0,,,,,,,66.3819636999782,2,,14485;14492;14513;14515;14516;14519,"Alvarado, Limon, Matina, Sarapiqui, Talamanca, Turrialba (Adm2)."
2003-0659-CRI,2003,659,,Natural,Hydrological,Flood,Riverine flood,,,Costa Rica,CRI,Central America,Americas,Matina district (Limon province),Heavy rain,,,,,,,770.0,Km2,,,,Chirripo,2003,12.0,12.0,2003,12.0,14.0,1.0,,2500.0,,2500.0,,,,,,,67.8888956921058,2,,14516,Matina (Adm2).
2004-0214-CRI,2004,214,,Natural,Hydrological,Flood,Riverine flood,,,Costa Rica,CRI,Central America,Americas,"Guacimo, Pococi districts (Limon province), Carrandi, Matina, Batan municipalities (Matina district), Guacimo district (Limon province), Pacuarito municipality(Siquirres district, Limon province), Puerto Viejo de Saraquipi, Horquetas municipalities (Sarapiqui district, Heredia province), Turrialba district (Cartago province)",Heavy rains,Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",,,,,7980.0,Km2,,,,Toro,2004,5.0,10.0,2004,5.0,11.0,2.0,,2056.0,,2056.0,,,,,,,69.7064421605073,2,,14492;14513;14514;14515;14516;14517;14518,"Guacimo, Limon, Matina, Pococi, Sarapiqui, Siquirres, Turrialba (Adm2)."
