Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1988-0466-CRI,1988,466,,Natural,Meteorological,Storm,Tropical cyclone,,Joan,Costa Rica,CRI,Central America,Americas,Puntarenas province,,,,Yes,,,,,Kph,,,,,1988,10.0,19.0,1988,10.0,19.0,28.0,7500.0,120000.0,,127500.0,,,,,60000.0,137480.0,43.6426415919528,,,,
1995-0267-CRI,1995,267,,Natural,Meteorological,Storm,Tropical cyclone,,,Costa Rica,CRI,Central America,Americas,"Filadelfia, Santa Cruz Nicoya, Liberia (Guanacaste Province)",,Flood,,,Yes,No,146.0,,Kph,,,,,1995,10.0,6.0,1995,11.0,9.0,,,3262.0,4800.0,8062.0,,,,,6300.0,11203.0,56.2363000218675,,,,
1996-0101-CRI,1996,101,,Natural,Meteorological,Storm,Tropical cyclone,,Cesar and Douglas,Costa Rica,CRI,Central America,Americas,Northern and along Pacific and Atlantic coastline,,,,Yes,,,10699.0,126.0,Kph,,,,,1996,7.0,29.0,1996,7.0,29.0,51.0,,500000.0,,500000.0,,,,,200000.0,345514.0,57.8847058823529,,,,
1996-0232-CRI,1996,232,,Natural,Meteorological,Storm,,,,Costa Rica,CRI,Central America,Americas,Central and South Pacific Regions,,,,,,,,,Kph,,,,,1996,10.0,12.0,1996,10.0,12.0,3.0,,216000.0,,216000.0,,,,,,,57.8847058823529,,,,
1998-0375-CRI,1998,375,,Natural,Meteorological,Storm,Tropical cyclone,,Mitch,Costa Rica,CRI,Central America,Americas,,,,,Yes,No,No,,270.0,Kph,,,,,1998,10.0,25.0,1998,11.0,2.0,8.0,,15000.0,1700.0,16700.0,,,,,91090.0,151419.0,60.1574108900066,,,,
2005-0567-CRI,2005,567,,Natural,Meteorological,Storm,Tropical cyclone,,Stan,Costa Rica,CRI,Central America,Americas,"Quepos (Aguirre district, Puntarenas province), Guanacaste province.",,,,,,,,,Kph,,,,,2005,10.0,1.0,2005,10.0,16.0,1.0,,1074.0,,1074.0,,,,,20000.0,27750.0,72.0714104526569,1;2,983,14520,Guanacaste (Adm1). Aguirre (Adm2).
2008-0234-CRI,2008,234,,Natural,Meteorological,Storm,Tropical cyclone,,Alma,Costa Rica,CRI,Central America,Americas,"Parrita, Aguirre, Puntarenas districts (Puntarenas province), Canas, Bagaces, Abangares, Nandayure, Hojancha, Nicoya, Santa Cruz districts (Guanacaste province), Perez Zeledon, Tarrazu, Leon Cortes (San Jose province)",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,,,,,2008,5.0,28.0,2008,5.0,28.0,4.0,,55000.0,,55000.0,,,,,,,79.4563043953641,2,,14493;14494;14495;14497;14500;14501;14502;14520;14529;14530;14539;14543;14547,"Abangares, Aguirre, Bagaces, Canas, Hojancha, Leon Cortes, Nandayure, Nicoya, Parrita, Perez Zeledon, Puntarenas, Santa Cruz, Tarrazu (Adm2)."
2016-0433-CRI,2016,433,TC-2016-000125,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Otto,Costa Rica,CRI,Central America,Americas,"Upala, Bagaces, Osa, Golfito, Corredones",,Flood,,Yes,,Yes,,175.0,Kph,,,,,2016,11.0,23.0,2016,11.0,25.0,9.0,,50000.0,,50000.0,,,,,,,88.573452875574,2,,14483;14494;14522;14526;14528,"Bagaces, Corredores, Golfito, Osa, Upala (Adm2)."
2017-0410-CRI,2017,410,TC-2017-000148,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression'16/Hurricane 'Nate',Costa Rica,CRI,Central America,Americas,"South Pacific, Region 8- South Zone – Central Pacific: Region 6- Puntarenas (Parrita)- North Pacific: Region 5- Guanacaste (Hojancha, Sardinal de Carrillo)- Huetar Norte: Region 9- North Zone- Central Valley: Region 1, Cartago (Llano Grande de Cartago), Alajuela (Sarchí de Valverde Vega,Athens, ), San Jose (Puriscal,San Marcos de Tarrazú), Esperanza de Santa Cruz, Mollejones de Cabagra",,Flood,"Slide (land, mud, snow, rock)",Yes,,Yes,,,Kph,,,,"Tempisque, Bebedero, and Sierpe Rivers in Catsa, Taboga, El Viejo, and Osa, Aranjuez River",2017,9.0,4.0,2017,10.0,6.0,13.0,,11500.0,,11500.0,,,,,185000.0,204510.0,90.4601793133611,1,981;982;983;986;987,,"Alajuela, Cartago, Guanacaste, Puntarenas, San Jose (Adm1)."
2020-0474-CRI,2020,474,TC-2020-000218,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Eta',Costa Rica,CRI,Central America,Americas,"Nandayure, Hojancha of Guanacaste, Corredores,Coto Brus, San José, Alajuela, Heredia, Cartago, Puntarenas, Guanacaste, Limón",,,,,,Yes,,,Kph,,,,,2020,11.0,3.0,2020,11.0,4.0,,,25000.0,,25000.0,,,,,,,95.5129674174503,1,981;982;983;984;985;986;987,,"Alajuela, Cartago, Guanacaste, Heredia, Limon, Puntarenas, San Jose (Adm1)."
2022-0647-CRI,2022,647,TC-2022-000343,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Julia',Costa Rica,CRI,Central America,Americas,"Guanacaste, San Jose, Punta Arenas",,Flood,,,,,,,Kph,,,,,2022,10.0,9.0,2022,10.0,9.0,,,300000.0,,300000.0,,,,,,,,1,983;986;987,,"Guanacaste, Puntarenas, San Jose (Adm1)."
