Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1985-0231-CUB,1985,231,,Natural,Hydrological,Flood,,,,Cuba,CUB,Caribbean,Americas,South-East,,,,,,,,,Km2,,,,,1985,5.0,30.0,1985,5.0,30.0,,,3000.0,,3000.0,,,,,,,39.696934178876,,,,
1988-0224-CUB,1988,224,,Natural,Hydrological,Flood,Riverine flood,,,Cuba,CUB,Caribbean,Americas,"Sancti Spiritus, Cienfuegos, Ciego de Avila, Camaguey",,,,,,,,,Km2,,,,,1988,5.0,26.0,1988,5.0,26.0,23.0,12.0,90000.0,,90012.0,,,,,,,43.6426415919528,,,,
1990-0612-CUB,1990,612,,Natural,Hydrological,Flood,Riverine flood,,,Cuba,CUB,Caribbean,Americas,Central Cuba,,,,,,,,,Km2,,,,,1990,5.0,28.0,1990,5.0,28.0,,,,6000.0,6000.0,,,,,,,48.2187972884321,,,,
1990-0640-CUB,1990,640,,Natural,Hydrological,Flood,,,,Cuba,CUB,Caribbean,Americas,East of Cuba,,,,,,,,,Km2,,,,,1990,10.0,26.0,1990,10.0,26.0,4.0,,5000.0,,5000.0,,,,,,,48.2187972884321,,,,
1992-0017-CUB,1992,17,,Natural,Hydrological,Flood,Riverine flood,,,Cuba,CUB,Caribbean,Americas,"City of Havana, Havana, Matanzas, Villaclara, Cienfuegos, Sancti Spiritus, Ciego De Avila, Las Tunas, Holguin, Granma",Heavy rain,,,,No,No,2590.0,90430.0,Km2,,,,,1992,2.0,6.0,1992,2.0,10.0,,,9127.0,,9127.0,,,,,2590.0,5002.0,51.7831620380495,,,,
1993-0031-CUB,1993,31,,Natural,Hydrological,Flood,Flash flood,,,Cuba,CUB,Caribbean,Americas,Eastern provinces,Brief torrential rain,,,,No,No,,,Km2,,,,,1993,5.0,31.0,1993,6.0,2.0,12.0,,40000.0,,40000.0,,,,,,,53.3116203804942,,,,
1993-0083-CUB,1993,83,,Natural,Hydrological,Flood,Flash flood,,,Cuba,CUB,Caribbean,Americas,"Guantanamo, Santiago de Cuba, Holguin Provinces",Brief torrential rain,,,,No,No,611.0,19320.0,Km2,,,,,1993,11.0,24.0,1993,11.0,28.0,34.0,,500000.0,32000.0,532000.0,,,,,140000.0,262607.0,53.3116203804942,,,,
1994-0060-CUB,1994,60,,Natural,Hydrological,Flood,Riverine flood,,,Cuba,CUB,Caribbean,Americas,"Guantanamo, Santiago de Cuba, Grama, Holguin provinces",,,,,,,,38.0,Km2,,,,,1994,5.0,18.0,1994,5.0,18.0,12.0,,38600.0,,38600.0,,,,,,,54.7016925431883,,,,
1995-0215-CUB,1995,215,,Natural,Hydrological,Flood,Riverine flood,,,Cuba,CUB,Caribbean,Americas,"Pinar Del Rio, Sancti Spiritus, Santa Clara, Ciego de Avila, Holguin, Villa Clara",,,,,,,,,Km2,,,,,1995,6.0,23.0,1995,6.0,23.0,,,33180.0,,33180.0,,,,,,,56.2363000218675,,,,
1996-0096-CUB,1996,96,,Natural,Hydrological,Flood,Riverine flood,,,Cuba,CUB,Caribbean,Americas,Central Region,Heavy rain,,,,No,No,,,Km2,,,,,1996,5.0,24.0,1996,5.0,24.0,3.0,,8000.0,,8000.0,,,,,,,57.8847058823529,,,,
