Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1926-0012-CUB,1926,12,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,Havana and suburbs,,,,,,,,,Kph,,,,,1926,10.0,20.0,1926,10.0,20.0,600.0,,,,,,,,,,,6.5480494533318,,,,
1932-0006-CUB,1932,6,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,Santa Cruz Del Sur (Camaguey province),,,,,No,No,,,Kph,,,,,1932,11.0,9.0,1932,11.0,9.0,2500.0,,,,,,,,,,,5.0464290899737,,,,
1935-0008-CUB,1935,8,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,,,,,,,,,,Kph,,,,,1935,9.0,28.0,1935,9.0,28.0,35.0,500.0,,,500.0,,,,,,,5.0710458172419,,,,
1944-0011-CUB,1944,11,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,"Isle of Pines, La Havana",,Surge,,,No,No,,262.0,Kph,,,,,1944,10.0,18.0,1944,10.0,18.0,,,,,,,,,,,,6.5111243624295,,,,
1948-0009-CUB,1948,9,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,,,,,,,,,,Kph,,,,,1948,9.0,21.0,1948,9.0,21.0,3.0,,,,,,,,,12000.0,135034.0,8.8866385438075,,,,
1948-0012-CUB,1948,12,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,,,,,,,,,,Kph,,,,,1948,10.0,5.0,1948,10.0,5.0,11.0,300.0,,,300.0,,,,,6000.0,67517.0,8.8866385438075,,,,
1963-0030-CUB,1963,30,,Natural,Meteorological,Storm,Tropical cyclone,,Flora,Cuba,CUB,Caribbean,Americas,All country,,,,,No,No,,,Kph,,,,,1963,10.0,4.0,1963,10.0,4.0,1750.0,,,,,,,,,500000.0,4423996.0,11.3019986879511,,,,
1966-0076-CUB,1966,76,,Natural,Meteorological,Storm,Tropical cyclone,,Inez,Cuba,CUB,Caribbean,Americas,Guantanamo,,,,,,,,,Kph,,,,,1966,9.0,30.0,1966,9.0,30.0,5.0,30.0,156000.0,18000.0,174030.0,,,,,18000.0,150268.0,11.9785873605948,,,,
1968-0076-CUB,1968,76,,Natural,Meteorological,Storm,Tropical cyclone,,Gladys,Cuba,CUB,Caribbean,Americas,,,,,,,,,,Kph,,,,,1968,10.0,13.0,1968,10.0,13.0,,,,,,,,,,,,12.8366149136235,,,,
1970-0118-CUB,1970,118,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,,,,,,,,,,Kph,,,,,1970,8.0,3.0,1970,8.0,3.0,20.0,,,,,,,,,,,14.3281696916685,,,,
1978-0034-CUB,1978,34,,Natural,Meteorological,Storm,,,,Cuba,CUB,Caribbean,Americas,Colon,,,,,,,,,Kph,,,,,1978,2.0,11.0,1978,2.0,11.0,6.0,70.0,100.0,,170.0,,,,,,,24.0740345506232,,,,
1980-0229-CUB,1980,229,,Natural,Meteorological,Storm,Tropical cyclone,,Allen,Cuba,CUB,Caribbean,Americas,,,,,,No,No,,270.0,Kph,,,,,1980,8.0,4.0,1980,8.0,4.0,3.0,,,,,,,,,,,30.4123857424011,,,,
1982-0074-CUB,1982,74,,Natural,Meteorological,Storm,Tropical cyclone,,Alberto,Cuba,CUB,Caribbean,Americas,"Havana, Pinar Del Rio",,,,,,,,270.0,Kph,,,,,1982,6.0,3.0,1982,6.0,3.0,24.0,,105000.0,75000.0,180000.0,,,,,85000.0,238678.0,35.6128405860485,,,,
1985-0134-CUB,1985,134,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Kate""",Cuba,CUB,Caribbean,Americas,,,,,,Yes,No,,168.0,Kph,,,,,1985,11.0,18.0,1985,11.0,18.0,4.0,,476891.0,22000.0,498891.0,,,,,,,39.696934178876,,,,
1993-0012-CUB,1993,12,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Cuba,CUB,Caribbean,Americas,From Pinar del Rio (West) to Ciego de Avila and Camaguey (Central),,,,,No,No,4918.0,160.0,Kph,,,,,1993,3.0,13.0,1993,3.0,13.0,5.0,95.0,149680.0,,149775.0,,,5000.0,9379.0,1000000.0,1875764.0,53.3116203804942,,,,
1994-0505-CUB,1994,505,,Natural,Meteorological,Storm,Tropical cyclone,,Gordon,Cuba,CUB,Caribbean,Americas,Guatanamo province,,,,,No,No,580.0,83.0,Kph,,,,,1994,11.0,13.0,1994,11.0,18.0,2.0,,67738.0,42820.0,110558.0,,,,,101968.0,186407.0,54.7016925431883,,,,
1995-0102-CUB,1995,102,,Natural,Meteorological,Storm,Tropical cyclone,,Allison,Cuba,CUB,Caribbean,Americas,Havana,,,,,,,,97.0,Kph,,,,,1995,6.0,3.0,1995,6.0,3.0,2.0,3.0,160.0,,163.0,,,,,,,56.2363000218675,,,,
1995-0244-CUB,1995,244,,Natural,Meteorological,Storm,Tropical cyclone,,Opal,Cuba,CUB,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1995,10.0,4.0,1995,10.0,5.0,,,,,,,,,,2000.0,3556.0,56.2363000218675,,,,
1996-0231-CUB,1996,231,,Natural,Meteorological,Storm,Tropical cyclone,,Lilli,Cuba,CUB,Caribbean,Americas,"Sancti Spiritus, Pinar del Rio, Havana, Matanzas, Villa Clara, Cinfuegos provinces",,,,,No,Yes,3110.0,105.0,Kph,,,,,1996,10.0,17.0,1996,10.0,18.0,,,269995.0,66681.0,336676.0,,,,,13000.0,22458.0,57.8847058823529,,,,
1998-0381-CUB,1998,381,,Natural,Meteorological,Storm,Tropical cyclone,,Georges,Cuba,CUB,Caribbean,Americas,"Guantanamo, Tunas, Holguin, Santigo de Cuba, Camaguëy, Villa Claran Cienfuegos, Sancti Spiritu, Ciego de Avila, Matanzas",,,,,No,No,,210.0,Kph,,,,,1998,9.0,22.0,1998,9.0,22.0,6.0,,147000.0,,147000.0,,,10000.0,16623.0,2000000.0,3324611.0,60.1574108900066,,,,
1999-0400-CUB,1999,400,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Irene""",Cuba,CUB,Caribbean,Americas,"Havana, Cienfuegos, Isla De La Juventud, Pinar Del Rio, Sancti Spiritus, Villa Clara, Mantanzas",,,,,No,No,,120.0,Kph,,,,,1999,10.0,14.0,1999,10.0,14.0,4.0,,228067.0,26923.0,254990.0,,,,,,,61.473667176908,,,,
2001-0612-CUB,2001,612,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Michelle,Cuba,CUB,Caribbean,Americas,"Matanzas, Cienfuegos, Villa Clara, Sancti Spiritus, Isla de la Juventud, Pinar del Rio, Ciudad De La Habana, Ciego de Avila provinces",,,,,,,,250.0,Kph,,,,,2001,11.0,4.0,2001,11.0,4.0,5.0,12.0,5900000.0,,5900012.0,,,20000.0,30607.0,100000.0,153033.0,65.345558714192,1,1010;1011;1012;1016;1019;1020;1021;1023,,"Ciego De Avila, Cienfuegos, Ciudad De La Habana, Isla De La Juventud, Matanzas, Pinar Del Rio, Sancti Spiritus, Villa Clara (Adm1)."
2002-0604-CUB,2002,604,,Natural,Meteorological,Storm,Tropical cyclone,,Isidore,Cuba,CUB,Caribbean,Americas,"Isla De La Juventud, Pinar del Rio provinces",,,,,,,,165.0,Kph,,,,,2002,9.0,18.0,2002,9.0,18.0,,,42500.0,,42500.0,,,1000.0,1506.0,23000.0,34648.0,66.3819636999782,1,1016;1020,,"Isla De La Juventud, Pinar Del Rio (Adm1)."
2002-0636-CUB,2002,636,,Natural,Meteorological,Storm,Tropical cyclone,,Lili,Cuba,CUB,Caribbean,Americas,"Sandino, San Juan y Martinez, Mantua, Guane districts (Pinar del Rio province), Isla dela Juventud province, Batabano, Guira de Melena, Nueva Paz, San Nicolas, Melena del Sur, Quivican districts (La Habana province), Sancti Spiritus, La Sierpe, Fomento, Taguasco, Trinidad, Jatibonico districts (Sancti Spiritu province), Rodas, Aguada De Pasajeros, Cumanayagua districts (Cienfuegos province), Guantanamo, Maisi, Baracoa, Manuel Tames districts (Guantanamo province), Guama, Tercer Frente, Palma Soriano, Santiago de Cuba districts (Santiago de Cuba province), Niquero, Media Luna, Cauto Cristo, Pilon districts (Granma province)",,,,,,,,173.0,Kph,,,,,2002,10.0,1.0,2002,10.0,1.0,3.0,,281470.0,,281470.0,,,1000.0,1506.0,23000.0,34648.0,66.3819636999782,1;2,1016,14595;14598;14601;14620;14624;14625;14628;14633;14634;14724;14730;14734;14735;14736;14739;14766;14769;14773;14774;14777;14778;14779;14780;14781;14782;14785;14787;14789;14792;40773,"Isla De La Juventud (Adm1). Aguada De Pasajeros, Baracoa, Batabano, Cauto Cristo, Cumanayagua, Fomento, Guama, Guane, Guantanamo, Guira De Melena, Jatibonico, Maisi, Mantua, Manuel Tames, Media Luna, Melena Del Sur, Nueva Paz, Palma Soriano, Pilon, Quivican, Rodas, San Juan Y Martinez, San Nicolas, Sancti Spiritus, Sandino, Santiago De Cuba, Taguasco, Tercer Frente, Trinidad, Venezuela (Adm2)."
2004-0415-CUB,2004,415,,Natural,Meteorological,Storm,Tropical cyclone,,Charley,Cuba,CUB,Caribbean,Americas,"La Habana, Pinar del Rio, Cienfuegos, Ciudad De La Habana, Isla De La Juventud provinces",,,,,,,120.0,220.0,Kph,,,,,2004,8.0,14.0,2004,8.0,14.0,4.0,5.0,202500.0,41500.0,244005.0,,,,,1000000.0,1434588.0,69.7064421605073,1,1011;1012;1016;1017;1020,,"Cienfuegos, Ciudad De La Habana, Isla De La Juventud, La Habana, Pinar Del Rio (Adm1)."
2004-0462-CUB,2004,462,,Natural,Meteorological,Storm,Tropical cyclone,,Ivan,Cuba,CUB,Caribbean,Americas,"Pinar del Rio, La Habana, Ciudad De La Habana, Matanzas, Villa Clara, Cienfuegos, Sancti Spiritus, Isla de la Juventud, Ciego de Avila, Santiago de Cuba provinces",,"Slide (land, mud, snow, rock)",Surge,,,,1703.0,,Kph,,,,,2004,9.0,13.0,2004,9.0,14.0,,,3245.0,,3245.0,,,,,200000.0,286918.0,69.7064421605073,1,1010;1011;1012;1016;1017;1019;1020;1021;1022;1023,,"Ciego De Avila, Cienfuegos, Ciudad De La Habana, Isla De La Juventud, La Habana, Matanzas, Pinar Del Rio, Sancti Spiritus, Santiago De Cuba, Villa Clara (Adm1)."
2005-0351-CUB,2005,351,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Dennis""",Cuba,CUB,Caribbean,Americas,"Cienfuegos, La Habana, Ciudad de la Habana, Matanzas, Sancti Spiritus, Ciego de Avila, Camaguey, Santiago de Cuba, Granma, Las Tunas, Guatanamo provinces",,"Slide (land, mud, snow, rock)",Flood,Yes,,,,235.0,Kph,,,,,2005,7.0,8.0,2005,7.0,9.0,16.0,,2500000.0,,2500000.0,,,5000.0,6938.0,1400000.0,1942518.0,72.0714104526569,1,1009;1010;1011;1012;1013;1014;1017;1018;1019;1021;1022,,"Camaguey, Ciego De Avila, Cienfuegos, Ciudad De La Habana, Granma, Guantanamo, La Habana, Las Tunas, Matanzas, Sancti Spiritus, Santiago De Cuba (Adm1)."
2005-0585-CUB,2005,585,,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Wilma""",Cuba,CUB,Caribbean,Americas,"Santiago de Cuba, Granma, Guantanamo, Matanzas, Sancti Spiritus, Villa Clara, Cienfuegos, Havana, Ciudad Havana, Pinar del Rio, Isla De La Juventud provinces",,Flood,"Slide (land, mud, snow, rock)",Yes,,,,,Kph,,,,,2005,10.0,19.0,2005,10.0,24.0,4.0,,100000.0,,100000.0,,,,,700000.0,971259.0,72.0714104526569,1,1011;1012;1013;1014;1016;1017;1019;1020;1021;1022;1023,,"Cienfuegos, Ciudad De La Habana, Granma, Guantanamo, Isla De La Juventud, La Habana, Matanzas, Pinar Del Rio, Sancti Spiritus, Santiago De Cuba, Villa Clara (Adm1)."
2006-0272-CUB,2006,272,,Natural,Meteorological,Storm,Tropical cyclone,,Alberto,Cuba,CUB,Caribbean,Americas,Nueva Paz district (La Habana province),,Flood,,,,,,75.0,Kph,,,,,2006,6.0,11.0,2006,6.0,11.0,,8.0,260.0,,268.0,,,,,,,74.3963874917997,2,,14735,Nueva Paz (Adm2).
2007-0360-CUB,2007,360,TC-2007-000135,Natural,Meteorological,Storm,Tropical cyclone,,Dean,Cuba,CUB,Caribbean,Americas,"Pinar del Rio, La Habana, Isla de la Juventud provinces",,Flood,Surge,,,,,240.0,Kph,,,,,2007,8.0,20.0,2007,8.0,20.0,,,,,,,,,,,,76.5186792040236,1,1016;1017;1020,,"Isla De La Juventud, La Habana, Pinar Del Rio (Adm1)."
