Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1996-0499-CZE,1996,499,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Bruntal, Lichnov (North Moravia",Heavy rain,,,,No,No,,9860.0,Km2,,,,"Vitava, Berounka, Elbe",1996,5.0,10.0,1996,5.0,14.0,1.0,,60.0,,60.0,,,,,36000.0,62193.0,57.8847058823529,,,,
1997-0142-CZE,1997,142,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Moravia, Bohemia regions",Heavy rain,,,Yes,No,No,5046.0,34990.0,Km2,,,,,1997,7.0,2.0,1997,7.0,24.0,29.0,2409.0,87725.0,11973.0,102107.0,,,310000.0,523314.0,1850000.0,3123002.0,59.2378657336541,,,,
1998-0224-CZE,1998,224,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,,,,,,No,No,,,Km2,,,,,1998,7.0,23.0,1998,7.0,27.0,6.0,,,,,,,18000.0,29922.0,52000.0,86440.0,60.1574108900066,,,,
2000-0167-CZE,2000,167,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Stredocesky,Praha provinces (Center), Jihocesky, Severocesky, Zapadocesky provinces (West)",,,,,,,,,Km2,,,,,2000,3.0,8.0,2000,3.0,13.0,,,,,,,,55000.0,86547.0,80000.0,125886.0,63.5495473431008,1,1030;1032;1033;1035;1037,,"Jihocesky, Praha, Severocesky, Stredocesky, Zapadocesky (Adm1)."
2002-0479-CZE,2002,479,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Prague city (praha district, praha province), Plzen city (Plzen-mesto district, Zapadocesky province), Karlsbad city (Karlovy Vary district, Zapadocesky province); Mlada Boleslav, Melnik, Kladno, Rakovnik, Beroun, Praha-vychod, Pribram, Benesov, Kutna Hora, Kolin, Nymburk districts (Stredocesky province), Praha-zapad district (Praha province), Tabor, Jindrichuv Hradec, Ceske Budejovice, Cesky Krumlov, Prachatice, Starkonice, Pisek districts (Jihocesky province), Usti nad Labem district (Severocesky province), Usti nad Orlici district (Vychodocesky province)",Heavy rain,,,,,,8207.0,8000.0,Km2,,,,"Vltava, Blanice, Malse, Berounka, Slavkovsky, Uhlava, Luznice, Otava, Labe, Sazava",2002,8.0,7.0,2002,8.0,28.0,18.0,,200000.0,,200000.0,,,1200000.0,1807720.0,2400000.0,3615440.0,66.3819636999782,2,,14812;14813;14814;14816;14817;14818;14819;14834;14835;14845;14857;14858;14859;14860;14861;14862;14863;14864;14865;14866;14867;14878;14881;14884,"Benesov, Beroun, Ceske Budejovice, Cesky Krumlov, Jindrichuv Hradec, Karlovy Vary, Kladno, Kolin, Kutna Hora, Melnik, Mlada Boleslav, Nymburk, Pisek, Plzen-mesto, Prachatice, Praha, Praha-vychod, Praha-zapad, Pribram, Rakovnik, Starkonice, Tabor, Usti nad Labem, Usti nad Orlici (Adm2)."
2005-0131-CZE,2005,131,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Blansko, Vyskov, Hodonin, Breclav, Znojmo, Brno-Venkov, Brno-mesto districts (Jihomoravsky province) (South Moravian region)",Heavy rains and melting snow,,,,,,,,Km2,,,,Sazava river,2005,3.0,17.0,2005,3.0,25.0,1.0,,,,,,,,,,,72.0714104526569,2,,14820;14821;14822;14823;14824;14830;14833,"Blansko, Breclav, Brno-mesto, Brno-venkov, Hodonin, Vyskov, Znojmo (Adm2)."
2006-0156-CZE,2006,156,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Ostrava-mesto, Olomouc districts (Severomoravsky province), Usti nad Labem, Decin districts (Severocesky province), Praha district (Praha province); Theresienstadt/Terezin village (Litomence district, Severocesky province); Vestec municipality (Praha-zapad district, praha province); Znojmo, Hodonin, districts (Jihomoravsky province), Novosedly village (Breclav district, Jihomoravsky province), Bonov village (Trebic district, Jihomoravsky province); Melnik district (Stredocesky province)",Rains and snowmelt,Broken Dam/Burst bank,,Yes,,Yes,,,Km2,49.86,16.09,,"Vitava, Labe/Elbe, Dyje, Morava, Jihlava, Luznice, Oskava, Jevisovka, Svatava",2006,3.0,28.0,2006,4.0,17.0,6.0,,4200.0,,4200.0,,,,,,,74.3963874917997,2,,14821;14824;14828;14833;14834;14835;14838;14841;14845;14851;14853;14862,"Breclav, Decin, Hodonin, Litomence, Melnik, Olomouc, Ostrava-mesto, Praha, Praha-zapad, Trebic, Usti nad Labem, Znojmo (Adm2)."
2006-0349-CZE,2006,349,,Natural,Hydrological,Flood,,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Vranov-nad-Dyji city (Znojmo district, Jihomoravsky province)",,,,,,,,,Km2,,,,Dyje,2006,6.0,30.0,2006,6.0,30.0,,,115.0,,115.0,,,,,,,74.3963874917997,2,,14833,Znojmo (Adm2).
2009-0228-CZE,2009,228,FL-2009-000121,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Opava, Bruntal, Novy Jicin, Frydek-Mistek, Ostrava-mesto, Karvina districts (Moravia-Silesia region, Severomoravsky province), Jesenik, Sumperk, Olomouc, Prostejov, Prerov districts (Olomouc region, Severomoravsky and Jihomoravsky provinces); South Bohemia region (Jihocesky province)",Heavy rain,,,,,Yes,,,Km2,50.13,18.03,,,2009,6.0,22.0,2009,6.0,28.0,13.0,,14450.0,,14450.0,,,,,150000.0,189457.0,79.1738027553029,1;2,1030,14827;14846;14847;14848;14849;14850;14851;14852;14853;14854;14855,"Jihocesky (Adm1). Bruntal, Frydek-Mistek, Jesenik, Karvina, Novy Jicin, Olomouc, Opava, Ostrava-mesto, Prerov, Prostejov, Sumperk (Adm2)."
2010-0193-CZE,2010,193,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Opava, Bruntal, Novy Jicin, Frydek-Mistek, Ostrava-mesto, Karvina districts (Moravia-Silesia region, Severomravsky province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,Becva river,2010,5.0,15.0,2010,5.0,26.0,1.0,,1200.0,,1200.0,,,,,190000.0,236106.0,80.472285151979,2,,14846;14847;14849;14850;14852;14853,"Bruntal, Frydek-Mistek, Karvina, Novy Jicin, Opava, Ostrava-mesto (Adm2)."
2010-0217-CZE,2010,217,,Natural,Hydrological,Flood,Riverine flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky, Vychodocesky, Zapadocesky provinces",,,,,,,,,Km2,,,,,2010,6.0,1.0,2010,6.0,1.0,3.0,,,,,,,,,,,80.472285151979,1,1030;1031;1032;1033;1034;1035;1036;1037,,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky, Vychodocesky, Zapadocesky (Adm1)."
2010-0380-CZE,2010,380,,Natural,Hydrological,Flood,Flash flood,,,Czech Republic (the),CZE,Eastern Europe,Europe,Liberec district (Severocesky province),,Flood,,,,,,,Km2,,,,,2010,8.0,7.0,2010,8.0,8.0,7.0,,200.0,,200.0,,,,,157560.0,195794.0,80.472285151979,2,,14840,Liberec (Adm2).
