Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2002-0678-CZE,2002,678,,Natural,Meteorological,Storm,Extra-tropical storm,,Jeannet,Czech Republic (the),CZE,Eastern Europe,Europe,"Zapadocesky, Severocesky, Stredocesky, Jihocesky, Jihomoravsky, Praha, Severomoravsky, Vychodocesky provinces",,,,,,,,,Kph,,,,,2002,10.0,26.0,2002,10.0,28.0,2.0,,,,,,,10000.0,15064.0,20000.0,30129.0,66.3819636999782,1,1030;1031;1032;1033;1034;1035;1036;1037,,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky, Vychodocesky, Zapadocesky (Adm1)."
2007-0019-CZE,2007,19,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,Czech Republic (the),CZE,Eastern Europe,Europe,"Zapadocesky, Severocesky, Stredocesky, Jihocesky, Jihomoravsky, Praha, Severomoravsky, Vychodocesky provinces (All country)",,,,,,,,216.0,Kph,,,,,2007,1.0,18.0,2007,1.0,18.0,4.0,,,,,,,35000.0,45740.0,150000.0,196031.0,76.5186792040236,1,1030;1031;1032;1033;1034;1035;1036;1037,,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky, Vychodocesky, Zapadocesky (Adm1)."
2008-0082-CZE,2008,82,,Natural,Meteorological,Storm,Extra-tropical storm,,Emma,Czech Republic (the),CZE,Eastern Europe,Europe,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky (Libeznice city, Praha-vychod district), Vychodocesky, Zapadocesky provinces",,,,,,Yes,,150.0,Kph,,,,,2008,2.0,29.0,2008,3.0,2.0,2.0,,,,,,,6000.0,7551.0,50000.0,62928.0,79.4563043953641,1,1030;1031;1032;1033;1034;1035;1036;1037,,"Jihocesky, Jihomoravsky, Praha, Severocesky, Severomoravsky, Stredocesky, Vychodocesky, Zapadocesky (Adm1)."
2009-0273-CZE,2009,273,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Czech Republic (the),CZE,Eastern Europe,Europe,"Hradek nad Nisou city (Liberec district, Severocesky province)",,,,,,,,,Kph,,,,,2009,7.0,23.0,2009,7.0,24.0,2.0,12.0,,,12.0,,,,,,,79.1738027553029,2,,14840,Liberec (Adm2).
2017-0341-CZE,2017,341,,Natural,Meteorological,Storm,Convective storm,Derecho,,Czech Republic (the),CZE,Eastern Europe,Europe,"Northern, Southern and Central Moravia, eastern Bohemia (Kromeriz, Bohuslavice)",,,,,,,,,Kph,,,,,2017,8.0,10.0,2017,8.0,11.0,,,,,,,,,,2900.0,3206.0,90.4601793133611,1,1031;1034;1036,,"Jihomoravsky, Severomoravsky, Vychodocesky (Adm1)."
2020-0051-CZE,2020,51,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Ciara' (Sabine),Czech Republic (the),CZE,Eastern Europe,Europe,"Prague; Vyso?ina (Centre), Plze? (Bohême de l’Ouest)",,,,,,,,,Kph,,,,,2020,2.0,7.0,2020,2.0,8.0,1.0,5.0,,,5.0,,,,,,,95.5129674174503,1,1031;1032;1036;1037,,"Jihomoravsky, Praha, Vychodocesky, Zapadocesky (Adm1)."
2021-0351-CZE,2021,351,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Czech Republic (the),CZE,Eastern Europe,Europe,"Hodonin, Mikulcice, Moravska Nova Ves, Hrusky, Breclav, Tvrdonice, Luzice (South Moravian Region)",,Lightening,Hail,,,,,,Kph,,,,,2021,6.0,24.0,2021,6.0,25.0,6.0,213.0,3600.0,,3813.0,,,,,701000.0,701000.0,100.0,2,,14821;14824,"Breclav, Hodonin (Adm2)."
2021-0687-CZE,2021,687,,Natural,Meteorological,Storm,Convective storm,,Storm 'Aurore' (Hendrick),Czech Republic (the),CZE,Eastern Europe,Europe,"Ústí nad Labem, Plzen, Prague (Central and Western Bohemia)",,,,,,,,,Kph,,,,,2021,10.0,21.0,2021,10.0,22.0,,2.0,,,2.0,,,,,,,100.0,1;2,1032,14845;14883;14884;14885,"Praha (Adm1). Plzen-jih, Plzen-mesto, Plzen-sever, Usti nad Labem (Adm2)."
2022-0081-CZE,2022,81,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),Czech Republic (the),CZE,Eastern Europe,Europe,,,,,,,,,,Kph,,,,,2022,1.0,28.0,2022,1.0,31.0,1.0,,,,,,,,,,,,,,,
2022-0097-CZE,2022,97,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Dudley' (Ylenia),Czech Republic (the),CZE,Eastern Europe,Europe,Sn?žka,,,,,,,,181.0,Kph,,,,,2022,2.0,16.0,2022,2.0,17.0,,3.0,,,3.0,,,,,,,,,,,
