Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2007-0428-CIV,2007,428,FL-2007-000130,Natural,Hydrological,Flood,Riverine flood,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Agboville city (Agneby-Tiassa district, Lagunes province)",Heavy rain,,,,,,,,Km2,,,,,2007,7.0,27.0,2007,7.0,27.0,,,2000.0,,2000.0,,,,,,,76.5186792040236,2,,16846,Agneby-Tiassa (Adm2).
2008-0349-CIV,2008,349,,Natural,Hydrological,Flood,Riverine flood,,,Côte d’Ivoire,CIV,Western Africa,Africa,Abidjan district (District autonome de Abidjan province),,,,,,,,,Km2,,,,,2008,7.0,3.0,2008,7.0,3.0,6.0,,450.0,,450.0,,,,,,,79.4563043953641,2,,14911,Abidjan (Adm2).
2010-0255-CIV,2010,255,FL-2010-000118,Natural,Hydrological,Flood,Riverine flood,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Bondoukou town (Gontougo district, Zanzan province), Abidjan district (District autonome de Abidjan province)",Heavy Rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2010,6.0,24.0,2010,6.0,27.0,8.0,,,,,,,,,,,80.472285151979,2,,14911;16853,"Abidjan, Gontougo (Adm2)."
2014-0536-CIV,2014,536,,Natural,Hydrological,Flood,Riverine flood,,,Côte d’Ivoire,CIV,Western Africa,Africa,Abidjan district (District autonome de Abidjan province),,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2014,6.0,2.0,2014,6.0,7.0,23.0,,,,,,,,,,,87.3662978351193,2,,14911,Abidjan (Adm2).
2014-0237-CIV,2014,237,,Natural,Hydrological,Flood,Riverine flood,,,Côte d’Ivoire,CIV,Western Africa,Africa,Abidjan district (District autonome de Abidjan province),Heavy rains,"Slide (land, mud, snow, rock)",,,,Yes,,,Km2,,,,,2014,6.0,19.0,2014,7.0,11.0,23.0,,,,,,,,,,,87.3662978351193,2,,14911,Abidjan (Adm2).
2015-0231-CIV,2015,231,,Natural,Hydrological,Flood,Riverine flood,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Attecoube, Adjame areas (Abidjan district, District autonome de Abidjan province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2015,6.0,7.0,2015,6.0,21.0,16.0,,,,,,,,,,,87.4699322108025,2,,14911,Abidjan (Adm2).
2016-0352-CIV,2016,352,,Natural,Hydrological,Flood,,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Danané region (Tonkpi district, Montagnes province)",Heavy rains,,,,,,,,Km2,,,,Cavally,2016,9.0,28.0,2016,9.0,28.0,20.0,,,,,,,,,,,88.573452875574,2,,16867,Tonkpi (Adm2).
2017-0184-CIV,2017,184,,Natural,Hydrological,Flood,Riverine flood,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Abidjan (Abobo, Koumassi, Yopougon), San Pedro, Pont-Brimé village",,Storm,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2017,6.0,10.0,2017,6.0,21.0,15.0,25.0,200.0,,225.0,,,,,,,90.4601793133611,2,,14911;16865,"Abidjan, San-pedro (Adm2)."
2018-0185-CIV,2018,185,FL-2018-000077,Natural,Hydrological,Flood,,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Abobo, Adjamé, Attécoubé, Cocody, Kumasi, Yopougon districts (Abidjan); Tiassalé, Toulepleu, San Pedro",Torrential rains,,,,,,,,Km2,,,,,2018,6.0,18.0,2018,6.0,19.0,20.0,,25000.0,,25000.0,,,,,,,92.6696698010059,1,16838,,District autonome de Abidjan (Adm1).
2019-0514-CIV,2019,514,,Natural,Hydrological,Flood,,,FL-2019-000131,Côte d’Ivoire,CIV,Western Africa,Africa,"Aboisso, Alépé, Grand Bassam, Ayamé, Man, Bonoua, Agboville, Ono and Adiaké (Abidjan)",,Storm,,,,,,,Km2,,,,,2019,10.0,11.0,2019,10.0,13.0,12.0,32.0,14002.0,612.0,14646.0,,,,,,,94.3490924994534,1,16838,,District autonome de Abidjan (Adm1).
2020-0259-CIV,2020,259,,Natural,Hydrological,Flood,,,FL-2020-000154,Côte d’Ivoire,CIV,Western Africa,Africa,"Abobo, Adjamé, Anyama, Cocody, Port-Bouet ,Yopougon (Abidjan area); San-Pedro,Alépé (Me Region), Divo(Lôh-Djiboua), Azaguié (Agneby-Tiassa), Niakaramadougou (Vallée du Bandama),Tabou (Bas-Sassandra)",Torrential rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2020,6.0,15.0,2020,6.0,17.0,24.0,32.0,16525.0,2100.0,18657.0,,,,,,,95.5129674174503,1;2,1051;16838,16846;16861;16863;16865,"District autonome de Abidjan, Vallee Du Bandama (Adm1). Agneby-Tiassa, L??h-Djiboua, Me, San-pedro (Adm2)."
2022-0347-CIV,2022,347,FL-2022-000249,Natural,Hydrological,Flood,,,,Côte d’Ivoire,CIV,Western Africa,Africa,"Abobo, Anyama, Attecoubé, Bingerville, Port-Bouët, Grand-Bassam (Abidjan); Azaguié, Bonoua, Dabo; B Alépé, Azaguié, Bonoua, Dabou,",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2022,6.0,16.0,2022,6.0,21.0,13.0,114.0,11478.0,,11592.0,,,,,,,,1,16838,,District autonome de Abidjan (Adm1).
