Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1976-0173-DNK,1976,173,,Natural,Meteorological,Storm,,,Capella,Denmark,DNK,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1976,1.0,2.0,1976,1.0,4.0,,,,,,,,,,,,21.0017319046578,,,,
1980-0234-DNK,1980,234,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Denmark,DNK,Northern Europe,Europe,N-W Jutland,,,,,,,,,Kph,,,,,1980,12.0,24.0,1980,12.0,24.0,,,,,,,,,,,,30.4123857424011,,,,
1981-0095-DNK,1981,95,,Natural,Meteorological,Storm,,,,Denmark,DNK,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1981,11.0,24.0,1981,11.0,25.0,9.0,,,,,,,,,250000.0,745036.0,33.5554165755522,,,,
1983-0340-DNK,1983,340,,Natural,Meteorological,Storm,,,,Denmark,DNK,Northern Europe,Europe,Copenhagen and surrondings areas + North Jutland,,,,,,,,,Kph,,,,,1983,1.0,18.0,1983,1.0,18.0,2.0,,,,,,,,,,,36.7568773234201,,,,
1990-0717-DNK,1990,717,,Natural,Meteorological,Storm,,,Daria,Denmark,DNK,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,1.0,25.0,1990,1.0,26.0,,,,,,,,60000.0,124433.0,120000.0,248866.0,48.2187972884321,,,,
1990-0722-DNK,1990,722,,Natural,Meteorological,Storm,,,Vivian,Denmark,DNK,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,25.0,1990,2.0,27.0,,,,,,,,30000.0,62216.0,60000.0,124433.0,48.2187972884321,,,,
1990-0723-DNK,1990,723,,Natural,Meteorological,Storm,,,Wiebke,Denmark,DNK,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2.0,28.0,1990,3.0,1.0,1.0,,,,,,,,,10000.0,20739.0,48.2187972884321,,,,
1999-0590-DNK,1999,590,,Natural,Meteorological,Storm,Extra-tropical storm,,Anatol,Denmark,DNK,Northern Europe,Europe,,,,,,No,No,,177.0,Kph,,,,,1999,12.0,3.0,1999,12.0,5.0,7.0,,,,,,,2100000.0,3416097.0,2604939.0,4237488.0,61.473667176908,,,,
2002-0681-DNK,2002,681,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Denmark,DNK,Northern Europe,Europe,Varde district (Ribe province),,,,,,,,,Kph,,,,,2002,10.0,27.0,2002,10.0,27.0,1.0,,,,,,,,,,,66.3819636999782,2,,15114,Varde (Adm2).
2005-0011-DNK,2005,11,,Natural,Meteorological,Storm,Extra-tropical storm,,Erwin,Denmark,DNK,Northern Europe,Europe,"Aarhus, Bornholm, Frederiksberg, Fyn, Nordjylland, Ribe, Ringkoebing, Soenderjylland, Storstroem, Vejle, Vestsjaelland, Viborg, Frederiksborg, Koebenhavn, Roskilde province",,Transport accident,,,,,,151.0,Kph,,,,,2005,1.0,7.0,2005,1.0,9.0,4.0,,,,,,,900000.0,1248761.0,1300000.0,1803767.0,72.0714104526569,1,1077;1078;1079;1081;1083;1084;1085;1087;1088;1090;1091;1092;40856;40857;40858,,"Aarhus, Bornholm, Frederiksberg, Frederiksborg, Fyn, Koebenhavn, Nordjylland, Ribe, Ringkoebing, Roskilde, Soenderjylland, Storstroem, Vejle, Vestsjaelland, Viborg (Adm1)."
2007-0019-DNK,2007,19,,Natural,Meteorological,Storm,Extra-tropical storm,,Kyrill,Denmark,DNK,Northern Europe,Europe,"Aarhus, Bornholm, Frederiksberg, Fyn, Nordjylland, Ribe, Ringkoebing, Soenderjylland, Storstroem, Vejle, Vestsjaelland, Viborg, Frederiksborg, Koebenhavn, Roskilde province",,,,,,,,,Kph,,,,,2007,1.0,17.0,2007,1.0,19.0,,,,,,,,,,100000.0,130687.0,76.5186792040236,1,1077;1078;1079;1081;1083;1084;1085;1087;1088;1090;1091;1092;40856;40857;40858,,"Aarhus, Bornholm, Frederiksberg, Frederiksborg, Fyn, Koebenhavn, Nordjylland, Ribe, Ringkoebing, Roskilde, Soenderjylland, Storstroem, Vejle, Vestsjaelland, Viborg (Adm1)."
2010-0652-DNK,2010,652,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Denmark,DNK,Northern Europe,Europe,"Bornholm Island (Bornholm district, Bornholm province)",,,,,,,,,Kph,,,,,2010,12.0,23.0,2010,12.0,28.0,,,,,,,,,,,,80.472285151979,2,,40855,Bornholm (Adm2).
2013-0398-DNK,2013,398,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Christian,Denmark,DNK,Northern Europe,Europe,"Aarhus, Bornholm, Frederiksberg, Fyn, Nordjylland, Ribe, Ringkoebing, Soenderjylland, Storstroem, Vejle, Vestsjaelland, Viborg, Frederiksborg, Koebenhavn, Roskilde provinces",,,,,,,,195.0,Kph,,,,,2013,10.0,27.0,2013,10.0,28.0,1.0,,,,,,,,,,,85.9716422479773,1,1077;1078;1079;1081;1083;1084;1085;1087;1088;1090;1091;1092;40856;40857;40858,,"Aarhus, Bornholm, Frederiksberg, Frederiksborg, Fyn, Koebenhavn, Nordjylland, Ribe, Ringkoebing, Roskilde, Soenderjylland, Storstroem, Vejle, Vestsjaelland, Viborg (Adm1)."
2013-0517-DNK,2013,517,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm Xaver,Denmark,DNK,Northern Europe,Europe,"Aarhus, Bornholm, Frederiksberg, Fyn, Nordjylland, Ribe, Ringkoebing, Soenderjylland, Storstroem, Vejle, Vestsjaelland, Viborg, Frederiksborg, Koebenhavn, Roskilde provinces",,,,,,,,,Kph,,,,,2013,12.0,7.0,2013,12.0,7.0,1.0,,,,,,,,,,,85.9716422479773,1,1077;1078;1079;1081;1083;1084;1085;1087;1088;1090;1091;1092;40856;40857;40858,,"Aarhus, Bornholm, Frederiksberg, Frederiksborg, Fyn, Koebenhavn, Nordjylland, Ribe, Ringkoebing, Roskilde, Soenderjylland, Storstroem, Vejle, Vestsjaelland, Viborg (Adm1)."
2022-0081-DNK,2022,81,,Natural,Meteorological,Storm,Extra-tropical storm,,Storm 'Malik' (Nadia),Denmark,DNK,Northern Europe,Europe,,,Surge,,,,,,,Kph,,,,,2022,1.0,28.0,2022,1.0,31.0,1.0,3.0,,,3.0,,,,,,,,,,,
