Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1930-0024-DMA,1930,24,,Natural,Meteorological,Storm,Tropical cyclone,,,Dominica,DMA,Caribbean,Americas,San Zenon,,,,,,,,,Kph,,,,,1930,9.0,3.0,1930,9.0,3.0,2000.0,,,,,,,,,,,6.1787985443093,,,,
1963-0020-DMA,1963,20,,Natural,Meteorological,Storm,Tropical cyclone,,Edith,Dominica,DMA,Caribbean,Americas,,,,,,,,,,Kph,,,,,1963,9.0,25.0,1963,9.0,25.0,,,,,,,,,,2600.0,23005.0,11.3019986879511,,,,
1970-0120-DMA,1970,120,,Natural,Meteorological,Storm,Tropical cyclone,,,Dominica,DMA,Caribbean,Americas,,,,,,,,,,Kph,,,,,1970,8.0,20.0,1970,8.0,20.0,,,,,,,,,,,,14.3281696916685,,,,
1979-0069-DMA,1979,69,,Natural,Meteorological,Storm,Tropical cyclone,,David & Federick,Dominica,DMA,Caribbean,Americas,Countrywide,,,,Yes,No,No,,,Kph,,,,,1979,8.0,29.0,1979,9.0,6.0,40.0,2100.0,70000.0,,72100.0,,,,,44650.0,166707.0,26.7834419418325,,,,
1980-0230-DMA,1980,230,,Natural,Meteorological,Storm,Tropical cyclone,,Allen,Dominica,DMA,Caribbean,Americas,,,,,,,,,270.0,Kph,,,,,1980,8.0,4.0,1980,8.0,4.0,,,,,,,,,,,,30.4123857424011,,,,
1984-0092-DMA,1984,92,,Natural,Meteorological,Storm,Tropical cyclone,,Klaus,Dominica,DMA,Caribbean,Americas,,,,,,,,,,Kph,,,,,1984,10.0,9.0,1984,10.0,9.0,2.0,,10000.0,,10000.0,,,,,2000.0,5217.0,38.3376251913405,,,,
1989-0115-DMA,1989,115,,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,Dominica,DMA,Caribbean,Americas,,,,,Yes,No,No,,,Kph,,,,,1989,9.0,17.0,1989,9.0,17.0,,,710.0,,710.0,,,,,20000.0,43717.0,45.749276186311,,,,
1995-0211-DMA,1995,211,,Natural,Meteorological,Storm,Tropical cyclone,,Luis,Dominica,DMA,Caribbean,Americas,,,,,,Yes,No,,220.0,Kph,,,,,1995,9.0,3.0,1995,9.0,7.0,2.0,1.0,,5000.0,5001.0,65000.0,115584.0,,,20000.0,35564.0,56.2363000218675,,,,
1995-0208-DMA,1995,208,,Natural,Meteorological,Storm,Tropical cyclone,,Marilyn,Dominica,DMA,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1995,9.0,14.0,1995,9.0,19.0,,,,,,,,,,175000.0,311187.0,56.2363000218675,,,,
1999-0615-DMA,1999,615,,Natural,Meteorological,Storm,Tropical cyclone,,Lenny,Dominica,DMA,Caribbean,Americas,,,,,,No,No,,215.0,Kph,,,,,1999,11.0,17.0,1999,11.0,19.0,,,400.0,315.0,715.0,,,,,,,61.473667176908,,,,
