Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1979-0042-DOM,1979,42,,Natural,Hydrological,Flood,,,,Dominican Republic (the),DOM,Caribbean,Americas,"North, Northeast",,,,,,,,,Km2,,,,,1979,4.0,27.0,1979,4.0,27.0,32.0,,1000.0,,1000.0,,,,,,,26.7834419418325,,,,
1985-0014-DOM,1985,14,,Natural,Hydrological,Flood,Riverine flood,,,Dominican Republic (the),DOM,Caribbean,Americas,,,,,,,,,7760.0,Km2,,,,,1985,9.0,14.0,1985,9.0,14.0,12.0,,895.0,,895.0,,,,,,,39.696934178876,,,,
1988-0385-DOM,1988,385,,Natural,Hydrological,Flood,,,,Dominican Republic (the),DOM,Caribbean,Americas,"North, South-East",,,,Yes,,,,,Km2,,,,,1988,8.0,24.0,1988,8.0,24.0,,,1191150.0,,1191150.0,,,,,,,43.6426415919528,,,,
1991-0143-DOM,1991,143,,Natural,Hydrological,Flood,,,,Dominican Republic (the),DOM,Caribbean,Americas,San Pedro de Macoris,,,,,,,,,Km2,,,,,1991,4.0,22.0,1991,4.0,22.0,10.0,,,,,,,,,,,50.2608528318391,,,,
1993-0161-DOM,1993,161,,Natural,Hydrological,Flood,Riverine flood,,,Dominican Republic (the),DOM,Caribbean,Americas,N.Cent. Cibao Valley,,,,,,,,,Km2,,,,,1993,5.0,21.0,1993,5.0,21.0,12.0,,20000.0,,20000.0,,,,,,,53.3116203804942,,,,
1996-0273-DOM,1996,273,,Natural,Hydrological,Flood,,,,Dominican Republic (the),DOM,Caribbean,Americas,Santiago City,,,,,,,,,Km2,,,,,1996,10.0,22.0,1996,10.0,22.0,3.0,,,1000.0,1000.0,,,,,,,57.8847058823529,,,,
2002-0840-DOM,2002,840,,Natural,Hydrological,Flood,,,,Dominican Republic (the),DOM,Caribbean,Americas,San Pedro de Macoris district (San Pedro de Macoris province),,,,,,,,,Km2,,,,,2002,5.0,24.0,2002,6.0,7.0,3.0,,1750.0,,1750.0,,,,,500.0,753.0,66.3819636999782,2,,36995,San Pedro de Macor? (Adm2).
2003-0238-DOM,2003,238,,Natural,Hydrological,Flood,Riverine flood,,,Dominican Republic (the),DOM,Caribbean,Americas,Maria Trinidad Sanches province,Heavy rains,,,,,,,,Km2,,,,Nagua,2003,4.0,16.0,2003,4.0,22.0,1.0,,460.0,,460.0,,,,,2100.0,3093.0,67.8888956921058,1,1121,,Maria Trinidad Sanches (Adm1).
2003-0571-DOM,2003,571,,Natural,Hydrological,Flood,Coastal flood,,,Dominican Republic (the),DOM,Caribbean,Americas,"Dajabon, Duarte, Espaillat, La Vega, Maria Trinidad Sanches, Mensenor Nouel, Monte Cristi, Puerto Plata, Samana, Salcedo, Sanchez Ramirez, Santiago, Santiago Rodriguez, Valverde provinces","Torrential rains, electric storms,",Broken Dam/Burst bank,"Slide (land, mud, snow, rock)",Yes,,,1574.0,2000.0,Km2,,,,"Yaque del Norte, Yuna",2003,11.0,14.0,2003,11.0,14.0,9.0,3.0,65000.0,,65003.0,,,,,42620.0,62779.0,67.8888956921058,1,1111;1113;1115;1120;1121;1122;1125;1126;1127;1131;1132;1133;1134;36855,,"Dajabon, Duarte, Espaillat, La Vega, Maria Trinidad Sanches, Monsenor Nouel, Monte Cristi, Puerto Plata, Salcedo, Samana, Sanchez Ramirez, Santiago, Santiago Rodriguez, Valverde (Adm1)."
2004-0231-DOM,2004,231,,Natural,Hydrological,Flood,Riverine flood,,,Dominican Republic (the),DOM,Caribbean,Americas,"Jimani district (Independencia province), Baoruco, Barahona, Elias Pina, Duarte, Sanchez Ramirez provinces",Torrential rains,"Slide (land, mud, snow, rock)",,Yes,,,,,Km2,,,,"Soleil, Yuna",2004,5.0,23.0,2004,6.0,1.0,688.0,,7910.0,2092.0,10002.0,,,,,,,69.7064421605073,1;2,1109;1110;1113;1118;1131,36920,"Baoruco, Barahona, Duarte, Elias Pina, Sanchez Ramirez (Adm1). Jiman? (Adm2)."
2005-0275-DOM,2005,275,,Natural,Hydrological,Flood,,,,Dominican Republic (the),DOM,Caribbean,Americas,"Espaillat, Maria Trinidad Sanches, Puerto Plata, Sanchez Ramirez provinces",,Rain,"Slide (land, mud, snow, rock)",,,,,,Km2,,,,,2005,5.0,14.0,2005,5.0,14.0,3.0,,1450.0,,1450.0,,,,,,,72.0714104526569,1,1115;1121;1125;1131,,"Espaillat, Maria Trinidad Sanches, Puerto Plata, Sanchez Ramirez (Adm1)."
