Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1930-0009-DOM,1930,9,,Natural,Meteorological,Storm,Tropical cyclone,,San Zenon,Dominican Republic (the),DOM,Caribbean,Americas,Santo Domingo,,,,,,,,,Kph,,,,,1930,9.0,3.0,1930,9.0,3.0,2000.0,6000.0,6000.0,,12000.0,,,,,40000.0,647375.0,6.1787985443093,,,,
1963-0027-DOM,1963,27,,Natural,Meteorological,Storm,Tropical cyclone,,Flora,Dominican Republic (the),DOM,Caribbean,Americas,,,,,,,,,,Kph,,,,,1963,10.0,2.0,1963,10.0,2.0,400.0,,,,,,,,,60000.0,530880.0,11.3019986879511,,,,
1964-0048-DOM,1964,48,,Natural,Meteorological,Storm,Tropical cyclone,,Cleo,Dominican Republic (the),DOM,Caribbean,Americas,"Barahona, Neiba Bay",,,,Yes,,,,,Kph,,,,,1964,8.0,24.0,1964,8.0,24.0,7.0,,,,,,,,,1000.0,8736.0,11.4465427509293,,,,
1966-0074-DOM,1966,74,,Natural,Meteorological,Storm,Tropical cyclone,,Inez,Dominican Republic (the),DOM,Caribbean,Americas,"South East coast, Barhona",,,,Yes,,,,,Kph,,,,,1966,9.0,29.0,1966,9.0,29.0,74.0,442.0,7000.0,5500.0,12942.0,,,,,5000.0,41741.0,11.9785873605948,,,,
1980-0231-DOM,1980,231,,Natural,Meteorological,Storm,Tropical cyclone,,Allen,Dominican Republic (the),DOM,Caribbean,Americas,,,,,,,,,270.0,Kph,,,,,1980,8.0,4.0,1980,8.0,4.0,7.0,,,,,,,,,47000.0,154542.0,30.4123857424011,,,,
1987-0161-DOM,1987,161,,Natural,Meteorological,Storm,Tropical cyclone,,Emily,Dominican Republic (the),DOM,Caribbean,Americas,"Barahona-Bari, Montecristi areas",,,,,,,,,Kph,,,,,1987,9.0,22.0,1987,9.0,22.0,3.0,,,,,,,,,23700.0,56519.0,41.9327356221299,,,,
1989-0115-DOM,1989,115,,Natural,Meteorological,Storm,Tropical cyclone,,Hugo,Dominican Republic (the),DOM,Caribbean,Americas,,,,,,,,,,Kph,,,,,1989,9.0,17.0,1989,9.0,17.0,,,,,,,,,,,,45.749276186311,,,,
1995-0181-DOM,1995,181,,Natural,Meteorological,Storm,,,,Dominican Republic (the),DOM,Caribbean,Americas,"Southern Provinces, Santo Domingo",,,,Yes,,,,,Kph,,,,,1995,8.0,17.0,1995,8.0,17.0,9.0,,,2500.0,2500.0,,,,,,,56.2363000218675,,,,
1995-0250-DOM,1995,250,,Natural,Meteorological,Storm,Convective storm,Tornado,,Dominican Republic (the),DOM,Caribbean,Americas,San Cristobal,,,,,,,,,Kph,,,,,1995,10.0,7.0,1995,10.0,7.0,2.0,30.0,300.0,,330.0,,,,,,,56.2363000218675,,,,
1996-0201-DOM,1996,201,,Natural,Meteorological,Storm,Tropical cyclone,,Hortense,Dominican Republic (the),DOM,Caribbean,Americas,Samana,,Surge,Flood,,No,No,,,Kph,,,,,1996,9.0,3.0,1996,9.0,16.0,24.0,,25000.0,,25000.0,,,,,,,57.8847058823529,,,,
