Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1967-0019-ECU,1967,19,,Natural,Hydrological,Flood,,,,Ecuador,ECU,South America,Americas,Milagro,,,,Yes,,,,,Km2,,,,,1967,2.0,8.0,1967,2.0,8.0,,100.0,20000.0,400.0,20500.0,,,,,100.0,812.0,12.3107281871857,,,,
1970-0023-ECU,1970,23,,Natural,Hydrological,Flood,,,,Ecuador,ECU,South America,Americas,"Guayas, Emeral, Manabi",,,,Yes,,,,,Km2,,,,,1970,4.0,8.0,1970,4.0,8.0,20.0,,140500.0,,140500.0,,,,,500.0,3490.0,14.3281696916685,,,,
1983-0464-ECU,1983,464,,Natural,Hydrological,Flood,,,,Ecuador,ECU,South America,Americas,,,,,,,,,,Km2,,,,,1983,8.0,4.0,1983,8.0,4.0,,,200000.0,,200000.0,,,,,,,36.7568773234201,,,,
1992-0024-ECU,1992,24,,Natural,Hydrological,Flood,Riverine flood,,,Ecuador,ECU,South America,Americas,"Guayas, Manabi, El Oro, Los Rios, Esmeraldas, Tungurahua, Cotopaxi, Loja, Zamora, Chinchipe, Galapagos, Chinchippe.",Heavy rain,,,Yes,No,No,2109.0,550.0,Km2,,,,,1992,3.0,24.0,1992,5.0,8.0,22.0,,125000.0,80000.0,205000.0,,,2500.0,4828.0,20000.0,38623.0,51.7831620380495,,,,
1997-0092-ECU,1997,92,,Natural,Hydrological,Flood,Riverine flood,,,Ecuador,ECU,South America,Americas,"Esmeraldas, Manabi, Guayas, El Oro, Azuay, Cañar, Cotopaxi, Pichincha,Morona Santiago, Zamora, Chinchipe provinces",Heavy rain,"Slide (land, mud, snow, rock)",,Yes,No,No,87.0,10.0,Km2,,,,jubones,1997,3.0,9.0,1997,3.0,19.0,27.0,,11907.0,2009.0,13916.0,,,,,,,59.2378657336541,,,,
2000-0266-ECU,2000,266,,Natural,Hydrological,Flood,,,,Ecuador,ECU,South America,Americas,"Carchi, Imbabura provinces",,,,,,,,,Km2,,,,,2000,5.0,22.0,2000,5.0,22.0,34.0,32.0,,,32.0,,,,,,,63.5495473431008,1,1138;1145,,"Carchi, Imbabura (Adm1)."
2001-0186-ECU,2001,186,,Natural,Hydrological,Flood,Flash flood,,,Ecuador,ECU,South America,Americas,"Chone, Portoviejo districts (Manabi province)",Brief torrential rain,,,,,,,2130.0,Km2,,,,,2001,3.0,8.0,2001,3.0,10.0,11.0,,1200.0,,1200.0,,,,,,,65.345558714192,2,,15473;15483,"Chone, Portoviejo (Adm2)."
2001-0252-ECU,2001,252,,Natural,Hydrological,Flood,Riverine flood,,,Ecuador,ECU,South America,Americas,"Zamora Chinchipe, Napo, Pastaza, Morona Santiago, Orellana provinces",Heavy rain,,,,,,223.0,,Km2,,,,,2001,6.0,11.0,2001,6.0,20.0,47.0,30.0,8300.0,,8330.0,,,,,,,65.345558714192,1,1149;1150;1151;1152;1156,,"Morona Santiago, Napo, Orellana, Pastaza, Zamora Chinchipe (Adm1)."
2002-0125-ECU,2002,125,,Natural,Hydrological,Flood,Riverine flood,,,Ecuador,ECU,South America,Americas,"Guayaquil, Duran districts (Guayas province), Huaquillas district (El Oro province), Portoviejo, Manta, Montecristi, Sucre, San Vicente districts (Manabi province), Pichincha, Bolivar, Canar, Esmeraldas, Los Rios provinces",Heavy rains,Rain,"Slide (land, mud, snow, rock)",,,,921.0,52930.0,Km2,,,,"Portoviejo, Bulu Bulu",2002,3.0,6.0,2002,4.0,29.0,31.0,6.0,51080.0,3027.0,54113.0,,,,,13000.0,19584.0,66.3819636999782,1;2,1136;1137;1142;1147;22006,15373;15420;15423;15479;15483;22058;22061;22063,"Bolivar, Canar, Esmeraldas, Los Rios, Pichincha (Adm1). Duran, Guayaquil, Huaquillas, Manta, Montecristi, Portoviejo, San Vicente, Sucre (Adm2)."
2002-0162-ECU,2002,162,,Natural,Hydrological,Flood,,,,Ecuador,ECU,South America,Americas,Huaquillas district (El Oro province),,,,,,,,,Km2,,,,,2002,3.0,19.0,2002,3.0,19.0,,,520.0,,520.0,,,,,3000.0,4519.0,66.3819636999782,2,,15373,Huaquillas (Adm2).
