Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1975-0019-EGY,1975,19,,Natural,Hydrological,Flood,,,,Egypt,EGY,Northern Africa,Africa,Nile river Valley,,,,,,,,,Km2,,,,,1975,2.0,20.0,1975,2.0,20.0,15.0,,,,,,,,,,,19.8607741089,,,,
1991-0097-EGY,1991,97,,Natural,Hydrological,Flood,Flash flood,,,Egypt,EGY,Northern Africa,Africa,South Sina,,,,,,,,,Km2,,,,,1991,3.0,23.0,1991,3.0,23.0,1.0,8.0,,200.0,208.0,,,,,,,50.2608528318391,,,,
1994-0509-EGY,1994,509,,Natural,Hydrological,Flood,Riverine flood,,,Egypt,EGY,Northern Africa,Africa,"Asyut, Sohag, Qena, Luxor governorates",Heavy rain,"Slide (land, mud, snow, rock)",Fire,Yes,No,No,2773.0,44070.0,Km2,,,,,1994,11.0,2.0,1994,11.0,8.0,600.0,,110660.0,50000.0,160660.0,,,,,140000.0,255934.0,54.7016925431883,,,,
1995-0354-EGY,1995,354,,Natural,Hydrological,Flood,Riverine flood,,,Egypt,EGY,Northern Africa,Africa,El Minja,,,,,,,,,Km2,,,,,1995,3.0,20.0,1995,3.0,20.0,7.0,,,3000.0,3000.0,,,,,,,56.2363000218675,,,,
1996-0464-EGY,1996,464,,Natural,Hydrological,Flood,Flash flood,,,Egypt,EGY,Northern Africa,Africa,"Manfalout, Minya, Sohag, Dairout, Mallawi (Aswan, Sohag, Asyut provinces)",Brief torrential rain,,,,No,No,,400.0,Km2,,,,,1996,11.0,13.0,1996,11.0,18.0,12.0,,260.0,,260.0,,,,,,,57.8847058823529,,,,
1997-0250-EGY,1997,250,,Natural,Hydrological,Flood,,,,Egypt,EGY,Northern Africa,Africa,,,,,,No,No,,,Km2,,,,,1997,10.0,18.0,1997,10.0,20.0,4.0,,,,,,,,,1000.0,1688.0,59.2378657336541,,,,
2002-0144-EGY,2002,144,,Natural,Hydrological,Flood,Riverine flood,,,Egypt,EGY,Northern Africa,Africa,Shallatin district (Red Sea province),Heavy rain,,,,,,,560.0,Km2,,,,,2002,3.0,3.0,2002,3.0,11.0,4.0,,800.0,,800.0,,,,,,,66.3819636999782,2,,65998,Shallatin (Adm2).
2002-0789-EGY,2002,789,,Natural,Hydrological,Flood,,,,Egypt,EGY,Northern Africa,Africa,"Ayat district (Giza province), Cairo province",,,,,,,,,Km2,,,,,2002,12.0,20.0,2002,12.0,20.0,14.0,70.0,,,70.0,,,,,,,66.3819636999782,1;2,61515,61702,Cairo (Adm1). Ayat (Adm2).
2010-0021-EGY,2010,21,FL-2010-000012,Natural,Hydrological,Flood,Riverine flood,,,Egypt,EGY,Northern Africa,Africa,"El Arish 1 district (North Sinai province), Ras Sidr, Sharm el-Sheikh, Nuweiba, Taba districts (South Sinai province), Hurghada 1, Hurghada 2 districts (Red Sea province), Aswan province",Heavy rains,,,,,,,226100.0,Km2,28.08,31.09,,,2010,1.0,18.0,2010,1.0,19.0,12.0,,3500.0,,3500.0,,,,,,,80.472285151979,1;2,61512,65913;65985;65987;66032;66035;66041;66042,"Aswan (Adm1). El Arish 1, Hurghada 1, Hurghada 2, Nuweiba, Ras Sidr, Sharm el-Sheikh, Taba (Adm2)."
2010-0660-EGY,2010,660,,Natural,Hydrological,Flood,Riverine flood,,,Egypt,EGY,Northern Africa,Africa,Menia province,Heavy rains,Transport accident,,,,,,,Km2,,,,,2010,12.0,30.0,2010,12.0,30.0,15.0,,,,,,,,,,,80.472285151979,1,61526,,Menia (Adm1).
2020-0102-EGY,2020,102,FL-2020-000038,Natural,Hydrological,Flood,Flash flood,,,Egypt,EGY,Northern Africa,Africa,"Cairo, Giza, Monufia, Sharkeia, South Sinai, Red Sea, Beni Suef, Faiyum, Ismailia",Heavy rains,Transport accident,,,,Yes,,22124.0,Km2,29.021,30.754,,,2020,3.0,11.0,2020,3.0,15.0,40.0,400.0,20000.0,,20400.0,,,,,76000.0,79570.0,95.5129674174503,1,61514;61515;61518;61520;61521;61527;61532;61533;61534,,"Beni Suef, Cairo, Fayoum, Giza, Ismailia, Menoufia, Red Sea, Shrkia, South Sinai (Adm1)."
2021-0737-EGY,2021,737,FL-2021-000190,Natural,Hydrological,Flood,,,,Egypt,EGY,Northern Africa,Africa,Aswan Governorate,Heavy rains,Hail,Insect infestation,,,,,,Km2,,,,,2021,11.0,12.0,2021,11.0,14.0,3.0,450.0,4685.0,1100.0,6235.0,,,,,,,100.0,1,61512,,Aswan (Adm1).
