Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1936-0034-SLV,1936,34,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,San Vicente,,,,,,,,,Richter,13.2,-88.7,,,1936,12.0,19.0,1936,12.0,19.0,400.0,,,,,,,,,,,5.1325876354123,,,,
1951-0012-SLV,1951,12,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,"Jucuapa, Chinameca",,,,,,,,7.0,Richter,13.3,-87.8,17:08,,1951,5.0,6.0,1951,5.0,6.0,1100.0,,,,,,,,,23000.0,239570.0,9.6005236345842,,,,
1965-0025-SLV,1965,25,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,San Marcos,,,,Yes,,,,6.0,Richter,13.5,-89.3,04:01,,1965,5.0,3.0,1965,5.0,3.0,125.0,1138.0,90582.0,48000.0,139720.0,,,,,35000.0,300998.0,11.6279903783075,,,,
1982-0081-SLV,1982,81,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,San Salvador,,"Slide (land, mud, snow, rock)",,Yes,,,,7.0,Richter,13.332,-89.387,00:21,,1982,6.0,19.0,1982,6.0,19.0,20.0,,30000.0,2500.0,32500.0,,,,,5000.0,14040.0,35.6128405860485,,,,
1986-0123-SLV,1986,123,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,San Salvador,,,,Yes,Yes,No,,8.0,Richter,13.40 N,89.10 W,11:50,,1986,10.0,10.0,1986,10.0,10.0,1100.0,20000.0,500000.0,250000.0,770000.0,,,225000.0,556237.0,1500000.0,3708244.0,40.4504089219331,,,,
2001-0013-SLV,2001,13,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,"Berlin, Alegria, Tecapan, Santiago de Maria districts (Usulutan province), Santa Tecla, Comasagua districts (La Libertad province) ; San Miguel, Santa Ana, Sonsonate, Cuscatlan, San Vicente, La Union, Ahuachapan, Cabanas, Morazan, Chalatenango, La Paz, La Libertad, San Salvador, Usulutan provinces",,"Slide (land, mud, snow, rock)",,Yes,Yes,,,8.0,Richter,13.049,-88.66,17:33,,2001,1.0,13.0,2001,1.0,13.0,844.0,4723.0,1329806.0,,1334529.0,,,290000.0,443795.0,1500000.0,2295489.0,65.345558714192,1,1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1194;1195;1196;1197,,"Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan (Adm1)."
2001-0042-SLV,2001,42,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,"La Paz, Cuscatlan, San Vicente, San Salvador, Morazan, La Libertad provinces ; San Juan Tepezontes district (La Paz province), Cojutepeque district (Cuscatlan province)",,"Slide (land, mud, snow, rock)",,Yes,,,,7.0,Richter,13.671,-88.938,,,2001,2.0,13.0,2001,2.0,13.0,315.0,3399.0,252622.0,,256021.0,,,,,348500.0,533319.0,65.345558714192,1,1187;1188;1189;1191;1193;1194,,"Cuscatlan, La Libertad, La Paz, Morazan, San Salvador, San Vicente (Adm1)."
2005-0240-SLV,2005,240,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,"Apaneca district (Ahuachapan province), Juayua district (Sonsonate province)",,"Slide (land, mud, snow, rock)",,,,,,5.0,Richter,13.835,-89.759,,,2005,5.0,5.0,2005,5.0,5.0,1.0,1.0,750.0,,751.0,,,,,,,72.0714104526569,2,,15567;15794,"Apaneca, Juayua (Adm2)."
2006-0699-SLV,2006,699,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,"San Lorenzo, Atiquizaya, Ahuachapan, Turin, El Refugio districts (Ahuachapan province)",,,,,,Yes,,4.0,Richter,14.028,-89.785,,,2006,12.0,17.0,2006,12.0,17.0,,,16470.0,,16470.0,,,,,,,74.3963874917997,2,,15566;15568;15570;15574;15577,"Ahuachapan, Atiquizaya, El Refugio, San Lorenzo, Turin (Adm2)."
2018-0321-SLV,2018,321,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,Intipuca (La Union); Chirilagua (San Miguel),,,,,,,,6.0,Richter,13.095,-88.099,13:02,,2018,5.0,6.0,2018,5.0,6.0,,,2499.0,,2499.0,,,,,,,92.6696698010059,2,,15686;15727,"Chirilagua, Intipuca (Adm2)."
2019-0233-SLV,2019,233,,Natural,Geophysical,Earthquake,Ground movement,,,El Salvador,SLV,Central America,Americas,San Martín municipality (San Salvador Department),,"Slide (land, mud, snow, rock)",,,,,,7.0,Richter,13.243,-89.272,,,2019,5.0,30.0,2019,5.0,30.0,1.0,,160.0,,160.0,,,,,,,94.3490924994534,2,,15757,San Martin (Adm2).
