Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1934-0007-SLV,1934,7,,Natural,Meteorological,Storm,Tropical cyclone,,,El Salvador,SLV,Central America,Americas,,,,,,,,,,Kph,,,,,1934,6.0,8.0,1934,6.0,8.0,2000.0,,,,,,,,,,,4.9479621809012,,,,
1969-0090-SLV,1969,90,,Natural,Meteorological,Storm,Tropical cyclone,,Francelia,El Salvador,SLV,Central America,Americas,"Rio Lempa, South West Coast",,,,Yes,,,,,Kph,,,,,1969,9.0,4.0,1969,9.0,4.0,2.0,40.0,4600.0,,4640.0,,,,,1600.0,11819.0,13.5378001312049,,,,
1996-0172-SLV,1996,172,,Natural,Meteorological,Storm,Tropical cyclone,,Cesar and Douglas,El Salvador,SLV,Central America,Americas,Coast,,,,,No,No,,126.0,Kph,,,,,1996,7.0,26.0,1996,7.0,26.0,12.0,,,,,,,,,10.0,17.0,57.8847058823529,,,,
1997-0126-SLV,1997,126,,Natural,Meteorological,Storm,Tropical cyclone,,Andres,El Salvador,SLV,Central America,Americas,,,,,,,,,,Kph,,,,,1997,6.0,9.0,1997,6.0,9.0,4.0,,,2000.0,2000.0,,,,,,,59.2378657336541,,,,
1998-0343-SLV,1998,343,,Natural,Meteorological,Storm,Tropical cyclone,,Mitch,El Salvador,SLV,Central America,Americas,,,,,Yes,No,No,,270.0,Kph,,,,,1998,10.0,25.0,1998,11.0,1.0,475.0,,84000.0,,84000.0,,,,,388100.0,645141.0,60.1574108900066,,,,
2000-0645-SLV,2000,645,,Natural,Meteorological,Storm,Tropical cyclone,,Keith,El Salvador,SLV,Central America,Americas,"Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan provinces",,,,,,,,,Kph,,,,,2000,10.0,1.0,2000,10.0,1.0,1.0,,100.0,,100.0,,,,,,,63.5495473431008,1,1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1194;1195;1196;1197,,"Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan (Adm1)."
2002-0851-SLV,2002,851,,Natural,Meteorological,Storm,Tropical cyclone,,Isidore,El Salvador,SLV,Central America,Americas,Ahuachapan province,,,,,,,,,Kph,,,,,2002,9.0,21.0,2002,9.0,21.0,,,500.0,,500.0,,,,,,,66.3819636999782,1,1184,,Ahuachapan (Adm1).
2005-0732-SLV,2005,732,,Natural,Meteorological,Storm,Tropical cyclone,,Adrian,El Salvador,SLV,Central America,Americas,"Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan provinces",,,,,,,,,Kph,,,,,2005,5.0,19.0,2005,5.0,19.0,,,,,,,,,,,,72.0714104526569,1,1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1194;1195;1196;1197,,"Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan (Adm1)."
2005-0567-SLV,2005,567,,Natural,Meteorological,Storm,Tropical cyclone,,Stan,El Salvador,SLV,Central America,Americas,"San Salvador, San Marcos districts (San Salvador province), La Libertad, Santa Tecla districts (La Libertad province), Lourdes city (Colon district, La Libertad province), Chaparral village (Chilanga district, Morazan province), Ateos city (Sacacoyo district, La Libertad province), El Chaparral area (Ciudad Barrios district, San Miguel province)",,"Slide (land, mud, snow, rock)",,,,,,,Kph,,,,,2005,10.0,1.0,2005,10.0,13.0,69.0,,72141.0,,72141.0,,,,,355700.0,493538.0,72.0714104526569,2,,15639;15644;15645;15648;15700;15728;15756;15758,"Chilanga, Ciudad Barrios, Colon, La Libertad, Sacacoyo, San Marcos, San Salvador, Santa Tecla (Adm2)."
2007-0439-SLV,2007,439,TC-2007-000150,Natural,Meteorological,Storm,Tropical cyclone,,Felix,El Salvador,SLV,Central America,Americas,"Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan provinces",,Flood,,,,,,,Kph,,,,,2007,9.0,4.0,2007,9.0,4.0,,,2800.0,,2800.0,,,,,,,76.5186792040236,1,1184;1185;1186;1187;1188;1189;1190;1191;1192;1193;1194;1195;1196;1197,,"Ahuachapan, Cabanas, Chalatenango, Cuscatlan, La Libertad, La Paz, La Union, Morazan, San Miguel, San Salvador, San Vicente, Santa Ana, Sonsonate, Usulutan (Adm1)."
