Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1968-0048-ETH,1968,48,,Natural,Hydrological,Flood,,,,Ethiopia,ETH,Eastern Africa,Africa,Kelafo,,,,Yes,,,,,Km2,,,,,1968,5.0,7.0,1968,5.0,7.0,1.0,,10000.0,6000.0,16000.0,,,,,920.0,7167.0,12.8366149136235,,,,
1985-0086-ETH,1985,86,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Rift Valley region,,,,,,,,92580.0,Km2,,,,,1985,8.0,17.0,1985,8.0,17.0,9.0,,8000.0,,8000.0,,,,,,,39.696934178876,,,,
1988-0443-ETH,1988,443,,Natural,Hydrological,Flood,,,,Ethiopia,ETH,Eastern Africa,Africa,"Sidamo province, /Dollo",,,,,,,,,Km2,,,,,1988,9.0,25.0,1988,9.0,25.0,45.0,,2240.0,,2240.0,,,,,,,43.6426415919528,,,,
1990-0582-ETH,1990,582,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Gambela region,Heavy rain,,,,No,No,,,Km2,,,,Baro,1990,8.0,27.0,1990,9.0,1.0,,,350000.0,,350000.0,,,,,,,48.2187972884321,,,,
1994-0194-ETH,1994,194,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"North Shoa, South Welo, Tach Gayint district (Gonder province)",Heavy rain,,,,No,No,,,Km2,,,,,1994,8.0,15.0,1994,8.0,18.0,4.0,14.0,43000.0,,43014.0,,,,,3500.0,6398.0,54.7016925431883,,,,
1995-0103-ETH,1995,103,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Kelafo, Mustahil, Ferfer, Burukur (Eastern Ogaden region)",Heavy rain,,,,No,No,2535.0,67450.0,Km2,,,,"Webi Shebelle, Wedeb",1995,4.0,28.0,1995,5.0,15.0,27.0,,93875.0,,93875.0,,,,,500.0,889.0,56.2363000218675,,,,
1996-0141-ETH,1996,141,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Gambella Region,,,,,,,,,Km2,,,,,1996,6.0,8.0,1996,6.0,8.0,40.0,,90000.0,,90000.0,,,,,,,57.8847058823529,,,,
1996-0470-ETH,1996,470,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Gambella region, East-Shoa, Wanji provinces",Heavy rains,,,,No,No,,,Km2,,,,"Baro, Guilo, Akobo, Awash rivers",1996,8.0,12.0,1996,8.0,25.0,,,,25000.0,25000.0,,,,,,,57.8847058823529,,,,
1997-0328-ETH,1997,328,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Arba Minch region,Heavy rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1997,4.0,19.0,1997,4.0,22.0,29.0,22.0,,,22.0,,,,,,,59.2378657336541,,,,
1997-0270-ETH,1997,270,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Afder and Liben districts (Somali region), Gode, Haregele, Dollo regions",Heavy rain,"Slide (land, mud, snow, rock)",,Yes,No,No,518.0,300.0,Km2,,,,,1997,10.0,26.0,1997,11.0,26.0,297.0,,65000.0,,65000.0,,,,,,,59.2378657336541,,,,
1999-0351-ETH,1999,351,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Iowlands,Heavy rain,,,,No,No,,35.0,Km2,,,,Awash,1999,8.0,23.0,1999,9.0,9.0,,,6755.0,,6755.0,,,,,2700.0,4392.0,61.473667176908,,,,
1999-0378-ETH,1999,378,,Natural,Hydrological,Flood,,,,Ethiopia,ETH,Eastern Africa,Africa,Zone D'assosa (Region Du Beninshangul-Gumuz),,,,,,,,,Km2,,,,,1999,9.0,20.0,1999,9.0,20.0,13.0,,,,,,,,,,,61.473667176908,,,,
1999-0419-ETH,1999,419,,Natural,Hydrological,Flood,,,,Ethiopia,ETH,Eastern Africa,Africa,Limu District (South Of Ethiopia),,,,,,,,,Km2,,,,,1999,10.0,11.0,1999,10.0,11.0,1.0,,15000.0,30000.0,45000.0,,,,,,,61.473667176908,,,,
1999-0431-ETH,1999,431,,Natural,Hydrological,Flood,Flash flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Mustahil, Kefalo (Ogaden region of South-East Ethiopia)",Brief torrential rain,,,,No,No,,40.0,Km2,,,,Wabe Shebelle River,1999,10.0,30.0,1999,11.0,2.0,34.0,,,79000.0,79000.0,,,,,,,61.473667176908,,,,
2000-0399-ETH,2000,399,,Natural,Hydrological,Flood,,,,Ethiopia,ETH,Eastern Africa,Africa,"Nazareth city (East Shewa district, Oromia province), Region 14 district (Addis Ababa province)",,,,,,,,,Km2,,,,,2000,6.0,29.0,2000,6.0,29.0,60.0,,,,,,,,,,,63.5495473431008,2,,149277;149289,"East Shewa, Region 14 (Adm2)."
2000-0497-ETH,2000,497,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Dubti area (Zone 1 district, Afar province)",Heavy rain,,,,,,,57500.0,Km2,,,,Awash river,2000,8.0,10.0,2000,8.0,21.0,9.0,,30000.0,,30000.0,,,,,,,63.5495473431008,2,,40788,Zone 1 (Adm2).
2001-0448-ETH,2001,448,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Dubti, Asaita areas (Zone 1 district, Afar province)",,,,,,,,,Km2,,,,,2001,8.0,10.0,2001,8.0,10.0,5.0,,31000.0,,31000.0,,,,,,,65.345558714192,2,,40788,Zone 1 (Adm2).
2002-0225-ETH,2002,225,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Afar, Oromia, Somali region",Heavy rain,,,,,,,282500.0,Km2,,,,,2002,4.0,16.0,2002,4.0,21.0,22.0,,4000.0,,4000.0,,,,,,,66.3819636999782,1,1228;47678;47679,,"Afar, Oromia, Somali (Adm1)."
2003-0204-ETH,2003,204,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Somali province,Hevay rains,,,Yes,,,,52990.0,Km2,,,,Wabe Shebelle river,2003,4.0,28.0,2003,5.0,20.0,119.0,,110000.0,,110000.0,,,,,,,67.8888956921058,1,47679,,Somali (Adm1).
2005-0215-ETH,2005,215,,Natural,Hydrological,Flood,Flash flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Dire Dawa, Somali provinces",Heavy rains,Broken Dam/Burst bank,,,Yes,,,,Km2,,,,"Wade Shabelle, Hargeysa, Bilate River, Ashewa. Genale, Dawa, Fafen. Sile and Sego rivers.",2005,4.0,23.0,2005,4.0,26.0,156.0,,235418.0,,235418.0,,,,,5000.0,6938.0,72.0714104526569,1,1231;47679,,"Dire Dawa, Somali (Adm1)."
2005-0258-ETH,2005,258,,Natural,Hydrological,Flood,Flash flood,,,Ethiopia,ETH,Eastern Africa,Africa,Dire Dawa province,,,,,,,,,Km2,,,,,2005,5.0,20.0,2005,5.0,22.0,42.0,,,,,,,,,1200.0,1665.0,72.0714104526569,1,1231,,Dire Dawa (Adm1).
2005-0472-ETH,2005,472,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Oromia province,Heavy rains,,,,,,,52560.0,Km2,,,,"Awash, Meki rivers",2005,8.0,19.0,2005,9.0,1.0,,,7000.0,,7000.0,,,,,,,72.0714104526569,1,47678,,Oromia (Adm1).
2005-0485-ETH,2005,485,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Tigray, Oromia, Amhara provinces",Heavy rains,Rain,,,,,,,Km2,,,,,2005,9.0,1.0,2005,9.0,1.0,13.0,,,,,,,,,,,72.0714104526569,1,1229;1237;47678,,"Amhara, Oromia, Tigray (Adm1)."
2006-0204-ETH,2006,204,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Afar, Somali provinces",Heavy rain,,,,,,,83390.0,Km2,10.99,41.63,,Awash,2006,4.0,9.0,2006,4.0,25.0,,,10000.0,,10000.0,,,,,,,74.3963874917997,1,1228;47679,,"Afar, Somali (Adm1)."
2006-0422-ETH,2006,422,,Natural,Hydrological,Flood,Flash flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Dire Dawa district (Dire Dawa province), Addis Ketema, Genfele, Coca Cola, Aftessa boroughs (Region 14 district, Addis Ababa province)",Heavy Rain,,,,,,,4225.0,Km2,9.67,42.19,,"Dechatu, Dire Dawa",2006,8.0,5.0,2006,8.0,8.0,498.0,96.0,10000.0,,10096.0,,,,,3200.0,4301.0,74.3963874917997,2,,40809;149277,"Dire Dawa, Region 14 (Adm2)."
2006-0436-ETH,2006,436,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Tigray province,,,,,,,,,Km2,,,,Tekze,2006,8.0,9.0,2006,8.0,9.0,5.0,,450.0,,450.0,,,,,,,74.3963874917997,1,1237,,Tigray (Adm1).
2006-0438-ETH,2006,438,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Omorate, Gangato villages (South Omo district, SNNPR province)",Heavy rain,,,,,,8168.0,13560.0,Km2,5.24,36.22,,Omo river delta,2006,8.0,13.0,2006,9.0,11.0,364.0,,8000.0,,8000.0,,,,,,,74.3963874917997,2,,40839,South Omo (Adm2).
2006-0442-ETH,2006,442,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Amhara, Gambela, Afar provinces",Heavy rain,,,,,,,,Km2,13.21,34.76,,,2006,8.0,13.0,2006,9.0,26.0,2.0,,38000.0,,38000.0,,,,,,,74.3963874917997,1,1228;1229;1232,,"Afar, Amhara, Gambela (Adm1)."
2006-0489-ETH,2006,489,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,Gambela province,,,,,,,,,Km2,,,,Baro river,2006,8.0,23.0,2006,8.0,23.0,2.0,,6000.0,,6000.0,,,,,,,74.3963874917997,1,1232,,Gambela (Adm1).
2006-0578-ETH,2006,578,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Gode, Kelafo, Mustahil, East Imi, Ferfer, Denan towns (Shabelle district, Somali province), Kebri Dehar town (Korahe district, Somali province)",Heavy rain,,,Yes,,,4524.0,,Km2,4.62,44.6,,Wabe Shebelle,2006,10.0,27.0,2006,12.0,18.0,80.0,,361600.0,,361600.0,,,,,,,74.3963874917997,2,,40844;47708,"Korahe, Shabelle (Adm2)."
2007-0273-ETH,2007,273,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,South Omo district (SNNPR province),Heavy rain,,,,,,,19510.0,Km2,5.45,37.12,,Wotio,2007,6.0,6.0,2007,7.0,11.0,,,5800.0,,5800.0,,,,,,,76.5186792040236,2,,40839,South Omo (Adm2).
2007-0304-ETH,2007,304,EP-2007-000142,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Gambela, Amhara, SNNPR, Addis Ababa, Afar, Tigray, Somali provinces",Heavy rain,,,,,,,79620.0,Km2,8.33,34.5,,Tributaries of Baro and Gilo rivers,2007,7.0,29.0,2007,10.0,5.0,17.0,,239586.0,,239586.0,,,,,,,76.5186792040236,1,1227;1228;1229;1232;1236;1237;47679,,"Addis Ababa, Afar, Amhara, Gambela, SNNPR, Somali, Tigray (Adm1)."
2008-0219-ETH,2008,219,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Jijiga town (Fafan district, Somali province)",Heavy rains,,,,,,,,Km2,,,,,2008,5.0,30.0,2008,5.0,31.0,29.0,35.0,,810.0,845.0,,,,,,,79.4563043953641,2,,40845,Fafan (Adm2).
2008-0386-ETH,2008,386,FF-2008-000141,Natural,Hydrological,Flood,Flash flood,,,Ethiopia,ETH,Eastern Africa,Africa,Gambela province,Heavy seasonal rains,,,,,,,69940.0,Km2,7.585,33.31,,,2008,8.0,20.0,2008,8.0,28.0,5.0,,91764.0,,91764.0,,,,,,,79.4563043953641,1,1232,,Gambela (Adm1).
2008-0517-ETH,2008,517,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"West Imi town (Afder district, Somali province), Dolo town (Doolo district, Somali province), Kebri Beyah town (Fafan district, Somali province), Halaba area (Selti district, SNNPR province), Kachabira area (KT district, SNNPR province), Mustahil, Kelafo, East Imi towns (Shabelle district, Somali province), Ginir town (Bale district, Oromia province), Shashogo area (Hadiya district, SNNPR province), Gelana area (South Wollo district, Amhara province)",Heavy rains,,,,,,,25490.0,Km2,0.83,43.06,,Wabe Shebele river,2008,11.0,16.0,2008,11.0,17.0,11.0,,23831.0,,23831.0,,,,,,,79.4563043953641,2,,40833;40841;40844;40845;40849;47702;47705;149281;149288,"Afder, Bale, Doolo, Fafan, Hadiya, KT, Selti, Shabelle, South Wollo (Adm2)."
2010-0115-ETH,2010,115,FL-2010-000041,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Mustahil, Kelafo villages (Shabelle district, Somali province)",Heavy rains,,,,,,,,Km2,,,,Wabi Shabelle,2010,3.0,1.0,2010,3.0,11.0,,,55700.0,,55700.0,,,,,,,80.472285151979,2,,40844,Shabelle (Adm2).
2010-0450-ETH,2010,450,FL-2010-000170,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Afar, Amhara, Tigray provinces",Heavy rains,,,,,,254.0,,Km2,,,,,2010,8.0,22.0,2010,8.0,24.0,19.0,,25000.0,,25000.0,,,,,,,80.472285151979,1,1228;1229;1237,,"Afar, Amhara, Tigray (Adm1)."
2011-0631-ETH,2011,631,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Mustahil, Kelafo villages (Shabelle district, Somali province)",,,,,,,,,Km2,,,,,2011,11.0,7.0,2011,11.0,15.0,,,40200.0,,40200.0,,,,,,,83.0126743931774,2,,40844,Shabelle (Adm2).
2013-0125-ETH,2013,125,,Natural,Hydrological,Flood,Riverine flood,,,Ethiopia,ETH,Eastern Africa,Africa,"Korahe, Jarar, Shabelle districts (Somali province), Wolayita, Sidama districts (SNNPR province)",,,,,,,,,Km2,,,,,2013,4.0,10.0,2013,4.0,30.0,,,51500.0,,51500.0,,,,,2200.0,2559.0,85.9716422479773,2,,40838;40842;40844;47706;47708,"Jarar, Korahe, Shabelle, Sidama, Wolayita (Adm2)."
